Phenotype,Read code,Description,Category
CANCER,8B3p.,Administration of cancer treatment                                                                                                                                                                                                                             ,Solid tumour (3)                                  
CANCER,8BAD0,Cancer chemotherapy                                                                                                                                                                                                                                            ,Solid tumour (3)                                  
CANCER,8BC6.,Cancer treatment started                                                                                                                                                                                                                                       ,Solid tumour (3)                                  
CANCER,8BCF.,Cancer hospital treatment completed                                                                                                                                                                                                                            ,Solid tumour (3)                                  
CANCER,8HH8.,Referred to cancer primary healthcare multidisciplinary team                                                                                                                                                                                                   ,Possible cancer (2)                               
CANCER,8HHt.,Fast track cancer referral                                                                                                                                                                                                                                     ,Possible cancer (2)                               
CANCER,8Hn..,Priority cancer referral                                                                                                                                                                                                                                       ,Possible cancer (2)                               
CANCER,8Hn0.,Fast track referral for suspected skin cancer                                                                                                                                                                                                                  ,Possible cancer (2)                               
CANCER,8Hn1.,Fast track referral for suspected gynaecological cancer                                                                                                                                                                                                        ,Possible cancer (2)                               
CANCER,8Hn2.,Fast track referral for suspected breast cancer                                                                                                                                                                                                                ,Possible cancer (2)                               
CANCER,8Hn3.,Fast track referral for suspected childrens tumour                                                                                                                                                                                                             ,Possible cancer (2)                               
CANCER,8Hn4.,Fast track referral for suspected colorectal cancer                                                                                                                                                                                                            ,Possible cancer (2)                               
CANCER,8Hn5.,Fast track referral for suspected urological cancer                                                                                                                                                                                                            ,Possible cancer (2)                               
CANCER,8Hn6.,Fast track referral for suspected haematology malignancy                                                                                                                                                                                                       ,Possible cancer (2)                               
CANCER,8Hn7.,Fast track referral for suspected lung cancer                                                                                                                                                                                                                  ,Possible cancer (2)                               
CANCER,8Hn8.,Fast track referral for suspected sarcoma                                                                                                                                                                                                                      ,Possible cancer (2)                               
CANCER,8Hn9.,Fast track referral for suspected upper GI cancer                                                                                                                                                                                                              ,Possible cancer (2)                               
CANCER,8HnA.,Fast track referral for suspected brain tumour                                                                                                                                                                                                                 ,Possible cancer (2)                               
CANCER,8HnB.,Fast track referral for suspected head and neck cancer                                                                                                                                                                                                         ,Possible cancer (2)                               
CANCER,A788W,HIV disease resulting in unspecified malignant neoplasm                                                                                                                                                                                                        ,Solid tumour (3)                                  
CANCER,A7895,HIV disease resulting in Kaposi's sarcoma                                                                                                                                                                                                                      ,Solid tumour (3)                                  
CANCER,A7896,HIV disease resulting in Burkitt's lymphoma                                                                                                                                                                                                                    ,Lymphoma (5)                                      
CANCER,A7897,HIV dis resulting oth types of non-Hodgkin's lymphoma                                                                                                                                                                                                          ,Lymphoma (5)                                      
CANCER,AyuC6,[X]HIV disease resulting in other non-Hodgkin's lymphoma                                                                                                                                                                                                       ,Lymphoma (5)                                      
CANCER,B....,Cancers                                                                                                                                                                                                                                                        ,Solid tumour (3)                                  
CANCER,B0...,"Malignant neoplasm of lip, oral cavity and pharynx                                                                                                                                                                                                             ",Solid tumour (3)                                  
CANCER,B00..,Malignant neoplasm of lip                                                                                                                                                                                                                                      ,Solid tumour (3)                                  
CANCER,B000.,"Malignant neoplasm of upper lip, vermilion border                                                                                                                                                                                                              ",Solid tumour (3)                                  
CANCER,B0000,"Malignant neoplasm of upper lip, external                                                                                                                                                                                                                      ",Solid tumour (3)                                  
CANCER,B0001,"Malignant neoplasm of upper lip, lipstick area                                                                                                                                                                                                                 ",Solid tumour (3)                                  
CANCER,B000z,"Malignant neoplasm of upper lip, vermilion border NOS                                                                                                                                                                                                          ",Solid tumour (3)                                  
CANCER,B001.,"Malignant neoplasm of lower lip, vermilion border                                                                                                                                                                                                              ",Solid tumour (3)                                  
CANCER,B0010,"Malignant neoplasm of lower lip, external                                                                                                                                                                                                                      ",Solid tumour (3)                                  
CANCER,B0011,"Malignant neoplasm of lower lip, lipstick area                                                                                                                                                                                                                 ",Solid tumour (3)                                  
CANCER,B0022,"Malignant neoplasm of upper lip, mucosa                                                                                                                                                                                                                        ",Solid tumour (3)                                  
CANCER,B0023,"Malignant neoplasm of upper lip, oral aspect                                                                                                                                                                                                                   ",Solid tumour (3)                                  
CANCER,B003.,"Malignant neoplasm of lower lip, inner aspect                                                                                                                                                                                                                  ",Solid tumour (3)                                  
CANCER,B0030,"Malignant neoplasm of lower lip, buccal aspect                                                                                                                                                                                                                 ",Solid tumour (3)                                  
CANCER,B0031,"Malignant neoplasm of lower lip, frenulum                                                                                                                                                                                                                      ",Solid tumour (3)                                  
CANCER,B0032,"Malignant neoplasm of lower lip, mucosa                                                                                                                                                                                                                        ",Solid tumour (3)                                  
CANCER,B0033,"Malignant neoplasm of lower lip, oral aspect                                                                                                                                                                                                                   ",Solid tumour (3)                                  
CANCER,B003z,"Malignant neoplasm of lower lip, inner aspect NOS                                                                                                                                                                                                              ",Solid tumour (3)                                  
CANCER,B004.,"Malignant neoplasm of lip unspecified, inner aspect                                                                                                                                                                                                            ",Solid tumour (3)                                  
CANCER,B0040,"Malignant neoplasm of lip unspecified, buccal aspect                                                                                                                                                                                                           ",Solid tumour (3)                                  
CANCER,B0042,"Malignant neoplasm of lip unspecified, mucosa                                                                                                                                                                                                                  ",Solid tumour (3)                                  
CANCER,B005.,Malignant neoplasm of commissure of lip                                                                                                                                                                                                                        ,Solid tumour (3)                                  
CANCER,B006.,Malignant neoplasm of overlapping lesion of lip                                                                                                                                                                                                                ,Solid tumour (3)                                  
CANCER,B007.,"Malignant neoplasm of lip, unspecified                                                                                                                                                                                                                         ",Solid tumour (3)                                  
CANCER,B00z1,"Malignant neoplasm of lip, unspecified, lipstick area                                                                                                                                                                                                          ",Solid tumour (3)                                  
CANCER,B00zz,"Malignant neoplasm of lip, vermilion border NOS                                                                                                                                                                                                                ",Solid tumour (3)                                  
CANCER,B01..,Malignant neoplasm of tongue                                                                                                                                                                                                                                   ,Solid tumour (3)                                  
CANCER,B010.,Malignant neoplasm of base of tongue                                                                                                                                                                                                                           ,Solid tumour (3)                                  
CANCER,B0100,Malignant neoplasm of base of tongue dorsal surface                                                                                                                                                                                                            ,Solid tumour (3)                                  
CANCER,B010z,Malignant neoplasm of fixed part of tongue NOS                                                                                                                                                                                                                 ,Solid tumour (3)                                  
CANCER,B011.,Malignant neoplasm of dorsal surface of tongue                                                                                                                                                                                                                 ,Solid tumour (3)                                  
CANCER,B011z,Malignant neoplasm of dorsum of tongue NOS                                                                                                                                                                                                                     ,Solid tumour (3)                                  
CANCER,B012.,"Malignant neoplasm of tongue, tip and lateral border                                                                                                                                                                                                           ",Solid tumour (3)                                  
CANCER,B013.,Malignant neoplasm of ventral surface of tongue                                                                                                                                                                                                                ,Solid tumour (3)                                  
CANCER,B0131,Malignant neoplasm of frenulum linguae                                                                                                                                                                                                                         ,Solid tumour (3)                                  
CANCER,B013z,Malignant neoplasm of ventral tongue surface NOS                                                                                                                                                                                                               ,Solid tumour (3)                                  
CANCER,B014.,Malignant neoplasm of anterior 2/3 of tongue unspecified                                                                                                                                                                                                       ,Solid tumour (3)                                  
CANCER,B015.,"Malignant neoplasm of tongue, junctional zone                                                                                                                                                                                                                  ",Solid tumour (3)                                  
CANCER,B016.,Malignant neoplasm of lingual tonsil                                                                                                                                                                                                                           ,Solid tumour (3)                                  
CANCER,B017.,Malignant overlapping lesion of tongue                                                                                                                                                                                                                         ,Solid tumour (3)                                  
CANCER,B01y.,Malignant neoplasm of other sites of tongue                                                                                                                                                                                                                    ,Solid tumour (3)                                  
CANCER,B01z.,Malignant neoplasm of tongue NOS                                                                                                                                                                                                                               ,Solid tumour (3)                                  
CANCER,B02..,Malignant neoplasm of major salivary glands                                                                                                                                                                                                                    ,Solid tumour (3)                                  
CANCER,B020.,Malignant neoplasm of parotid gland                                                                                                                                                                                                                            ,Solid tumour (3)                                  
CANCER,B021.,Malignant neoplasm of submandibular gland                                                                                                                                                                                                                      ,Solid tumour (3)                                  
CANCER,B022.,Malignant neoplasm of sublingual gland                                                                                                                                                                                                                         ,Solid tumour (3)                                  
CANCER,B02y.,Malignant neoplasm of other major salivary glands                                                                                                                                                                                                              ,Solid tumour (3)                                  
CANCER,B02z.,Malignant neoplasm of major salivary gland NOS                                                                                                                                                                                                                 ,Solid tumour (3)                                  
CANCER,B03..,Malignant neoplasm of gum                                                                                                                                                                                                                                      ,Solid tumour (3)                                  
CANCER,B030.,Malignant neoplasm of upper gum                                                                                                                                                                                                                                ,Solid tumour (3)                                  
CANCER,B031.,Malignant neoplasm of lower gum                                                                                                                                                                                                                                ,Solid tumour (3)                                  
CANCER,B03z.,Malignant neoplasm of gum NOS                                                                                                                                                                                                                                  ,Solid tumour (3)                                  
CANCER,B04..,Malignant neoplasm of floor of mouth                                                                                                                                                                                                                           ,Solid tumour (3)                                  
CANCER,B040.,Malignant neoplasm of anterior portion of floor of mouth                                                                                                                                                                                                       ,Solid tumour (3)                                  
CANCER,B041.,Malignant neoplasm of lateral portion of floor of mouth                                                                                                                                                                                                        ,Solid tumour (3)                                  
CANCER,B042.,"Malignant neoplasm, overlapping lesion of floor of mouth                                                                                                                                                                                                       ",Solid tumour (3)                                  
CANCER,B04y.,Malignant neoplasm of other sites of floor of mouth                                                                                                                                                                                                            ,Solid tumour (3)                                  
CANCER,B04z.,Malignant neoplasm of floor of mouth NOS                                                                                                                                                                                                                       ,Solid tumour (3)                                  
CANCER,B05..,Malignant neoplasm of other and unspecified parts of mouth                                                                                                                                                                                                     ,Solid tumour (3)                                  
CANCER,B050.,Malignant neoplasm of cheek mucosa                                                                                                                                                                                                                             ,Solid tumour (3)                                  
CANCER,B0510,Malignant neoplasm of upper buccal sulcus                                                                                                                                                                                                                      ,Solid tumour (3)                                  
CANCER,B0511,Malignant neoplasm of lower buccal sulcus                                                                                                                                                                                                                      ,Solid tumour (3)                                  
CANCER,B052.,Malignant neoplasm of hard palate                                                                                                                                                                                                                              ,Solid tumour (3)                                  
CANCER,B053.,Malignant neoplasm of soft palate                                                                                                                                                                                                                              ,Solid tumour (3)                                  
CANCER,B054.,Malignant neoplasm of uvula                                                                                                                                                                                                                                    ,Solid tumour (3)                                  
CANCER,B055.,Malignant neoplasm of palate unspecified                                                                                                                                                                                                                       ,Solid tumour (3)                                  
CANCER,B0550,Malignant neoplasm of junction of hard and soft palate                                                                                                                                                                                                         ,Solid tumour (3)                                  
CANCER,B0551,Malignant neoplasm of roof of mouth                                                                                                                                                                                                                            ,Solid tumour (3)                                  
