Coding System (ICD-10 Read),Codes,Description,Entity type,Category
Read,9OI4.00,hypertens.monitor.1st letter,res30: Hypertension,diagnostic
Read,F404200,blind hypertensive eye,res30: Hypertension,diagnostic
Read,G222.00,hypertensive renal disease with renal failure,res30: Hypertension,diagnostic
Read,G672.11,hypertensive crisis,res30: Hypertension,diagnostic
Read,G21z.00,hypertensive heart disease nos,res30: Hypertension,diagnostic
Read,G240.00,secondary malignant hypertension,res30: Hypertension,diagnostic
Read,9OIA.00,hypertension monitor.chck done,res30: Hypertension,diagnostic
Read,9OIZ.00,hypertens.monitoring admin.nos,res30: Hypertension,diagnostic
Read,9h3..00,exception reporting: hypertension quality indicators,res30: Hypertension,diagnostic
Read,G244.00,hypertension secondary to endocrine disorders,res30: Hypertension,diagnostic
Read,9N4L.00,dna - did not attend hypertension clinic,res30: Hypertension,diagnostic
Read,G211000,benign hypertensive heart disease without ccf,res30: Hypertension,diagnostic
Read,L128.00,pre-exist hypertension compl preg childbirth and puerperium,res30: Hypertension,diagnostic
Read,U60C51A,[x] adverse reaction to antihypertensives nos,res30: Hypertension,diagnostic
Read,9OI2.00,refuses hypertension monitor.,res30: Hypertension,diagnostic
Read,G24zz00,secondary hypertension nos,res30: Hypertension,diagnostic
Read,G221.00,benign hypertensive renal disease,res30: Hypertension,diagnostic
Read,L127.00,pre-eclampsia or eclampsia with pre-existing hypertension,res30: Hypertension,diagnostic
Read,G21z000,hypertensive heart disease nos without ccf,res30: Hypertension,diagnostic
Read,9OI1.00,attends hypertension monitor.,res30: Hypertension,diagnostic
Read,G211100,benign hypertensive heart disease with ccf,res30: Hypertension,diagnostic
Read,G210.00,malignant hypertensive heart disease,res30: Hypertension,diagnostic
Read,G241z00,secondary benign hypertension nos,res30: Hypertension,diagnostic
Read,G240000,secondary malignant renovascular hypertension,res30: Hypertension,diagnostic
Read,L128200,pre-exist 2ndry hypertens comp preg childbth and puerperium,res30: Hypertension,diagnostic
Read,G234.00,hyperten heart&renal dis+both(congestv)heart and renal fail,res30: Hypertension,diagnostic
Read,G241.00,secondary benign hypertension,res30: Hypertension,diagnostic
Read,L122z00,other pre-existing hypertension in preg/childb/puerp nos,res30: Hypertension,diagnostic
Read,U60C500,"[x]oth antihyperten drug caus advers eff in therap use, nec",res30: Hypertension,diagnostic
Read,L122000,other pre-existing hypertension in preg/childb/puerp unspec,res30: Hypertension,diagnostic
Read,G240z00,secondary malignant hypertension nos,res30: Hypertension,diagnostic
Read,G210100,malignant hypertensive heart disease with ccf,res30: Hypertension,diagnostic
Read,L122.00,other pre-existing hypertension in preg/childbirth/puerp,res30: Hypertension,diagnostic
Read,L122100,other pre-existing hypertension in preg/childb/puerp - deliv,res30: Hypertension,diagnostic
Read,G23..00,hypertensive heart and renal disease,res30: Hypertension,diagnostic
Read,G23z.00,hypertensive heart and renal disease nos,res30: Hypertension,diagnostic
Read,G230.00,malignant hypertensive heart and renal disease,res30: Hypertension,diagnostic
Read,9OI9.00,hypertens.monitor deleted,res30: Hypertension,diagnostic
Read,L122300,other pre-exist hypertension in preg/childb/puerp-not deliv,res30: Hypertension,diagnostic
Read,L127z00,pre-eclampsia or eclampsia + pre-existing hypertension nos,res30: Hypertension,diagnostic
Read,662r.00,trial withdrawal of antihypertensive therapy,res30: Hypertension,diagnostic
Read,G210000,malignant hypertensive heart disease without ccf,res30: Hypertension,diagnostic
Read,Gyu2100,[x]hypertension secondary to other renal disorders,res30: Hypertension,diagnostic
Read,67H8.00,lifestyle advice regarding hypertension,res30: Hypertension,diagnostic
Read,Gyu2000,[x]other secondary hypertension,res30: Hypertension,diagnostic
Read,662P000,hypertension 9 month review,res30: Hypertension,diagnostic
Read,7Q01y00,other specified high cost hypertension drugs,res30: Hypertension,diagnostic
Read,662q.00,trial reduction of antihypertensive therapy,res30: Hypertension,diagnostic
Read,G26..11,severe hypertension,res30: Hypertension,diagnostic
Read,G210z00,malignant hypertensive heart disease nos,res30: Hypertension,diagnostic
Read,G27..00,hypertension resistant to drug therapy,res30: Hypertension,diagnostic
Read,G25..00,stage 1 hypertension (nice - nat ins for hth clin excl 2011),res30: Hypertension,diagnostic
Read,G25..11,stage 1 hypertension,res30: Hypertension,diagnostic
Read,G20..12,primary hypertension,res30: Hypertension,diagnostic
Read,G26..00,severe hypertension (nat inst for health clinical ex 2011),res30: Hypertension,diagnostic
Read,G211z00,benign hypertensive heart disease nos,res30: Hypertension,diagnostic
