SnomedCTConceptId,Preferred term,Body region,,,,,,,,,,
263130004,Sprain of ligament of thumb,FTB,,,,,,,,,,
263133002,Sprain of lateral ligament of ankle joint,ANK ,,,,,,,,,,
263199001,Fracture of distal end of radius,ARM/WRT,,,,,,,,,,
263225007,Fracture of proximal end of femur,HIP,,,,,,,,,,
263233008,"Closed fracture of femur, distal end",LEG/KNE,,,,,,,,,,
263244000,Bimalleolar fracture of ankle,ANK ,,,,,,,,,,
263246003,Fracture of talus,FOT,,,,,,,,,,
263247007,Fracture of calcaneus,FOT,,,,,,,,,,
263251009,Metatarsal bone fracture,FOT,,,,,,,,,,
26538006,Degeneration of lumbar intervertebral disc,BCK,,,,,,,,,,
267039000,Swollen ankle,ANK ,,,,,,,,,,
267109007,Symptom of ankle or foot,ANK/FOT,,,,,,,,,,
267889007,Generalised osteoarthritis of the hand,HND,,,,,,,,,,
267949000,Shoulder joint pain,SHD,,,,,,,,,,
267953003,Arthralgia of the lower leg,LEG,,,,,,,,,,
267954009,Arthralgia of the ankle and/or foot,ANK/FOT,,,,,,,,,,
267970006,Cervical spondylosis without myelopathy,NCK,,,,,,,,,,
267981009,Pain in thoracic spine,TXS,,,,,,,,,,
267982002,Pain in lumbar spine,BCK,,,,,,,,,,
269062008,Closed fracture of cervical spine,NCK,,,,,,,,,,
269080004,Closed fracture of lower end of humerus,ARM/ELB,,,,,,,,,,
269083002,Closed Colles' fracture,WRT,,,,,,,,,,
269105005,Dislocation or subluxation of shoulder,SHD,,,,,,,,,,
269111008,Dislocation or subluxation of finger or thumb,FTB,,,,,,,,,,
269112001,Dislocation or subluxation of knee,KNE,,,,,,,,,,
269113006,Acute meniscal tear medial,KNE,,,,,,,,,,
270476009,Wry neck/torticollis,NCK,,,,,,,,,,
270887007,Rupture of popliteal space synovial cyst,KNE,,,,,,,,,,
271587009,Stiffness ,UNS,,,,,,,,,,
271771009,Joint swelling,UNS,,,,,,,,,,
27182002,Sprain of acromioclavicular ligament,SHD,,,,,,,,,,
272009001,Complaining of a back symptom,BCK,,,,,,,,,,
272014002,Complaining of foot symptom,FOT,,,,,,,,,,
2733002,Heel pain,FOT,,,,,,,,,,
274142002,Dupuytren's contracture,HND,,,,,,,,,,
274160002,Fracture of phalanx of thumb,FTB,,,,,,,,,,
274162005,Thoracic back sprain,TXS,,,,,,,,,,
274179004,Traumatic haematoma,UNS,,,,,,,,,,
2764000,Joint crepitus,UNS,,,,,,,,,,
27741009,Calcific tendinitis of shoulder,SHD,,,,,,,,,,
277890004,Swollen toe,TOE,,,,,,,,,,
278860009,Chronic low back pain,BCK,,,,,,,,,,
278862001,Acute low back pain,BCK,,,,,,,,,,
279029001,Pain in cervical spine,NCK,,,,,,,,,,
279035001,Acute thoracic back pain,BCK,,,,,,,,,,
279038004,Thoracic back pain,TXS,,,,,,,,,,
279039007,Low back pain,BCK,,,,,,,,,,
279040009,Mechanical low back pain,BCK,,,,,,,,,,
279043006,Pain in buttock,HIP/BCK,,,,,,,,,,
279069000,Musculoskeletal pain,UNS,,,,,,,,,,
281531008,Fracture of medial malleolus,KNE,,,,,,,,,,
281535004,Fracture of lateral malleolus,ANK ,,,,,,,,,,
281543009,Strain of tendon of medial thigh muscle,HIP/LEG,,,,,,,,,,
281598004,Sprain of spinal ligament,BCK,,,,,,,,,,
281792000,Swollen lower leg,LEG,,,,,,,,,,
281974002,Weber type B fracture,ANK ,,,,,,,,,,
281975001,Weber type A fracture,ANK ,,,,,,,,,,
282026002,Soft tissue injury,UNS,,,,,,,,,,
282766005,Lower back injury,BCK,,,,,,,,,,
282775007,Calf injury,LEG,,,,,,,,,,
282776008,Injury of toe,TOE,,,,,,,,,,
283858004,Crush injury of thumb,FTB,,,,,,,,,,
285365001,Pain in toe,TOE,,,,,,,,,,
285395009,Strain of calf muscle,LEG,,,,,,,,,,
29210001,Trochanteric tendinitis,HIP,,,,,,,,,,
297142003,Swollen foot,FOT,,,,,,,,,,
297193007,Ganglion of hand,HND,,,,,,,,,,
297194001,Ganglion of foot,FOT,,,,,,,,,,
298382003,Scoliosis deformity of spine,BCK,,,,,,,,,,
298494008,Scoliosis of thoracic spine,TXS,,,,,,,,,,
298857005,Shoulder joint painful on movement,SHD,,,,,,,,,,
299037003,Swollen hand,HND,,,,,,,,,,
299060006,Swelling of finger,FTB,,,,,,,,,,
299331007,Bandy legged,LEG,,,,,,,,,,
30085007,Morton metatarsalgia,TOE,,,,,,,,,,
300954003,Pain in calf,LEG,,,,,,,,,,
300955002,Pain in thumb,FTB,,,,,,,,,,
301813003,Irritable hip,HIP,,,,,,,,,,
302222008,Elbow fracture - closed,ELB,,,,,,,,,,
302941001,Nonunion of fracture,UNS,,,,,,,,,,
30556007,Recurrent dislocation of shoulder region,SHD,,,,,,,,,,
30760008,Finger clubbing,FTB,,,,,,,,,,
308153009,Closed fracture of distal fibula,ANK/LEG,,,,,,,,,,
309246000,Osteoarthritis of foot joint,FOT,,,,,,,,,,
309567004,Toe problem,TOE,,,,,,,,,,
30989003,Knee pain,KNE,,,,,,,,,,
310483003,Complaining of pain in toe,TOE,,,,,,,,,,
310484009,Complaining of pain in hallux,TOE,,,,,,,,,,
311804006,Prolapsed lumbar intervertebral disc with sciatica,BCK,,,,,,,,,,
311821002,Closed fracture of great toe,TOE,,,,,,,,,,
312225001,Musculoskeletal and connective tissue diseases,UNS,,,,,,,,,,
314916002,Swollen thumb,FTB,,,,,,,,,,
31975004,Fracture of navicular bone of wrist,WRT,,,,,,,,,,
31978002,Fracture of tibia,LEG,,,,,,,,,,
3199001,Sprain of shoulder,SHD,,,,,,,,,,
33173003,Closed fracture of clavicle,SHD,,,,,,,,,,
33192001,Closed fracture of lower end of radius AND ulna,ARM/WRT,,,,,,,,,,
33308003,Disorder of back,BCK,,,,,,,,,,
342070009,Closed fracture of foot,FOT,,,,,,,,,,
34268009,Closed fracture of lateral malleolus,ANK ,,,,,,,,,,
34789001,Pain in the coccyx,BCK,,,,,,,,,,
34840004,Tendinitis,UNS,,,,,,,,,,
35678005,Multiple joint pain,MSW,,,,,,,,,,
359532006,Rotator cuff impingement syndrome,SHD,,,,,,,,,,
359817006,Closed fracture of hip,HIP,,,,,,,,,,
359820003,Closed fracture of neck of femur,HIP,,,,,,,,,,
360450007,Strain of neck muscle,NCK,,,,,,,,,,
36071006,Chondromalacia of patella,KNE,,,,,,,,,,
36186002,Polyarthropathy,MSW,,,,,,,,,,
36427004,Intervertebral disc disorder,SPN,,,,,,,,,,
36924003,Closed fracture of metatarsal bone,FOT,,,,,,,,,,
371081002,Arthritis of knee,KNE,,,,,,,,,,
371598009,Heberden node,FTB,,,,,,,,,,
37785001,Patellar tendonitis,KNE,,,,,,,,,,
37895003,Osteoarthrosis of the carpometacarpal joint of the thumb,FTB,,,,,,,,,,
387800004,Cervical spondylosis,NCK,,,,,,,,,,
387802007,Thoracic spondylosis,TXS,,,,,,,,,,
396275006,Osteoarthritis,UNS,,,,,,,,,,
39848009,Whiplash injury to neck,NCK,,,,,,,,,,
398878007,Sprain of ligament,UNS,,,,,,,,,,
399114005,Adhesive capsulitis of shoulder,SHD,,,,,,,,,,
399269003,Arthropathy,UNS,,,,,,,,,,
399346004,Supraspinatus tear,SHD,,,,,,,,,,
40144003,Morning stiffness - joint,UNS,,,,,,,,,,
404098005,Digital mucous cyst,FTB/TOE,,,,,,,,,,
4046000,Degenerative spondylolisthesis,BCK,,,,,,,,,,
405817008,Fracture of phalanx of hand,FTB,,,,,,,,,,
40799003,Subacromial bursitis,SHD,,,,,,,,,,
4106009,Rotator cuff syndrome,SHD,,,,,,,,,,
413428007,Acquired kyphosis,TXS,,,,,,,,,,
413875004,Closed fracture of head of humerus,SHD,,,,,,,,,,
414293001,Fracture of tibia AND fibula,LEG,,,,,,,,,,
41511005,Open fracture of distal phalanx of finger,FTB,,,,,,,,,,
415692008,Swelling of first metatarsophalangeal joint of hallux,TOE,,,,,,,,,,
416189003,Exostosis,UNS,,,,,,,,,,
416209007,Synovitis,UNS,,,,,,,,,,
417076003,Dislocation of shoulder joint,SHD,,,,,,,,,,
417109008,Subluxation of radial head,ARM/ELB,,,,,,,,,,
417163006,Traumatic AND/OR non-traumatic injury,UNS,,,,,,,,,,
417558002,Dislocation of elbow joint,ELB,,,,,,,,,,
417746004,Traumatic injury,UNS,,,,,,,,,,
418237007,Pain in hallux,TOE,,,,,,,,,,
42188001,Closed fracture of ankle,ANK ,,,,,,,,,,
423849004,Iliotibial band friction syndrome,LEG,,,,,,,,,,
424648000,Closed fracture of base of fifth metatarsal bone,FOT,,,,,,,,,,
425940002,Olecranon bursitis,ELB,,,,,,,,,,
42636007,Closed fracture of upper end of humerus,ARM/SHD,,,,,,,,,,
42786005,Snapping thumb syndrome,FTB,,,,,,,,,,
428151000,Closed fracture of bone of knee joint,KNE,,,,,,,,,,
42818005,Closed fracture of scaphoid bone of wrist,WRT,,,,,,,,,,
428257007,Fracture of tibial plateau,KNE,,,,,,,,,,
428883008,Rupture biceps tendon,ARM,,,,,,,,,,
429513001,Rupture Achilles tendon,ANK/LEG,,,,,,,,,,
4308002,Repetitive strain injury,UNS,,,,,,,,,,
432473000,Femoral acetabular impingement,HIP,,,,,,,,,,
43295006,Closed fracture of humerus,ARM,,,,,,,,,,
43422002,Crushing injury of foot,FOT,,,,,,,,,,
442048005,Tenosynovitis of wrist,WRT,,,,,,,,,,
442056008,Torus fracture,UNS,,,,,,,,,,
442085002,Greenstick fracture,UNS,,,,,,,,,,
442520000,Inflammation of rotator cuff tendon,SHD,,,,,,,,,,
443700006,Disorder of lumbar disc,BCK,,,,,,,,,,
443798008,Arthritis of shoulder region joint,SHD,,,,,,,,,,
44465007,Sprain of ankle,ANK ,,,,,,,,,,
445008009,Ganglion,UNS,,,,,,,,,,
447139008,Closed fracture of tibia,LEG,,,,,,,,,,
447395005,Closed fracture of fibula,LEG,,,,,,,,,,
448355005,Greenstick fracture of distal radius,ARM/WRT,,,,,,,,,,
448394006,Inflammation of joint of foot,FOT,,,,,,,,,,
448589005,Arthritis of hand,HND,,,,,,,,,,
449917004,Cramp in lower limb,LEG,,,,,,,,,,
450521003,Osteoarthritis of patellofemoral joint,KNE,,,,,,,,,,
45231001,Infrapatellar bursitis,KNE,,,,,,,,,,
45326000,Shoulder pain,SHD,,,,,,,,,,
45352006,Spasm of muscle,UNS,,,,,,,,,,
45613006,Contusion of lower leg,LEG,,,,,,,,,,
46866001,Fracture of lower limb,LEG,,,,,,,,,,
47933007,Foot pain,FOT,,,,,,,,,,
481000119104,Strain of hamstring muscle ,LEG,,,,,,,,,,
48210000,Lumbosacral spondylosis without myelopathy,BCK,,,,,,,,,,
48532005,Muscle strain,UNS,,,,,,,,,,
49218002,Hip pain,HIP,,,,,,,,,,
49388007,Sprain of foot,FOT,,,,,,,,,,
51037009,Fracture of patella,KNE,,,,,,,,,,
52011008,Injury of finger,FTB,,,,,,,,,,
53057004,Hand pain,HND,,,,,,,,,,
53208009,Peroneal tendinitis,ANK/FOT,,,,,,,,,,
53226007,Pes planus,FOT,,,,,,,,,,
53286005,Medial epicondylitis of elbow joint,ELB,,,,,,,,,,
53627009,Closed fracture of radius AND ulna,ARM/WRT,,,,,,,,,,
54556006,Fracture of ulna,ARM/WRT,,,,,,,,,,
54888009,Sprain of knee,KNE,,,,,,,,,,
55146009,Sacroiliitis,BCK,,,,,,,,,,
55260003,Calcaneal spur,FOT,,,,,,,,,,
55300003,Cramp,UNS,,,,,,,,,,
56608008,Pain in wrist,WRT,,,,,,,,,,
57406009,Carpal tunnel syndrome,WRT/HND,,,,,,,,,,
57676002,Joint pain,UNS,,,,,,,,,,
58150001,Fracture of clavicle,SHD,,,,,,,,,,
58580000,Closed supracondylar fracture of humerus,ARM/ELB,,,,,,,,,,
58781003,Gluteal tendinitis,HIP,,,,,,,,,,
5913000,Fracture of neck of femur,HIP,,,,,,,,,,
61007003,Separation of symphysis pubis during delivery,HIP,,,,,,,,,,
62629000,Divarication of recti,ABD,,,,,,,,,,
637091000000105,"Osteoarthritis NOS, of the lower leg",KNE,,,,,,,,,,
64217002,Curvature of spine,TXS/BCK,,,,,,,,,,
64298006,Mallet finger,FTB,,,,,,,,,,
64455005,Fracture of acetabulum,HIP/SHD,,,,,,,,,,
64665009,Closed fracture of calcaneus,FOT,,,,,,,,,,
65260001,Cervical spondylosis with myelopathy,NCK,,,,,,,,,,
65358001,Acquired hallux valgus,TOE,,,,,,,,,,
65966004,Fracture of forearm,ARM,,,,,,,,,,
66308002,Fracture of humerus,ARM,,,,,,,,,,
6654000,Acquired hallux rigidus,TOE,,,,,,,,,,
6698000,Closed trimalleolar fracture,ANK ,,,,,,,,,,
67315001,Degenerative joint disease of shoulder region,SHD,,,,,,,,,,
67801009,Tenosynovitis,HND,,,,,,,,,,
68449006,Arthritis of hip,HIP,,,,,,,,,,
6858004,Capsulitis,UNS,,,,,,,,,,
68854005,Closed fracture of head of radius,ARM/ELB,,,,,,,,,,
68962001,Muscle pain,UNS,,,,,,,,,,
69195002,Degeneration of cervical intervertebral disc,NCK,,,,,,,,,,
699062006,Injury of shoulder and upper arm,SHD/ARM,,,,,,,,,,
699370008,Symptom of foot,FOT,,,,,,,,,,
699462004,Monoarthritis,UNS,,,,,,,,,,
70070008,Torticollis,NCK,,,,,,,,,,
704213001,Closed fracture of phalanx of thumb,FTB,,,,,,,,,,
70704007,Sprain of wrist,WRT,,,,,,,,,,
712893003,Traumatic and/or non-traumatic injury of back,BCK,,,,,,,,,,
71620000,Fracture of femur,LEG,,,,,,,,,,
72047008,Osgood Schlatter disease,KNE,,,,,,,,,,
721291009,"Disorder of patella, unspecified",KNE,,,,,,,,,,
73589001,Intervertebral disc prolapse,SPN,,,,,,,,,,
74323005,Pain in elbow,ELB,,,,,,,,,,
74779009,Strain of rotator cuff capsule,SHD  ,,,,,,,,,,
74814004,Contusion of foot,FOT,,,,,,,,,,
75308009,Closed fracture of navicular bone of foot,FOT,,,,,,,,,,
75591007,Fracture of fibula,LEG,,,,,,,,,,
75857000,Fracture of radius AND ulna,ARM,,,,,,,,,,
76107001,Spinal stenosis,BCK,,,,,,,,,,
7674000,Greater trochanteric pain syndrome,HIP,,,,,,,,,,
76865005,Closed fracture of distal phalanx of finger,FTB,,,,,,,,,,
771083005,Pain in upper arm,ARM,,,,,,,,,,
77493009,Fracture of pelvis,HIP,,,,,,,,,,
77547008,Degeneration of intervertebral disc,SPN,,,,,,,,,,
78435003,Ganglion of joint,UNS,,,,,,,,,,
78514002,Thigh pain,LEG,,,,,,,,,,
788465007,Repetitive motion disorder,UNS,,,,,,,,,,
789758005,Strain of rotator cuff of shoulder,SHD,,,,,,,,,,
80068009,Swelling of limb,LEG/ARM,,,,,,,,,,
