Coding System (ICD-10 Read),Codes,Description,Entity type,Category
Read,7B00211,allotransplantation of kidney from cadaver,res30: ESRD,diagnostic
Read,Z1A..00,dialysis training,res30: ESRD,diagnostic
Read,ZV56000,[v]aftercare involving extracorporeal dialysis,res30: ESRD,diagnostic
Read,7L1B200,flushing of peritoneal dialysis catheter,res30: ESRD,diagnostic
Read,K055.00,chronic kidney disease stage 5,res30: ESRD,diagnostic
Read,7B0Fz00,interventions associated with transplantation of kidney nos,res30: ESRD,diagnostic
Read,7B0F300,"post-transplantation of kidney examination, recipient",res30: ESRD,diagnostic
Read,7B0Fy00,os interventions associated with transplantation of kidney,res30: ESRD,diagnostic
Read,9b8K.00,transplantation surgery,res30: ESRD,diagnostic
Read,SP08T00,urological complication of renal transplant,res30: ESRD,diagnostic
