terminology,code,term
BNF,0703010G0AAAAAA,Ethinylestradiol 35microg / Norethisterone 500microg tab
BNF,0703010P0AAAEAE,Generic Logynon ED tablets
BNF,0703010G0BGAAAC,Lizinna 250microgram/35microgram tablets
BNF,0703010F0CGAAAE,Sofiperla 75microgram/30microgram tablets
BNF,0703010P0BEAAAF,Synphase tablets
BNF,0703010F0AAAGAG,Generic Femodene ED tablets
BNF,0703010F0AAAFAF,Ethinylestradiol 30microg / Norethisterone acetate 1.5mg tab
BNF,0703010E0BJAAAC,Millinette 20microgram/75microgram tablets
BNF,0703010E0BCAAAB,Mercilon 150microgram/20microgram tablets
BNF,0703010E0BLAAAB,Lestramyl 20microgram/150microgram tablets
BNF,0703010F0BLAAAJ,Yasmin tablets
BNF,0703010F0BUAAAA,Lestramyl 30microgram/150microgram tablets
BNF,0703010F0BZAAAA,Munalea 150microgram/30microgram tablets
BNF,0703010G0AAABAB,Ethinylestradiol 35microgram / Norethisterone 1mg tablets
BNF,0703010F0AAAJAJ,Ethinylestradiol 30microgram / Drospirenone 3mg tablets
BNF,0703010F0BEABAH,Microgynon 30 ED tablets
BNF,0703010E0BMAAAC,Aidulan 20microgram/75microgram tablets
BNF,0703010E0BUAAAC,Akizza 75microgram/20microgram tablets
BNF,0703010E0AAACAC,Ethinylestradiol 20microgram / Gestodene 75microgram tablets
BNF,0703010F0BTAAAA,Cimizt 30microgram/150microgram tablets
BNF,0703010F0AAACAC,Ethinylestradiol 30microg / Levonorgestrel 150microg tab
BNF,0703010E0BQAAAB,Bimizza 150microgram/20microgram tablets
BNF,0703011A0BCAAAA,SyreniRing 0.12mg/0.015mg per day vaginal delivery system
BNF,0703010G0BFAAAC,Cilest 35microgram/250microgram tablets
BNF,0703011A0AAAAAA,Ethinylest 2.7mg/Etonogestrel 11.7mg vaginal delivery system
BNF,0703010F0BVAAAJ,Lucette 0.03mg/3mg tablets
BNF,0703010F0BJAAAE,Femodene tablets
BNF,0703010R0BBAAAA,Qlaira tablets
BNF,0703010F0CFAAAJ,Yacella 0.03mg/3mg tablets
BNF,0703010E0BPAAAB,Alenini 150microgram/20microgram tablets
BNF,0703010R0AAAAAA,Generic Qlaira tablets
BNF,0703010P0BBABAE,Logynon ED tablets
BNF,0703010P0BHAAAD,Triadene tablets
BNF,0703010E0BKAAAF,Yaz tablets
BNF,0703010F0CDAAAC,Erlibelle 30microgram/150microgram tablets
BNF,0703010P0BBAAAA,Logynon tablets
BNF,0703010S0BBAAAA,Zoely 2.5mg/1.5mg tablets
BNF,0703010F0CBAAAA,Alenvona 150microgram/30microgram tablets
BNF,0703010P0AAAAAA,Generic Logynon tablets
BNF,0703010E0BGAAAE,Evra transdermal patches
BNF,0703010G0BBAAAA,Ovysmen 500microgram/35microgram tablets
BNF,0703010F0CHAAAJ,Yiznell 0.03mg/3mg tablets
BNF,0703010F0BBAAAA,Marvelon tablets
BNF,0703010F0BWAAAJ,Acondro 0.03mg/3mg tablets
BNF,0703010F0BFAAAC,Ovranette 150microgram/30microgram tablets
BNF,0703010E0BRAAAF,Eloine 0.02mg/3mg tablets
