Coding System (ICD-10 Read),Codes,Description,Entity type,Category
Read,323Z.00,ECG: myocardial infarct NOS,res42: cardiovascular disease,diagnostic
Read,G30..13,Cardiac rupture following myocardial infarction (MI),res42: cardiovascular disease,diagnostic
Read,G30..15,MI - acute myocardial infarction,res42: cardiovascular disease,diagnostic
Read,G30..12,Coronary thrombosis,res42: cardiovascular disease,diagnostic
Read,G30..00,Acute myocardial infarction,res42: cardiovascular disease,diagnostic
Read,G30X.00,Acute transmural myocardial infarction of unspecif site,res42: cardiovascular disease,diagnostic
Read,G305.00,Lateral myocardial infarction NOS,res42: cardiovascular disease,diagnostic
Read,G381.00,Postoperative transmural myocardial infarction inferior wall,res42: cardiovascular disease,diagnostic
Read,G304.00,Posterior myocardial infarction NOS,res42: cardiovascular disease,diagnostic
Read,G301z00,Anterior myocardial infarction NOS,res42: cardiovascular disease,diagnostic
Read,G30B.00,Acute posterolateral myocardial infarction,res42: cardiovascular disease,diagnostic
Read,G308.00,Inferior myocardial infarction NOS,res42: cardiovascular disease,diagnostic
Read,G307100,Acute non-ST segment elevation myocardial infarction,res42: cardiovascular disease,diagnostic
Read,G306.00,True posterior myocardial infarction,res42: cardiovascular disease,diagnostic
Read,G350.00,Subsequent myocardial infarction of anterior wall,res42: cardiovascular disease,diagnostic
Read,G30y.00,Other acute myocardial infarction,res42: cardiovascular disease,diagnostic
Read,G30X000,Acute ST segment elevation myocardial infarction,res42: cardiovascular disease,diagnostic
Read,G380.00,Postoperative transmural myocardial infarction anterior wall,res42: cardiovascular disease,diagnostic
Read,G35..00,Subsequent myocardial infarction,res42: cardiovascular disease,diagnostic
Read,G30z.00,Acute myocardial infarction NOS,res42: cardiovascular disease,diagnostic
Read,G30yz00,Other acute myocardial infarction NOS,res42: cardiovascular disease,diagnostic
Read,G311500,Acute coronary syndrome,res42: cardiovascular disease,diagnostic
Read,G311000,Myocardial infarction aborted,res42: cardiovascular disease,diagnostic
Read,G311011,MI - myocardial infarction aborted,res42: cardiovascular disease,diagnostic
Read,G351.00,Subsequent myocardial infarction of inferior wall,res42: cardiovascular disease,diagnostic
Read,G38..00,Postoperative myocardial infarction,res42: cardiovascular disease,diagnostic
Read,G35X.00,Subsequent myocardial infarction of unspecified site,res42: cardiovascular disease,diagnostic
Read,G353.00,Subsequent myocardial infarction of other sites,res42: cardiovascular disease,diagnostic
Read,G61..12,Stroke due to intracerebral haemorrhage,res42: cardiovascular disease,diagnostic
Read,G38z.00,"Postoperative myocardial infarction, unspecified",res42: cardiovascular disease,diagnostic
Read,G64..13,Stroke due to cerebral arterial occlusion,res42: cardiovascular disease,diagnostic
Read,G66..00,Stroke and cerebrovascular accident unspecified,res42: cardiovascular disease,diagnostic
Read,Gyu3400,[X]Acute transmural myocardial infarction of unspecif site,res42: cardiovascular disease,diagnostic
Read,G66..12,Stroke unspecified,res42: cardiovascular disease,diagnostic
