terminology,code,term
BNF,0205052B0BBAAAA,Olmetec 10mg tablets
BNF,0206020C0BHABAT,Dilzem SR 90 capsules
BNF,0205051Q0BBAAAA,Accupro 5mg tablets
BNF,0202010P0BHAAAD,Tensaid XL 1.5mg tablets
BNF,0205051L0AAABAB,Lisinopril 5mg tablets
BNF,0205040S0AAAKAK,Prazosin 1mg/5ml oral liquid
BNF,0202010L0BCAAAB,Hydrosaluric 25mg tablets
BNF,0205052X0BBACAC,Co-Diovan 80mg/12.5mg tablets
BNF,0202010L0AAABAB,Hydrochlorothiazide 25mg tablets
BNF,0206020R0AABRBR,Nifedipine 5mg/5ml oral suspension
BNF,0205051K0AAAAAA,Lisinopril 20mg / Hydrochlorothiazide 12.5mg tablets
BNF,0205051Y0AAAAAA,Perindopril arginine 2.5mg tablets
BNF,0205040D0AAAZAZ,Doxazosin 1mg/5ml oral solution
BNF,0205051R0AAATAT,Ramipril 2.5mg/5ml oral solution sugar free
BNF,0206020T0BHABAH,Verapress MR 240mg tablets (Sandoz)
BNF,0205010X0AAAAAA,Ambrisentan 5mg tablets
BNF,0206020I0AAAAAA,Isradipine 2.5mg tablets
BNF,0206020C0BFAHAV,Adizem-XL 180mg capsules
BNF,0202030C0AAASAS,Amiloride 5mg/5ml oral solution sugar free
BNF,0205051I0AAAUAU,Enalapril 10mg/5ml oral solution
BNF,0206020F0BEABAC,Felotens XL 10mg tablets
BNF,0205052R0BCAAAA,Actelsar HCT 40mg/12.5mg tablets
BNF,0204000N0AAAFAF,Oxprenolol 160mg modified-release tablets
BNF,0206020R0CGAAAE,Calchan MR 10 tablets
BNF,020400080AAABAB,Carvedilol 12.5mg tablets
BNF,0205052R0AAABAB,Telmisartan 80mg / Hydrochlorothiazide 12.5mg tablets
BNF,0204000H0BFAEAL,Cardicor 7.5mg tablets
BNF,0204000T0AAAEAE,Sotalol 160mg tablets
BNF,0205051I0AABZBZ,Enalapril 5mg/5ml oral suspension
BNF,0206020A0AAANAN,Amlodipine 2mg/5ml oral liquid
BNF,0205052Q0AAAAAA,Telmisartan 40mg tablets
BNF,0204000I0AAADAD,Labetalol 200mg tablets
BNF,0205051R0AAALAL,Ramipril 2.5mg tablets
BNF,0205052I0BBAAAA,Aprovel 75mg tablets
BNF,0204000M0AAAJAJ,Nadolol 40mg/5ml oral suspension
BNF,0205051F0BIABEA,Noyada 5mg/5ml oral solution
BNF,020400010AAAAAA,Pindolol 10mg / Clopamide 5mg tablets
BNF,0206020R0AABFBF,Nifedipine 60mg modified-release capsules
BNF,0205052Y0AAAAAA,Olmesartan medoxomil 20mg / Hydrochlorothiazide 12.5mg tab
BNF,0205051S0AAABAB,Felodipine 5mg modified-release / Ramipril 5mg tablets
BNF,0206020Z0AAAAAA,Amlodipine 5mg / Valsartan 80mg tablets
BNF,0206020A0AAAUAU,Amlodipine 5mg/5ml oral suspension sugar free
BNF,0205051Q0BBABAB,Accupro 10mg tablets
BNF,0202030S0BBABAU,Aldactone 50mg tablets
BNF,0205052AEAAABAB,Sacubitril 97mg / Valsartan 103mg tablets
BNF,0206020F0BIAAAB,Vascalpha 5mg modified-release tablets (Accord)
BNF,0205052R0BDAAAA,Tolucombi 40mg/12.5mg tablets
BNF,0205052V0AAABAB,Valsartan 80mg capsules
BNF,0206020K0AAAEAE,Lacidipine 6mg tablets
BNF,0202010D0AABIBI,Chlorothiazide 200mg/5ml oral solution
BNF,0204000ACAAADAD,Bisoprolol 5mg / Aspirin 100mg capsules
BNF,0206020C0AAAEAE,Diltiazem 300mg modified-release capsules
BNF,0206020R0CFABAN,Valni XL 30mg tablets
BNF,0204000P0AAAAAA,Pindolol 5mg tablets
BNF,0205051F0AABPBP,Captopril 20mg/5ml oral liquid
BNF,0206020R0BWAAAE,Tensipine MR 10 tablets
BNF,0205052N0AAAIAI,Losartan 2.5mg/ml oral suspension sugar free
BNF,0206020C0BHAAAJ,Dilzem SR 60 capsules
BNF,0204000T0AAAFAF,Sotalol 200mg tablets
BNF,0205052ADAAACAC,Azilsartan medoxomil 80mg tablets
BNF,0204000C0BBADAD,Sectral 400mg tablets
BNF,0205040I0AAAAAA,Indoramin 25mg tablets
BNF,0206020F0BIAFAC,Vascalpha 10mg modified-release tablets (NorthStar)
BNF,0205010Y0AAACAC,Sildenafil 10mg/12.5ml solution for injection vials
BNF,0205052V0BBADAD,Diovan 40mg tablets
BNF,0206020C0BIAAAU,Slozem 120mg capsules
BNF,0205052R0AAAAAA,Telmisartan 40mg / Hydrochlorothiazide 12.5mg tablets
BNF,0205052ABAAABAB,Olmesartan medoxomil 40mg / Amlodipine 5mg tablets
BNF,0206020F0BJACAD,Parmid XL 2.5mg tablets
BNF,0202010P0BNAAAD,Alkapamid XL 1.5mg tablets (HBS Healthcare)
BNF,0206020F0BDACAC,Cabren 10mg modified-release tablets
BNF,0204000I0AAAJAJ,Labetalol 200mg/5ml oral liquid
BNF,0202030S0AAAVAV,Spironolactone 100mg tablets
BNF,0206020Z0BBACAC,Exforge 10mg/160mg tablets
BNF,0202010P0BBAAAA,Natrilix 2.5mg tablets
BNF,0205040D0BBAEAR,Cardura XL 8mg tablets
BNF,0205053A0AAABAB,Aliskiren 300mg tablets
BNF,0205052ACBBAAAA,Sevikar HCT 20mg/5mg/12.5mg tablets
BNF,0205052ABBBAAAA,Sevikar 20mg/5mg tablets
BNF,0202030X0BBABAB,Inspra 50mg tablets
BNF,0204000M0AAAFAF,Nadolol 30mg/5ml oral solution
BNF,0205051F0AACICI,Captopril 3.125mg/5ml oral liquid
BNF,0206020F0AAACAC,Felodipine 10mg modified-release tablets
BNF,0206020A0AAATAT,Amlodipine 10mg/5ml oral solution sugar free
BNF,0205052I0BEACAC,Ifirmasta 300mg tablets
BNF,0206020C0AAATAT,Diltiazem 90mg modified-release capsules
BNF,0204000I0AAACAC,Labetalol 100mg tablets
BNF,0205052V0AAAFAF,Valsartan 320mg tablets
BNF,0202010P0BQAAAD,Lorvacs XL 1.5mg tablets
BNF,0204000T0AABCBC,Sotalol 25mg/5ml oral suspension
BNF,0205010J0AABQBQ,Hydralazine 2.5mg/5ml oral liquid
BNF,020400040AAAAAA,Co-tenidone 50mg/12.5mg tablets
BNF,0206020R0BXAAAX,Fortipine LA 40 tablets
BNF,0202030S0AAECEC,Spironolactone 5mg/5ml oral suspension
BNF,0205051Q0BBADAD,Accupro 40mg tablets
BNF,020400080AAACAC,Carvedilol 25mg tablets
BNF,0206020C0BFADAU,Adizem-SR 120mg capsules
BNF,0206020Q0BBADAD,Cardene SR 45mg capsules
BNF,0205052V0BBAAAA,Diovan 40mg capsules
BNF,0205051F0AAAEAE,Captopril 25mg tablets
BNF,0205051W0AAAAAA,Imidapril 10mg tablets
BNF,0205052I0AAAFAF,Irbesartan 150mg/5ml oral suspension
BNF,0206020C0AABHBH,Diltiazem 10mg/5ml oral solution
BNF,0204000E0AAACAC,Atenolol 100mg tablets
BNF,0204000K0AABKBK,Metoprolol 12.5mg/5ml oral solution
BNF,0202010B0BBAAAB,Aprinox 2.5mg tablets
BNF,0205052V0BBAEAF,Diovan 320mg tablets
BNF,0204000T0AAABAB,Sotalol 40mg tablets
BNF,0205020M0AAABAB,Moxonidine 400microgram tablets
BNF,0205051U0AAAFAF,Trandolapril 4mg capsules
BNF,0205052Y0AAABAB,Olmesartan medoxomil 20mg / Hydrochlorothiazide 25mg tablets
BNF,0202010P0BLAAAD,Rawel XL 1.5mg tablets
BNF,020400030AAAEAE,Timolol 10mg / Bendroflumethiazide 2.5mg tablets
BNF,0205051M0BBABAB,Coversyl 4mg tablets
BNF,0202030C0AAACAC,Amiloride 5mg tablets
BNF,0206020C0BNAAAU,Viazem XL 120mg capsules
BNF,0206020T0BDAGAU,Half Securon SR 120mg tablets
BNF,0202010V0AAANAN,Metolazone 2.5mg tablets
BNF,0206020C0BYAAAJ,Kenzem SR 60mg capsules
BNF,0205040D0AAAYAY,Doxazosin 4mg/5ml oral suspension
BNF,0202030S0AACZCZ,Spironolactone 250mg/5ml oral liquid
BNF,0205010N0AAACAC,Minoxidil 10mg tablets
BNF,0206020Z0AAABAB,Amlodipine 5mg / Valsartan 160mg tablets
BNF,0206020C0BVAAAV,Zemret 180 XL capsules
BNF,020400060BBABAB,Celectol 400mg tablets
BNF,0205020E0AAAHAH,Clonidine 300micrograms/24hours transdermal patches
BNF,020400040AAABAB,Co-tenidone 100mg/25mg tablets
BNF,0206020C0BHADAU,Dilzem XL 120 capsules
BNF,0205051F0AAEAEA,Captopril 5mg/5ml oral solution sugar free
BNF,0206020F0BGACAD,Folpik XL 2.5mg tablets
BNF,0204000M0BBABAB,Corgard 80mg tablets
BNF,0204000N0BEAAAF,Slow-Trasicor 160mg tablets
BNF,0206020A0BFABAB,Amlostin 10mg tablets
BNF,0205052Y0BBABAB,Olmetec Plus 20mg/25mg tablets
BNF,0205051S0BBAAAA,Triapin 2.5mg/2.5mg modified-release tablets
BNF,0206020R0CHABAP,Neozipine XL 60mg tablets
BNF,0204000K0AAANAN,Metoprolol 5mg/5ml oral liquid
BNF,0205040D0AAAKAK,Doxazosin 5mg/5ml oral liquid
BNF,0206020C0BPAAAT,Dilcardia SR 90mg capsules
BNF,0202010P0AAAFAF,Indapamide 1.5mg modified-release tablets (old)
BNF,0205051AAAAACAC,Perindopril tosilate 10mg tablets
BNF,0202010P0BPAAAD,Alkapamid XL 1.5mg tablets (Rivopharm)
BNF,0205052C0AAAHAH,Candesartan 32mg tablets
BNF,0205052AEBBABAB,Entresto 97mg/103mg tablets
BNF,0202010Y0AAAAAA,Xipamide 20mg tablets
BNF,0205020M0BBAAAA,Physiotens 200microgram tablets (Mylan)
BNF,0206020C0BRAAAJ,Bi-Carzem SR 60mg capsules
BNF,0204000H0AABDBD,Bisoprolol 625micrograms/5ml oral liquid
BNF,0206020A0AAAVAV,Amlodipine 2.5mg tablets
BNF,0205052A0BBAAAA,CoAprovel 150mg/12.5mg tablets
BNF,0206020A0AAAMAM,Amlodipine 1.5mg/5ml oral liquid
BNF,0206020T0BDAIAA,Securon IV 5mg/2ml solution for injection ampoules
BNF,0206020R0AAAMAM,Nifedipine 10mg modified-release capsules
BNF,0206020T0AAACAC,Verapamil 40mg tablets
BNF,0205051S0AAAAAA,Felodipine 2.5mg modified-release / Ramipril 2.5mg tablets
BNF,0206020B0BBAAAA,Vastarel 20mg tablets
BNF,0202030S0AADSDS,Spironolactone 12mg/5ml oral liquid
BNF,0204000K0AAABAB,Metoprolol 50mg tablets
BNF,0205010Y0BBABAB,Revatio 10mg/ml oral suspension
BNF,0205051F0AACDCD,Captopril 3mg/5ml oral liquid
BNF,0202010D0AABWBW,Chlorothiazide 12.5mg/5ml oral liquid
BNF,0205052A0AAABAB,Irbesartan 300mg / Hydrochlorothiazide 12.5mg tablets
BNF,0206020R0CBAAAE,Nifedipress MR 10 tablets (Dexcel-Pharma)
BNF,0206020R0BRAAAR,Adipine MR 20 tablets
BNF,0205052V0AAAJAJ,Valsartan 3mg/ml oral solution
BNF,0206020R0BGAAAH,Coracten SR 20mg capsules
BNF,0205051I0AAADAD,Enalapril 20mg tablets
BNF,0206020C0BJAEAE,Angitil XL 300 capsules
BNF,0204000K0AAATAT,Metoprolol 50mg/5ml oral suspension
BNF,0205051R0AAADAD,Ramipril 10mg capsules
BNF,0205053A0AAAAAA,Aliskiren 150mg tablets
BNF,0206020F0BIACAB,Vascalpha 5mg modified-release tablets (Almus)
BNF,0206020A0BFAAAA,Amlostin 5mg tablets
BNF,0205040V0AAAAAA,Terazosin 2mg tablets and Terazosin 1mg tablets
BNF,0206020C0BRACAU,Bi-Carzem SR 120mg capsules
BNF,0205052N0AAADAD,Losartan 100mg tablets
BNF,0205052C0BBAEAH,Amias 32mg tablets
BNF,0206020R0CFACAP,Valni XL 60mg tablets
BNF,0206020R0BBABAB,Adalat 10mg capsules
BNF,0204000M0AAADAD,Nadolol 10mg/5ml oral liquid
BNF,0206020F0BMAAAC,Pinefeld XL 10mg tablets
BNF,0206020C0AAARAR,Diltiazem 60mg/5ml oral solution
BNF,0202030W0AAAAAA,Triamterene 50mg capsules
BNF,0202010B0AAAQAQ,Bendroflumethiazide 5mg/5ml oral suspension
BNF,0206020R0CIAAAN,Adanif XL 30mg tablets
BNF,0205052P0BBABAB,Cozaar-Comp 100mg/25mg tablets
BNF,0204000C0AAAAAA,Acebutolol 100mg capsules
BNF,0205040S0BBAAAB,Hypovase 500microgram tablets
BNF,0206020T0AAAIAI,Verapamil 120mg modified-release capsules
BNF,0204000M0AAAAAA,Nadolol 40mg tablets
BNF,0206020C0BVABAW,Zemret 240 XL capsules
BNF,0205051R0AAAEAE,Ramipril 5mg/5ml oral liquid
BNF,0204000N0AAABAB,Oxprenolol 20mg tablets
BNF,0205051R0AAAGAG,Ramipril 1.25mg/5ml oral liquid
BNF,0205052N0AAALAL,Losartan 12.5mg/5ml oral suspension
BNF,0206020F0BFABAC,Felogen XL 10mg tablets
BNF,0206020Z0AAACAC,Amlodipine 10mg / Valsartan 160mg tablets
BNF,0205051L0AAAGAG,Lisinopril 5mg/5ml oral liquid
BNF,0205052I0AAAGAG,Irbesartan 300mg/5ml oral suspension
BNF,0205051F0BIAADZ,Noyada 25mg/5ml oral solution
BNF,0205010U0BBABAB,Tracleer 125mg tablets
BNF,0206020F0BLABAC,Neofel XL 10mg tablets
BNF,0202010V0BEABAA,Zaroxolyn 5mg tablets
BNF,0204000T0BBAAAB,Beta-Cardone 40mg tablets
BNF,0205040V0BCAAAB,Benph 2mg tablets
BNF,0205052R0BBACAC,MicardisPlus 80mg/25mg tablets
BNF,0205040D0BDAAAA,Doxadura 1mg tablets
BNF,0205052R0BDABAB,Tolucombi 80mg/12.5mg tablets
BNF,020400060AAAAAA,Celiprolol 200mg tablets
BNF,0202030C0AAAZAZ,Amiloride 10mg/5ml oral liquid
BNF,0205052Q0BCACAC,Tolura 20mg tablets
BNF,0206020R0CGABAR,Calchan MR 20 tablets
BNF,0204000M0AAAGAG,Nadolol 20mg/5ml oral solution
BNF,0206020C0BMACAV,Zemtard 180 XL capsules
BNF,0205051W0BBACAC,Tanatril 20mg tablets
BNF,0205051R0BBAFAK,Tritace 1.25mg tablets
BNF,0205051M0AAACAC,Perindopril erbumine 1mg/5ml oral liquid
BNF,0205052A0AAAAAA,Irbesartan 150mg / Hydrochlorothiazide 12.5mg tablets
BNF,0205051L0BBADAD,Zestril 20mg tablets
BNF,0205051L0BBAAAA,Zestril 2.5mg tablets
BNF,0206020T0BFACAK,Univer 240mg modified-release capsules
BNF,0206020T0AAAKAK,Verapamil 240mg modified-release capsules
BNF,0205051R0AAAAAA,Ramipril 1.25mg capsules
BNF,0205051U0AAAAAA,Trandolapril 500microgram capsules
BNF,0206020C0BFAAAS,Adizem-SR 120mg tablets
BNF,0206020C0BFAEAV,Adizem-SR 180mg capsules
BNF,0202010D0AABCBC,Chlorothiazide 250mg/5ml oral solution
BNF,0206020T0AAAGAG,Verapamil 160mg tablets
BNF,0206020K0BBABAB,Motens 4mg tablets
BNF,0205010Y0AAABAB,Sildenafil 10mg/ml oral suspension sugar free
BNF,0205051Q0AAABAB,Quinapril 10mg tablets
BNF,0205051F0BCACAF,Capoten 50mg tablets
BNF,0205051F0AACACA,Captopril 50mg/5ml oral liquid
BNF,0205040D0AAACAC,Doxazosin 4mg tablets
BNF,020400040BCAAAB,Tenoretic 100mg/25mg tablets
BNF,0204000U0BCAAAA,Tenif 50mg/20mg modified-release capsules
BNF,0205051R0BBAJAU,Tritace titration pack tablets
BNF,0205052N0AAABAB,Losartan 50mg tablets
BNF,0205051M0AAAFAF,Perindopril erbumine 8mg tablets
BNF,0205052N0BBABAB,Cozaar 50mg tablets
BNF,0205052W0BBABAB,Teveten 400mg tablets
BNF,0205010J0AAAHAH,Hydralazine 50mg tablets
BNF,0205051R0BBAGAL,Tritace 2.5mg tablets
BNF,0205040D0BJAAAQ,Larbex XL 4mg tablets
BNF,0206020C0BPABAU,Dilcardia SR 120mg capsules
BNF,0202010V0BEAAAN,Zaroxolyn 2.5mg tablets
BNF,0204000H0AABBBB,Bisoprolol 7.5mg/5ml oral liquid
BNF,0204000K0AAAMAM,Metoprolol 10mg/5ml oral liquid
BNF,0206020C0AAAVAV,Diltiazem 180mg modified-release capsules
BNF,0205051H0AAAAAA,Enalapril 20mg / Hydrochlorothiazide 12.5mg tablets
BNF,0205051I0AABFBF,Enalapril 1.25mg/5ml oral solution
BNF,0202010D0AABHBH,Chlorothiazide 40mg/5ml oral liquid
BNF,0205052I0BBABAB,Aprovel 150mg tablets
BNF,0204000ACAAABAB,Bisoprolol 10mg / Aspirin 75mg capsules
BNF,0205051K0BDABAA,Caralpha 20mg/12.5mg tablets
BNF,0206020R0AABCBC,Nifedipine 25mg/5ml oral suspension
BNF,0206020A0AAAJAJ,Amlodipine 2.5mg/5ml oral suspension
BNF,0202030S0AAAUAU,Spironolactone 50mg tablets
BNF,0205051L0AAAQAQ,Lisinopril 5mg/5ml oral solution sugar free
BNF,0202030S0AACMCM,Spironolactone 5mg/5ml oral solution
BNF,0205051ACAAABAB,Perindopril erbumine 4mg / Amlodipine 10mg tablets
BNF,0206020C0BRAEAE,Bi-Carzem XL 300mg capsules
BNF,0205051R0AAANAN,Ramipril 10mg tablets
BNF,0206020T0BMABAH,Vera-Til SR 240mg tablets (Tillomed)
BNF,0205051L0BBACAC,Zestril 10mg tablets
BNF,0205051M0AAALAL,Perindopril erbumine 4mg/5ml oral suspension
BNF,0202030S0AACWCW,Spironolactone 4mg/5ml oral liquid
BNF,0204000H0AAALAL,Bisoprolol 7.5mg tablets
BNF,0206020R0AAAAAA,Nifedipine 5mg capsules
BNF,0206020T0BJAAAH,Vertab SR 240 tablets
BNF,0206020R0CIABAP,Adanif XL 60mg tablets
BNF,0204000H0AABGBG,Bisoprolol 5mg/5ml oral solution
BNF,0202030S0BBACAV,Aldactone 100mg tablets
BNF,0205052C0AAAJAJ,Candesartan 8mg/5ml oral liquid
BNF,0202010B0AAABAB,Bendroflumethiazide 2.5mg tablets
BNF,0206020C0BMABAU,Zemtard 120 XL capsules
BNF,0202010F0BBAAAA,Hygroton 50mg tablets
BNF,0204000I0BCADAE,Trandate 400mg tablets
BNF,0206020C0BIABAV,Slozem 180mg capsules
BNF,0205051I0BBACAC,Innovace 10mg tablets
BNF,0205020E0BBAEAF,Catapres TTS 1 patches
BNF,0205010J0BBAAAG,Apresoline 25mg tablets
BNF,0206020R0BBAFAR,Adalat retard 20mg tablets
BNF,0206020L0BBAAAA,Zanidip 10mg tablets
BNF,0205051W0AAACAC,Imidapril 20mg tablets
BNF,0205051Q0AAADAD,Quinapril 40mg tablets
BNF,0204000P0BBAAAA,Visken 5mg tablets
BNF,0205040S0AAABAB,Prazosin 500microgram tablets
BNF,0205052C0BBABAB,Amias 4mg tablets
BNF,0205040S0AAAEAE,Prazosin 5mg tablets
BNF,0206020C0BMADAW,Zemtard 240 XL capsules
BNF,0205051R0BBAHAM,Tritace 5mg tablets
BNF,0206020R0BRACAN,Adipine XL 30mg tablets
BNF,0206020T0AAADAD,Verapamil 80mg tablets
BNF,0205052AEAAAAAA,Sacubitril 49mg / Valsartan 51mg tablets
BNF,0205051L0AAAIAI,Lisinopril 2.5mg/5ml oral liquid
BNF,0205051G0BCAAAA,Capozide 25mg/50mg tablets
BNF,0204000T0BBABAC,Beta-Cardone 80mg tablets
BNF,0204000E0BBABAA,Tenormin 25mg/5ml syrup
BNF,0202010B0AAAUAU,Bendroflumethiazide 1.25mg/5ml oral suspension
BNF,0206020T0BMAAAU,Vera-Til SR 120mg tablets (Tillomed)
BNF,0205051R0AAABAB,Ramipril 2.5mg capsules
BNF,0205051L0AAAAAA,Lisinopril 2.5mg tablets
BNF,0204000ABBBAAAA,Nebilet 5mg tablets
BNF,0205052I0BBACAC,Aprovel 300mg tablets
BNF,0202010V0AAAMAM,Metolazone 1.25mg/5ml oral liquid
BNF,0204000ACAAAAAA,Bisoprolol 5mg / Aspirin 75mg capsules
BNF,0206020C0BJABAU,Angitil SR 120 capsules
BNF,0206020C0AAAXAX,Diltiazem 200mg modified-release capsules
BNF,0202030S0AADCDC,Spironolactone 15mg/5ml oral suspension
BNF,0202010V0BBAAAA,Metenix 5mg tablets
BNF,0205052ACBBABAB,Sevikar HCT 40mg/5mg/12.5mg tablets
BNF,0204000E0BBACAC,Tenormin 100mg tablets
BNF,0205051L0AAAZAZ,Lisinopril 20mg/5ml oral suspension
BNF,0205052I0BEABAB,Ifirmasta 150mg tablets
BNF,0206020T0BCAFAH,Cordilox MR 240mg tablets
BNF,0206020L0AAAAAA,Lercanidipine 10mg tablets
BNF,0205040V0BBADAD,Hytrin 10mg tablets
BNF,0205040D0AAABAB,Doxazosin 2mg tablets
BNF,0205040D0BBAAAA,Cardura 1mg tablets
BNF,0205020H0BBABAD,Aldomet 250mg tablets
BNF,0205052AEBBACAC,Entresto 24mg/26mg tablets
BNF,0204000U0AAAAAA,Atenolol 50mg / Nifedipine 20mg modified-release capsules
BNF,0206020F0BIABAC,Vascalpha 10mg modified-release tablets (Accord)
BNF,0205010N0BBACAC,Loniten 10mg tablets
BNF,0205020E0BBAFAG,Catapres TTS 2 patches
BNF,0205040S0BCABAD,Minipress 2mg tablets
BNF,0205010V0AAACAC,Iloprost 10micrograms/1ml nebuliser liquid ampoules
BNF,0202010B0AAACAC,Bendroflumethiazide 5mg tablets
BNF,0205052R0BBABAB,MicardisPlus 80mg/12.5mg tablets
BNF,0202010F0AAAAAA,Chlortalidone 50mg tablets
BNF,0202030S0AACPCP,Spironolactone 50mg/5ml oral solution
BNF,0205051M0AAAHAH,Perindopril erbumine 8mg/5ml oral liquid
BNF,0205051I0AACACA,Enalapril 10mg/5ml oral suspension
BNF,0205052V0AAAEAE,Valsartan 40mg/5ml oral liquid
BNF,0205051L0AAADAD,Lisinopril 20mg tablets
BNF,0206020C0BFAGAU,Adizem-XL 120mg capsules
BNF,0205040D0AAARAR,Doxazosin 8mg modified-release tablets
BNF,0204000H0BFAAAM,Cardicor 1.25mg tablets
BNF,0206020T0BMADAU,Vera-Til SR 120mg tablets (Accord Healthcare Ltd)
BNF,0202010D0AADDDD,Chlorothiazide 150mg/5ml oral suspension
BNF,0205051L0BCACAC,Carace 10mg tablets
BNF,0205052AEAAACAC,Sacubitril 24mg / Valsartan 26mg tablets
BNF,0206020C0BHAFAW,Dilzem XL 240 capsules
BNF,0205052W0AAABAB,Eprosartan 400mg tablets
BNF,0202010P0AAABAB,Indapamide 2.5mg/5ml oral suspension
BNF,0205052N0AAAGAG,Losartan 25mg/5ml oral liquid
BNF,0206020F0BIADAC,Vascalpha 10mg modified-release tablets (Almus)
BNF,0206020C0BFAFAE,Adizem-XL 300mg capsules
BNF,0205051Y0AAACAC,Perindopril arginine 10mg tablets
BNF,0202030C0BFAAAS,Amilamont 5mg/5ml oral solution sugar free
BNF,0205051R0AAACAC,Ramipril 5mg capsules
BNF,0204000H0AAAAAA,Bisoprolol 5mg tablets
BNF,0206020C0BNABAV,Viazem XL 180mg capsules
BNF,0206020T0AAAVAV,Verapamil 40mg/5ml oral solution sugar free
BNF,0205052I0AAAAAA,Irbesartan 75mg tablets
BNF,0205052B0BBABAB,Olmetec 20mg tablets
BNF,0205051I0BBAAAA,Innovace 2.5mg tablets
BNF,0202030S0AAEGEG,Spironolactone 12.5mg tablets
BNF,0205051K0BBAAAA,Zestoretic 20 tablets
BNF,0205051Y0BBABAB,Coversyl Arginine 5mg tablets
BNF,0206020F0AAAGAG,Felodipine 2.5mg/5ml oral solution
BNF,0205052C0AAABAB,Candesartan 4mg tablets
BNF,020400080AAAEAE,Carvedilol 3.125mg tablets
BNF,0205051H0BBAAAA,Innozide 20mg/12.5mg tablets
BNF,0206020C0BFAIAW,Adizem-XL 240mg capsules
BNF,0206020F0BKACAD,Cardioplen XL 2.5mg tablets
BNF,0206020R0CHAAAN,Neozipine XL 30mg tablets
BNF,0206020R0BRADAP,Adipine XL 60mg tablets
BNF,0205010N0AAAAAA,Minoxidil 2.5mg tablets
BNF,0202010V0AAAKAK,Metolazone 2.5mg/5ml oral liquid
BNF,0204000H0AAAKAK,Bisoprolol 3.75mg tablets
BNF,0205052V0AAAAAA,Valsartan 40mg capsules
BNF,0205052Q0BBAAAA,Micardis 40mg tablets
BNF,0206020F0BBACAD,Plendil 2.5mg modified-release tablets
BNF,0204000I0AAABAB,Labetalol 50mg tablets
BNF,0206020F0BGAAAB,Folpik XL 5mg tablets
BNF,0206020B0AAAAAA,Trimetazidine 20mg tablets
BNF,0205051R0AAAUAU,Generic Tritace titration pack tablets
BNF,0204000M0AAAIAI,Nadolol 30mg/5ml oral suspension
BNF,0205010J0AABTBT,Hydralazine 10mg/5ml oral suspension
BNF,0205020E0AAAFAF,Clonidine 100micrograms/24hours transdermal patches
BNF,0206020R0CBADAR,Nifedipress MR 20 tablets (Actavis)
BNF,0206020C0BZACAV,Uard 180XL capsules
BNF,0206020R0AAANAN,Nifedipine 30mg modified-release tablets
BNF,0202010B0AAAXAX,Bendroflumethiazide 2.5mg/5ml oral suspension
BNF,0205051M0AAAKAK,Perindopril erbumine 4mg/5ml oral solution
BNF,0205052ADBBABAB,Edarbi 40mg tablets
