Coding System (ICD-10 Read),Codes,Description,Entity type,Category
Read,C109.11,niddm - non-insulin dependent diabetes mellitus,res30: Diabetes mellitus,diagnostic
Read,9NiD.00,did not attend desmond diabetes structured education program,res30: Diabetes mellitus,diagnostic
Read,8BL2.00,patient on maximal tolerated therapy for diabetes,res30: Diabetes mellitus,diagnostic
Read,C10EL11,type i diabetes mellitus with persistent microalbuminuria,res30: Diabetes mellitus,diagnostic
Read,2BBS.00,o/e - left eye preproliferative diabetic retinopathy,res30: Diabetes mellitus,diagnostic
Read,9b92000,diabetic medicine,res30: Diabetes mellitus,diagnostic
Read,C109012,type 2 diabetes mellitus with renal complications,res30: Diabetes mellitus,diagnostic
Read,8I81.00,did not complete diabetes structured education programme,res30: Diabetes mellitus,diagnostic
Read,C109F00,non-insulin-dependent d m with peripheral angiopath,res30: Diabetes mellitus,diagnostic
Read,8I2S.00,glitazones contraindicated,res30: Diabetes mellitus,diagnostic
Read,C104y00,other specified diabetes mellitus with renal complications,res30: Diabetes mellitus,diagnostic
Read,C10FM11,type ii diabetes mellitus with persistent microalbuminuria,res30: Diabetes mellitus,diagnostic
Read,C10EJ00,type 1 diabetes mellitus with neuropathic arthropathy,res30: Diabetes mellitus,diagnostic
Read,66Ae.00,hba1c target,res30: Diabetes mellitus,diagnostic
Read,C109011,type ii diabetes mellitus with renal complications,res30: Diabetes mellitus,diagnostic
Read,C108000,insulin-dependent diabetes mellitus with renal complications,res30: Diabetes mellitus,diagnostic
Read,C108400,unstable insulin dependent diabetes mellitus,res30: Diabetes mellitus,diagnostic
Read,TJ23500,adverse reaction to glipizide,res30: Diabetes mellitus,diagnostic
Read,M271000,ischaemic ulcer diabetic foot,res30: Diabetes mellitus,diagnostic
Read,C10EG00,type 1 diabetes mellitus with peripheral angiopathy,res30: Diabetes mellitus,diagnostic
Read,C106z00,diabetes mellitus nos with neurological manifestation,res30: Diabetes mellitus,diagnostic
Read,8I83.00,did not complete desmond diabetes structured educat program,res30: Diabetes mellitus,diagnostic
Read,C350011,bronzed diabetes,res30: Diabetes mellitus,diagnostic
Read,ZRB4.11,csq - diabetes clinic satisfaction questionnaire,res30: Diabetes mellitus,diagnostic
Read,C10FD00,type 2 diabetes mellitus with hypoglycaemic coma,res30: Diabetes mellitus,diagnostic
Read,66Ag.00,insulin needles changed daily,res30: Diabetes mellitus,diagnostic
Read,C104100,"diabetes mellitus, adult onset, with renal manifestation",res30: Diabetes mellitus,diagnostic
Read,C10EC11,type i diabetes mellitus with polyneuropathy,res30: Diabetes mellitus,diagnostic
Read,C10EK00,type 1 diabetes mellitus with persistent proteinuria,res30: Diabetes mellitus,diagnostic
Read,C10N100,cystic fibrosis related diabetes mellitus,res30: Diabetes mellitus,diagnostic
Read,C108812,type 1 diabetes mellitus - poor control,res30: Diabetes mellitus,diagnostic
Read,C10E311,type i diabetes mellitus with multiple complications,res30: Diabetes mellitus,diagnostic
Read,C106100,"diabetes mellitus, adult onset, + neurological manifestation",res30: Diabetes mellitus,diagnostic
Read,C10F411,type ii diabetes mellitus with ulcer,res30: Diabetes mellitus,diagnostic
Read,C109B00,non-insulin dependent diabetes mellitus with polyneuropathy,res30: Diabetes mellitus,diagnostic
Read,9OLM.00,diabetes structured education programme declined,res30: Diabetes mellitus,diagnostic
Read,C103z00,diabetes mellitus nos with ketoacidotic coma,res30: Diabetes mellitus,diagnostic
Read,9NiE.00,did not attend xpert diabetes structured education programme,res30: Diabetes mellitus,diagnostic
Read,C107z00,diabetes mellitus nos with peripheral circulatory disorder,res30: Diabetes mellitus,diagnostic
Read,9OLJ.00,dafne diabetes structured education programme completed,res30: Diabetes mellitus,diagnostic
Read,C101100,"diabetes mellitus, adult onset, with ketoacidosis",res30: Diabetes mellitus,diagnostic
Read,C10FE11,type ii diabetes mellitus with diabetic cataract,res30: Diabetes mellitus,diagnostic
Read,C10FL11,type ii diabetes mellitus with persistent proteinuria,res30: Diabetes mellitus,diagnostic
Read,8Hj4.00,referral to desmond diabetes structured education programme,res30: Diabetes mellitus,diagnostic
Read,C10E012,insulin-dependent diabetes mellitus with renal complications,res30: Diabetes mellitus,diagnostic
Read,9OLE.00,attended desmond structured programme,res30: Diabetes mellitus,diagnostic
Read,C10E511,type i diabetes mellitus with ulcer,res30: Diabetes mellitus,diagnostic
Read,ZRB5.00,diabetes treatment satisfaction questionnaire,res30: Diabetes mellitus,diagnostic
Read,66Aj.00,insulin needles changed less than once a day,res30: Diabetes mellitus,diagnostic
Read,U602317,[x] adverse reaction to glipzide,res30: Diabetes mellitus,diagnostic
Read,9OLH.00,attended dafne diabetes structured education programme,res30: Diabetes mellitus,diagnostic
Read,C10E712,insulin dependent diabetes mellitus with retinopathy,res30: Diabetes mellitus,diagnostic
Read,C10FC11,type ii diabetes mellitus with nephropathy,res30: Diabetes mellitus,diagnostic
Read,C104000,"diabetes mellitus, juvenile type, with renal manifestation",res30: Diabetes mellitus,diagnostic
Read,8H4e.00,referral to diabetes special interest general practitioner,res30: Diabetes mellitus,diagnostic
Read,9Oy..00,diabetes screening administration,res30: Diabetes mellitus,diagnostic
Read,C108B11,type i diabetes mellitus with mononeuropathy,res30: Diabetes mellitus,diagnostic
Read,C10N000,secondary diabetes mellitus without complication,res30: Diabetes mellitus,diagnostic
Read,2G5E.00,o/e - right diabetic foot at low risk,res30: Diabetes mellitus,diagnostic
Read,9OLF.00,diabetes structured education programme completed,res30: Diabetes mellitus,diagnostic
Read,2G5B.00,o/e - left diabetic foot at risk,res30: Diabetes mellitus,diagnostic
Read,C10D.00,diabetes mellitus autosomal dominant type 2,res30: Diabetes mellitus,diagnostic
Read,9OLB.00,attended diabetes structured education programme,res30: Diabetes mellitus,diagnostic
Read,ZRB6.11,dwbq - diabetes wellbeing questionnaire,res30: Diabetes mellitus,diagnostic
Read,66AY.00,diabetic diet - good compliance,res30: Diabetes mellitus,diagnostic
Read,C10N.00,secondary diabetes mellitus,res30: Diabetes mellitus,diagnostic
Read,ZC2CA00,dietary advice for type ii diabetes,res30: Diabetes mellitus,diagnostic
Read,C10E911,type i diabetes mellitus maturity onset,res30: Diabetes mellitus,diagnostic
Read,C108.13,type i diabetes mellitus,res30: Diabetes mellitus,diagnostic
Read,C10EP11,type i diabetes mellitus with exudative maculopathy,res30: Diabetes mellitus,diagnostic
Read,8A13.00,diabetic stabilisation,res30: Diabetes mellitus,diagnostic
Read,C10ER00,latent autoimmune diabetes mellitus in adult,res30: Diabetes mellitus,diagnostic
Read,C109C12,type 2 diabetes mellitus with nephropathy,res30: Diabetes mellitus,diagnostic
Read,C10E711,type i diabetes mellitus with retinopathy,res30: Diabetes mellitus,diagnostic
Read,C100000,"diabetes mellitus, juvenile type, no mention of complication",res30: Diabetes mellitus,diagnostic
Read,9kL..00,insulin initiation - enhanced services administration,res30: Diabetes mellitus,diagnostic
Read,C109711,type ii diabetes mellitus - poor control,res30: Diabetes mellitus,diagnostic
Read,9NiA.00,did not attend diabetes structured education programme,res30: Diabetes mellitus,diagnostic
Read,C108B00,insulin dependent diabetes mellitus with mononeuropathy,res30: Diabetes mellitus,diagnostic
Read,C10FS00,maternally inherited diabetes mellitus,res30: Diabetes mellitus,diagnostic
Read,F372200,asymptomatic diabetic neuropathy,res30: Diabetes mellitus,diagnostic
Read,C108A11,type i diabetes mellitus without complication,res30: Diabetes mellitus,diagnostic
Read,C109G00,non-insulin dependent diabetes mellitus with arthropathy,res30: Diabetes mellitus,diagnostic
Read,8I2P.00,sulphonylureas contraindicated,res30: Diabetes mellitus,diagnostic
Read,9OL2.00,refuses diabetes monitoring,res30: Diabetes mellitus,diagnostic
Read,66Ap.00,insulin treatment initiated,res30: Diabetes mellitus,diagnostic
Read,C10F700,type 2 diabetes mellitus - poor control,res30: Diabetes mellitus,diagnostic
Read,66Aq.00,diabetic foot screen,res30: Diabetes mellitus,diagnostic
Read,C10FQ00,type 2 diabetes mellitus with exudative maculopathy,res30: Diabetes mellitus,diagnostic
Read,8I82.00,did not complete dafne diabetes structured education program,res30: Diabetes mellitus,diagnostic
Read,44UZ.00,blood glucose 14+ mmol/l,res30: Diabetes mellitus,diagnostic
Read,9OL3.00,diabetes monitoring default,res30: Diabetes mellitus,diagnostic
Read,U60231C,[x] adverse reaction to metformin hydrochloride,res30: Diabetes mellitus,diagnostic
Read,C108412,unstable type 1 diabetes mellitus,res30: Diabetes mellitus,diagnostic
Read,66Aa.00,diabetic diet - poor compliance,res30: Diabetes mellitus,diagnostic
Read,C108912,type 1 diabetes mellitus maturity onset,res30: Diabetes mellitus,diagnostic
Read,C10B000,steroid induced diabetes mellitus without complication,res30: Diabetes mellitus,diagnostic
Read,9Nl4.00,seen by general practitioner special interest in diabetes,res30: Diabetes mellitus,diagnostic
Read,C10FL00,type 2 diabetes mellitus with persistent proteinuria,res30: Diabetes mellitus,diagnostic
Read,66AJz00,diabetic - poor control nos,res30: Diabetes mellitus,diagnostic
Read,G73y000,diabetic peripheral angiopathy,res30: Diabetes mellitus,diagnostic
Read,C100011,insulin dependent diabetes mellitus,res30: Diabetes mellitus,diagnostic
Read,2G5F.00,o/e - right diabetic foot at moderate risk,res30: Diabetes mellitus,diagnostic
Read,66b1.00,diabetic monitoring not required,res30: Diabetes mellitus,diagnostic
Read,8CP2.00,transition of diabetes care options discussed,res30: Diabetes mellitus,diagnostic
Read,66AJ000,chronic hyperglycaemia,res30: Diabetes mellitus,diagnostic
Read,66AV.00,diabetic on insulin and oral treatment,res30: Diabetes mellitus,diagnostic
Read,8I7B.00,metformin not tolerated,res30: Diabetes mellitus,diagnostic
Read,2G5I.00,o/e - left diabetic foot at low risk,res30: Diabetes mellitus,diagnostic
Read,C10EP00,type 1 diabetes mellitus with exudative maculopathy,res30: Diabetes mellitus,diagnostic
Read,9h4..00,exception reporting: diabetes quality indicators,res30: Diabetes mellitus,diagnostic
Read,66Ab.00,diabetic foot examination,res30: Diabetes mellitus,diagnostic
Read,N030100,diabetic charcot arthropathy,res30: Diabetes mellitus,diagnostic
Read,C10E800,type 1 diabetes mellitus - poor control,res30: Diabetes mellitus,diagnostic
Read,2G51000,foot abnormality - diabetes related,res30: Diabetes mellitus,diagnostic
Read,2BBF.00,retinal abnormality - diabetes related,res30: Diabetes mellitus,diagnostic
Read,2G5J.00,o/e - left diabetic foot at moderate risk,res30: Diabetes mellitus,diagnostic
Read,F372100,chronic painful diabetic neuropathy,res30: Diabetes mellitus,diagnostic
Read,TJ23000,adverse reaction to insulins,res30: Diabetes mellitus,diagnostic
Read,C104z00,diabetes mellitus with nephropathy nos,res30: Diabetes mellitus,diagnostic
Read,66Ai.00,diabetic 6 month review,res30: Diabetes mellitus,diagnostic
Read,C107.00,diabetes mellitus with peripheral circulatory disorder,res30: Diabetes mellitus,diagnostic
Read,C109900,non-insulin-dependent diabetes mellitus without complication,res30: Diabetes mellitus,diagnostic
Read,C10FH00,type 2 diabetes mellitus with neuropathic arthropathy,res30: Diabetes mellitus,diagnostic
Read,66AN.00,date diabetic treatment start,res30: Diabetes mellitus,diagnostic
Read,8H3O.00,non-urgent diabetic admission,res30: Diabetes mellitus,diagnostic
Read,42W2.00,hb. a1c 7-10% - borderline,res30: Diabetes mellitus,diagnostic
Read,C10EE00,type 1 diabetes mellitus with hypoglycaemic coma,res30: Diabetes mellitus,diagnostic
Read,9OL8.00,diabetes monitor.phone invite,res30: Diabetes mellitus,diagnostic
Read,C10C.00,diabetes mellitus autosomal dominant,res30: Diabetes mellitus,diagnostic
Read,F420700,high risk proliferative diabetic retinopathy,res30: Diabetes mellitus,diagnostic
Read,C10C.12,maturity onset diabetes in youth type 1,res30: Diabetes mellitus,diagnostic
Read,C10EL00,type 1 diabetes mellitus with persistent microalbuminuria,res30: Diabetes mellitus,diagnostic
Read,C101y00,other specified diabetes mellitus with ketoacidosis,res30: Diabetes mellitus,diagnostic
Read,R054300,[d]widespread diabetic foot gangrene,res30: Diabetes mellitus,diagnostic
Read,M21yC00,insulin lipohypertrophy,res30: Diabetes mellitus,diagnostic
Read,9N4p.00,did not attend diabetic retinopathy clinic,res30: Diabetes mellitus,diagnostic
Read,C109J11,insulin treated non-insulin dependent diabetes mellitus,res30: Diabetes mellitus,diagnostic
Read,C107200,"diabetes mellitus, adult with gangrene",res30: Diabetes mellitus,diagnostic
Read,F3y0.00,diabetic mononeuropathy,res30: Diabetes mellitus,diagnostic
Read,F372.00,polyneuropathy in diabetes,res30: Diabetes mellitus,diagnostic
Read,66A9.00,understands diet - diabetes,res30: Diabetes mellitus,diagnostic
Read,2G5K.00,o/e - left diabetic foot at high risk,res30: Diabetes mellitus,diagnostic
Read,ZRB6.00,diabetes wellbeing questionnaire,res30: Diabetes mellitus,diagnostic
Read,2G5G.00,o/e - right diabetic foot at high risk,res30: Diabetes mellitus,diagnostic
Read,9N0m.00,seen in diabetic nurse consultant clinic,res30: Diabetes mellitus,diagnostic
Read,U602315,[x] adverse reaction to glibenclamide,res30: Diabetes mellitus,diagnostic
Read,C108712,type 1 diabetes mellitus with retinopathy,res30: Diabetes mellitus,diagnostic
Read,9OL7.00,diabetes monitor.verbal invite,res30: Diabetes mellitus,diagnostic
Read,C102000,"diabetes mellitus, juvenile type, with hyperosmolar coma",res30: Diabetes mellitus,diagnostic
Read,U602300,[x]insul/oral hypoglyc drugs caus adverse eff therapeut use,res30: Diabetes mellitus,diagnostic
Read,C108J00,insulin dependent diab mell with neuropathic arthropathy,res30: Diabetes mellitus,diagnostic
Read,9OLZ.00,diabetes monitoring admin.nos,res30: Diabetes mellitus,diagnostic
Read,C10F311,type ii diabetes mellitus with multiple complications,res30: Diabetes mellitus,diagnostic
Read,C108900,insulin dependent diabetes maturity onset,res30: Diabetes mellitus,diagnostic
Read,C10EN00,type 1 diabetes mellitus with ketoacidotic coma,res30: Diabetes mellitus,diagnostic
Read,C10y.00,diabetes mellitus with other specified manifestation,res30: Diabetes mellitus,diagnostic
Read,42c1.00,hba1 7 - 10% - borderline control,res30: Diabetes mellitus,diagnostic
Read,C107.11,diabetes mellitus with gangrene,res30: Diabetes mellitus,diagnostic
Read,42c0.00,hba1 < 7% - good control,res30: Diabetes mellitus,diagnostic
Read,ZRbH.00,perceived control of insulin-dependent diabetes,res30: Diabetes mellitus,diagnostic
Read,Cyu2000,[x]other specified diabetes mellitus,res30: Diabetes mellitus,diagnostic
Read,C11y000,steroid induced diabetes,res30: Diabetes mellitus,diagnostic
Read,C103000,"diabetes mellitus, juvenile type, with ketoacidotic coma",res30: Diabetes mellitus,diagnostic
Read,C105.00,diabetes mellitus with ophthalmic manifestation,res30: Diabetes mellitus,diagnostic
Read,C108E11,type i diabetes mellitus with hypoglycaemic coma,res30: Diabetes mellitus,diagnostic
Read,66Af.00,patient diabetes education review,res30: Diabetes mellitus,diagnostic
Read,C10M.00,lipoatrophic diabetes mellitus,res30: Diabetes mellitus,diagnostic
Read,C107.12,diabetes with gangrene,res30: Diabetes mellitus,diagnostic
Read,C10C.11,maturity onset diabetes in youth,res30: Diabetes mellitus,diagnostic
Read,44V3.00,glucose tol. test diabetic,res30: Diabetes mellitus,diagnostic
Read,C109D00,non-insulin dependent diabetes mellitus with hypoglyca coma,res30: Diabetes mellitus,diagnostic
Read,C10FN00,type 2 diabetes mellitus with ketoacidosis,res30: Diabetes mellitus,diagnostic
Read,9M10.00,informed dissent for diabetes national audit,res30: Diabetes mellitus,diagnostic
Read,9N0n.00,seen in community diabetes specialist clinic,res30: Diabetes mellitus,diagnostic
Read,C108500,insulin dependent diabetes mellitus with ulcer,res30: Diabetes mellitus,diagnostic
Read,C10FK00,hyperosmolar non-ketotic state in type 2 diabetes mellitus,res30: Diabetes mellitus,diagnostic
Read,F345000,diabetic mononeuritis multiplex,res30: Diabetes mellitus,diagnostic
Read,C105z00,diabetes mellitus nos with ophthalmic manifestation,res30: Diabetes mellitus,diagnostic
Read,66AK.00,diabetic - cooperative patient,res30: Diabetes mellitus,diagnostic
Read,C10F200,type 2 diabetes mellitus with neurological complications,res30: Diabetes mellitus,diagnostic
Read,C10E400,unstable type 1 diabetes mellitus,res30: Diabetes mellitus,diagnostic
Read,3882,diabetes well being questionnaire,res30: Diabetes mellitus,diagnostic
Read,C10FE00,type 2 diabetes mellitus with diabetic cataract,res30: Diabetes mellitus,diagnostic
Read,C109400,non-insulin dependent diabetes mellitus with ulcer,res30: Diabetes mellitus,diagnostic
Read,K01x111,kimmelstiel - wilson disease,res30: Diabetes mellitus,diagnostic
Read,8HVU.00,private referral to diabetologist,res30: Diabetes mellitus,diagnostic
Read,C109E12,type 2 diabetes mellitus with diabetic cataract,res30: Diabetes mellitus,diagnostic
Read,C10z.00,diabetes mellitus with unspecified complication,res30: Diabetes mellitus,diagnostic
Read,ZL22500,under care of diabetic liaison nurse,res30: Diabetes mellitus,diagnostic
Read,9N2d.00,seen by diabetologist,res30: Diabetes mellitus,diagnostic
Read,C108y00,other specified diabetes mellitus with multiple comps,res30: Diabetes mellitus,diagnostic
Read,C109212,type 2 diabetes mellitus with neurological complications,res30: Diabetes mellitus,diagnostic
Read,C109512,type 2 diabetes mellitus with gangrene,res30: Diabetes mellitus,diagnostic
Read,42c2.00,hba1 > 10% - bad control,res30: Diabetes mellitus,diagnostic
Read,8HLE.00,diabetology d.v. done,res30: Diabetes mellitus,diagnostic
Read,66At111,type 2 diabetic dietary review,res30: Diabetes mellitus,diagnostic
Read,C10F100,type 2 diabetes mellitus with ophthalmic complications,res30: Diabetes mellitus,diagnostic
Read,C109E00,non-insulin depend diabetes mellitus with diabetic cataract,res30: Diabetes mellitus,diagnostic
Read,66An.00,diabetes type 1 review,res30: Diabetes mellitus,diagnostic
Read,66AA.11,injection sites - diabetic,res30: Diabetes mellitus,diagnostic
Read,2BBM.00,o/e - diabetic maculopathy absent both eyes,res30: Diabetes mellitus,diagnostic
Read,8Hg4.00,discharged from care of diabetes specialist nurse,res30: Diabetes mellitus,diagnostic
Read,9OLA.11,diabetes monitored,res30: Diabetes mellitus,diagnostic
Read,8CS0.00,diabetes care plan agreed,res30: Diabetes mellitus,diagnostic
Read,889A.00,diab mellit insulin-glucose infus acute myocardial infarct,res30: Diabetes mellitus,diagnostic
Read,8HTi.00,referral to multidisciplinary diabetic clinic,res30: Diabetes mellitus,diagnostic
Read,C109000,non-insulin-dependent diabetes mellitus with renal comps,res30: Diabetes mellitus,diagnostic
Read,C108200,insulin-dependent diabetes mellitus with neurological comps,res30: Diabetes mellitus,diagnostic
Read,C10E000,type 1 diabetes mellitus with renal complications,res30: Diabetes mellitus,diagnostic
Read,2BBk.00,o/e - right eye stable treated prolif diabetic retinopathy,res30: Diabetes mellitus,diagnostic
Read,C106000,"diabetes mellitus, juvenile, + neurological manifestation",res30: Diabetes mellitus,diagnostic
Read,66Ah.00,insulin needles changed for each injection,res30: Diabetes mellitus,diagnostic
Read,C107300,iddm with peripheral circulatory disorder,res30: Diabetes mellitus,diagnostic
Read,C108D11,type i diabetes mellitus with nephropathy,res30: Diabetes mellitus,diagnostic
Read,U602316,[x] adverse reaction to gliclazide,res30: Diabetes mellitus,diagnostic
Read,ZRBa.00,education score - diabetes,res30: Diabetes mellitus,diagnostic
Read,C109H12,type 2 diabetes mellitus with neuropathic arthropathy,res30: Diabetes mellitus,diagnostic
Read,TJ23800,adverse reaction to tolazamide,res30: Diabetes mellitus,diagnostic
Read,C10EB00,type 1 diabetes mellitus with mononeuropathy,res30: Diabetes mellitus,diagnostic
Read,TJ23.00,adverse reaction to insulins and antidiabetic agents,res30: Diabetes mellitus,diagnostic
Read,C109211,type ii diabetes mellitus with neurological complications,res30: Diabetes mellitus,diagnostic
Read,C108512,type 1 diabetes mellitus with ulcer,res30: Diabetes mellitus,diagnostic
Read,C103100,"diabetes mellitus, adult onset, with ketoacidotic coma",res30: Diabetes mellitus,diagnostic
Read,ZRB4.00,diabetes clinic satisfaction questionnaire,res30: Diabetes mellitus,diagnostic
Read,ZRB5.11,dtsq - diabetes treatment satisfaction questionnaire,res30: Diabetes mellitus,diagnostic
Read,C10z000,"diabetes mellitus, juvenile type, + unspecified complication",res30: Diabetes mellitus,diagnostic
Read,9Oy0400,diabetic foot screening invitation third letter,res30: Diabetes mellitus,diagnostic
Read,C102z00,diabetes mellitus nos with hyperosmolar coma,res30: Diabetes mellitus,diagnostic
Read,C10EA00,type 1 diabetes mellitus without complication,res30: Diabetes mellitus,diagnostic
Read,U602318,[x] adverse reaction to gliquidone,res30: Diabetes mellitus,diagnostic
Read,66Ao.00,diabetes type 2 review,res30: Diabetes mellitus,diagnostic
Read,C105y00,other specified diabetes mellitus with ophthalmic complicatn,res30: Diabetes mellitus,diagnostic
Read,C10E600,type 1 diabetes mellitus with gangrene,res30: Diabetes mellitus,diagnostic
Read,C10yz00,diabetes mellitus nos with other specified manifestation,res30: Diabetes mellitus,diagnostic
Read,C105000,"diabetes mellitus, juvenile type, + ophthalmic manifestation",res30: Diabetes mellitus,diagnostic
Read,C108E12,type 1 diabetes mellitus with hypoglycaemic coma,res30: Diabetes mellitus,diagnostic
Read,C109112,type 2 diabetes mellitus with ophthalmic complications,res30: Diabetes mellitus,diagnostic
Read,C107000,"diabetes mellitus, juvenile +peripheral circulatory disorder",res30: Diabetes mellitus,diagnostic
Read,C109A00,non-insulin dependent diabetes mellitus with mononeuropathy,res30: Diabetes mellitus,diagnostic
Read,8HME.00,listed for diabetology admissn,res30: Diabetes mellitus,diagnostic
Read,TJ23200,adverse reaction to chlorpropamide,res30: Diabetes mellitus,diagnostic
Read,8Hl4.00,referral to community diabetes specialist nurse,res30: Diabetes mellitus,diagnostic
Read,C10FB11,type ii diabetes mellitus with polyneuropathy,res30: Diabetes mellitus,diagnostic
Read,C10F900,type 2 diabetes mellitus without complication,res30: Diabetes mellitus,diagnostic
Read,66AW.00,diabetic foot risk assessment,res30: Diabetes mellitus,diagnostic
Read,66Av.00,diabetic assessment of erectile dysfunction,res30: Diabetes mellitus,diagnostic
Read,C109H11,type ii diabetes mellitus with neuropathic arthropathy,res30: Diabetes mellitus,diagnostic
Read,C10E300,type 1 diabetes mellitus with multiple complications,res30: Diabetes mellitus,diagnostic
Read,C10E100,type 1 diabetes mellitus with ophthalmic complications,res30: Diabetes mellitus,diagnostic
Read,C108100,insulin-dependent diabetes mellitus with ophthalmic comps,res30: Diabetes mellitus,diagnostic
Read,F372000,acute painful diabetic neuropathy,res30: Diabetes mellitus,diagnostic
Read,6761,diabetic pre-pregnancy counselling,res30: Diabetes mellitus,diagnostic
Read,C109E11,type ii diabetes mellitus with diabetic cataract,res30: Diabetes mellitus,diagnostic
Read,C10F400,type 2 diabetes mellitus with ulcer,res30: Diabetes mellitus,diagnostic
