"metadata","category","readcode","readterm","medcode"
"                                                                                 ",3,"13ID.00","Partner unemployed",33188
"                                                                                 ",3,"13IL.00","Health of spouse",21860
"                                                                                 ",3,"13IL100","Wife pregnant",8470
"                                                                                 ",3,"13IL200","Wife well",23974
"                                                                                 ",3,"13IL300","Wife alive",17538
"                                                                                 ",3,"13Ir.00","Partner pregnant",94917
"                                                                                 ",3,"13L1.11","Disabled spouse",15824
"                                                                                 ",3,"13L1200","Spouse is handicapped",41203
"                                                                                 ",3,"13L3.11","Alcoholic spouse",10330
"                                                                                 ",3,"13L3.13","Husband alcoholic",15404
"                                                                                 ",3,"13L6.00","Spouse unwell",3719
"                                                                                 ",3,"13L6.11","Has infirm partner",22336
"                                                                                 ",3,"13L7.00","Partner dying",36947
"                                                                                 ",3,"13W7000","Crime against spouse",50149
"                                                                                 ",3,"13WE.00","Spouse works away from home",42402
"                                                                                 ",3,"1A85.00","Breast lump detected by partner",61291
"                                                                                 ",3,"1AZ4.00","Low sperm count in partner",49666
"                                                                                 ",3,"1AZ5.00","Fertility problems in partner",45005
"                                                                                 ",3,"1F81.00","Spouse cooks food",32984
"                                                                                 ",3,"6124.00","Partner had vasectomy",1328
"                                                                                 ",3,"6124.11","Partner sterilised",22934
"                                                                                 ",3,"6127.00","Partner had tubal ligation",97076
"                                                                                 ",3,"68b7.00","Antenatal screening not indicated for partner",97398
"                                                                                 ",3,"8C81.12","Artificial insemin by husband",16344
"                                                                                 ",3,"8C92.00","Spouse reassured",21346
"                                                                                 ",3,"918j.00","Partner is informal carer",60723
"                                                                                 ",3,"9d30.00","Spouse",95101
"                                                                                 ",3,"9d31.00","Husband",59817
"                                                                                 ",3,"9d32.00","Wife",59829
"                                                                                 ",3,"SN56300","Battered wife",3321
"                                                                                 ",3,"SN56400","Battered husband",23508
"                                                                                 ",3,"ZV26500","[V]Artificial insemination from husband",30597
"                                                                                 ",4,"1333.00","Separated",4204
"                                                                                 ",4,"1333.11","Separated from cohabitee",27385
"                                                                                 ",4,"1333.12","Husband left home",5055
"                                                                                 ",4,"1333.13","Wife left home",4925
"                                                                                 ",4,"1333.14","Cohabitee left home",42428
"                                                                                 ",4,"1334.00","Divorced",1522
"                                                                                 ",4,"133T.00","Divorced/person whose civil partnership has been dissolved",96856
"                                                                                 ",4,"13EF.00","Divorced couple sharing house",31678
"                                                                                 ",4,"13H2.00","Separation",2093
"                                                                                 ",4,"13H3.00","Divorce",6056
"                                                                                 ",4,"13H3.11","Divorce problems",9910
"                                                                                 ",4,"13H3000","Divorce proceedings",838
"                                                                                 ",4,"13H3100","Divorce proceedings pending",2159
"                                                                                 ",4,"13HG.11","Spouse left home",15020
"                                                                                 ",4,"13HM.11","Legal problem with separation",20217
"                                                                                 ",4,"13HM.12","Legal problem with divorce",20313
"                                                                                 ",5,"1335.00","Widowed",4312
"                                                                                 ",5,"133C.00","Widower",15527
"                                                                                 ",5,"133V.00","Widowed/surviving civil partner",94044
"                                                                                 ",5,"13Hc.00","Bereavement",400
"                                                                                 ",5,"13M1.00","Death of spouse",207
"                                                                                 ",5,"13MF.00","Death of partner",28440
"                                                                                 ",5,"13MG.00","Death of wife",11251
"                                                                                 ",5,"13MH.00","Husband died",17802
"                                                                                 ",5,"13MI.00","Death of husband",25097
"                                                                                 ",5,"ZU14100","Death of husband",12325
"                                                                                 ",5,"ZU14111","Husband died",12076
"                                                                                 ",6,"133..11","Marital status",28360
"                                                                                 ",6,"133F.00","Marital state unknown",47408
"                                                                                 ",6,"133F.11","Civil state unknown",45178
"                                                                                 ",6,"133Z.00","Personal status NOS",41236
"                                                                                 ",6,"13H1.00","Marriage",7869
"                                                                                 ",6,"13HA.00","Battered wife - history",22873
"                                                                                 ",6,"13HC.00","Battered husband - history",42454
"                                                                                 ",6,"13HE.00","Engaged",27572
"                                                                                 ",6,"13HF.00","Broken engagement",40493
"                                                                                 ",6,"13HX.00","New relationship",9112
"                                                                                 ",6,"13HY.00","First relationship",50485
"                                                                                 ",6,"U3M0.00","[X]Neglect and abandonment, by spouse or partner",37113
