terminology,code,term
BNF,0604011D0AAAEAE,Ethinylestradiol 1mg tablets
BNF,0604011G0BMADBG,Elleste Solo MX 80 transdermal patches
BNF,0604011L0BPABAW,Elleste Duet 1mg tablets
BNF,0604011G0BEABBD,Zumenon 1mg tablets
BNF,0604011J0BBAAAA,Trisequens tablets
BNF,0604011L0BRAABA,Kliovance tablets
BNF,0604011G0BVAAAI,Bedol 2mg tablets
BNF,0604011P0AAABAB,Conjugated oestrogens 625microgram tablets
BNF,0604011L0AABABA,Estradiol 1mg / Norethisterone acetate 500microgram tablets
BNF,0604011L0AAAXAX,Estradiol 50microg/Norethist 170microg/24hours ptch
BNF,0604011G0BMAABD,Elleste Solo 1mg tablets
BNF,0604011Q0AAACAC,Conj oestrogens 625microg tab and Norgestrel 150microg tab
BNF,0604011G0BPAABI,Sandrena 500microgram gel sachets
BNF,0604011K0AAAAAA,Estradiol valerate 1mg tablets
BNF,0604011L0AAATAT,Generic Elleste Duet 2mg tablets
BNF,0604011D0AAAWAW,Ethinylestradiol 2microgram capsules
BNF,0604011G0AABHBH,Estradiol 37.5micrograms/24hours transdermal patches
BNF,0604011G0BCAFBN,Estraderm MX 100 patches
BNF,0604011L0BTAABE,Indivina 1mg/2.5mg tablets
BNF,0604011P0BBAAAB,Premarin 0.625mg tablets
BNF,0604011G0BMABAI,Elleste Solo 2mg tablets
BNF,0604011G0BCABBA,Estraderm TTS 25 patches
BNF,0604011L0BKAAAM,Femoston 2/10mg tablets
BNF,0604011L0BZAABK,Angeliq 1mg/2mg tablets
BNF,0604011G0BCAGBR,Estraderm MX 75 patches
BNF,0604011L0BKACAP,Femoston 1/10mg tablets
BNF,0604011L0BGAAAH,Climagest 1mg tablets
BNF,0604011L0BWAABJ,FemSeven Conti patches
BNF,0604011L0CBAAA0,Clinorette tablets
BNF,0604011X0BDAAAA,Razylan 60mg tablets
BNF,0604011X0BEAAAA,Ostiral 60mg tablets
