Read code,Read term,CALIBER category
6223,Antenatal care: 3rd pregnancy,Currently pregnant
6224,Antenatal care: multip,Currently pregnant
622Z.00,Antenatal care: gravida NOS,Currently pregnant
623..00,A/N care: obstetric risk,Currently pregnant
6231,A/N care: uncertain dates,Currently pregnant
6232,A/N care: recurrent aborter,Currently pregnant
6233,A/N care: grand multip,Currently pregnant
6234,A/N care: H/O stillbirth,Currently pregnant
6235,A/N care: H/O perinatal death,Currently pregnant
6236,A/N care: poor obstetr history,Currently pregnant
6237,A/N care: H/O trophoblast.dis.,Currently pregnant
623Z.00,A/N care: obstetric risk NOS,Currently pregnant
624..00,A/N care: precious pregnancy,Currently pregnant
6241,A/N care: elderly primip.,Currently pregnant
6242,A/N care: H/O infertility,Currently pregnant
624Z.00,A/N care: precious preg. NOS,Currently pregnant
625..00,A/N care: social risk,Currently pregnant
6251,A/N care: poor home conditions,Currently pregnant
6252,A/N care: poor A/N attender,Currently pregnant
6253,A/N care: late booker,Currently pregnant
6254,A/N care: H/O child abuse,Currently pregnant
625Z.00,A/N care: social risk NOS,Currently pregnant
626..00,A/N care: medical risk,Currently pregnant
627..00,A/N care: gynae. risk,Currently pregnant
628..00,A/N care: risk NOS,Currently pregnant
6281,A/N care: under 5ft tall,Currently pregnant
6282,A/N care:10yrs+since last preg,Currently pregnant
6283,A/N care: primip. < 17 years,Currently pregnant
6284,A/N care: primip. > 30 years,Currently pregnant
6285,A/N care: multip. > 35 years,Currently pregnant
628Z.00,A/N risk NOS,Currently pregnant
62A..00,A/N care provider,Currently pregnant
62A1.00,A/N care from G.P.,Currently pregnant
62A2.00,A/N care from consultant,Currently pregnant
62A3.00,A/N - shared care,Currently pregnant
62A4.00,A/N care midwifery led,Currently pregnant
62AZ.00,A/N care provider NOS,Currently pregnant
62B..00,Delivery booking place,Currently pregnant
62B1.00,Delivery: no place booked,Currently pregnant
62B2.00,Home delivery booked,Currently pregnant
62B3.00,G.P. unit delivery booking,Currently pregnant
62B4.00,Consultant unit booking,Currently pregnant
62B5.00,Private home delivery booking,Currently pregnant
62B6.00,Delivery booking place changed,Currently pregnant
62B8.00,Midwife unit delivery booking,Currently pregnant
62BZ.00,Delivery booking - place NOS,Currently pregnant
62C..00,Deliv.booking - length of stay,Currently pregnant
62C1.00,Short stay delivery booking,Currently pregnant
62C2.00,Full stay delivery booking,Currently pregnant
62CZ.00,Delivery booking - stay NOS,Currently pregnant
62E..11,Feeding intention -baby,Currently pregnant
62F..00,Antenatal amniocentesis,Currently pregnant
62F1.00,A/N amniocentesis -not offered,Currently pregnant
62F2.00,A/N amniocentesis - offered,Currently pregnant
62F3.00,A/N amniocentesis - not wanted,Currently pregnant
62F4.00,A/N amniocentesis wanted,Currently pregnant
62F5.00,A/N amniocentesis - awaited,Currently pregnant
62F6.00,A/N amniocentesis - normal,Currently pregnant
62F7.00,A/N amniocentesis - abnormal,Currently pregnant
62F8.00,A/N amnio. for ? chrom.abnorm.,Currently pregnant
62F9.00,A/N amnio. for ? neural tube,Currently pregnant
62FZ.00,Antenatal amniocentesis NOS,Currently pregnant
62G..00,Antenatal ultrasound scan,Currently pregnant
62G1.00,A/N U/S scan not offered,Currently pregnant
62G2.00,A/N U/S scan offered,Currently pregnant
62G3.00,A/N U/S scan not wanted,Currently pregnant
62G4.00,A/N U/S scan wanted,Currently pregnant
62G5.00,A/N U/S scan awaited,Currently pregnant
62G6.00,A/N U/S scan normal += dates,Currently pregnant
62G7.00,A/N U/S scan normal +? dates,Currently pregnant
62G8.00,A/N U/S scan abnormal,Currently pregnant
62G9.00,A/N U/S scan for ? abnormality,Currently pregnant
62GA.00,A/N U/S scan for slow growth,Currently pregnant
62GB.00,Antenatal ultrasounds scan at 4-8 weeks,Currently pregnant
62GC.00,Antenatal ultrasound scan at 9-16 weeks,Currently pregnant
62GD.00,Antenatal ultrasound scan at 17-22 weeks,Currently pregnant
62GE.00,Antenatal ultrasound scan at 22-40 weeks,Currently pregnant
62GZ.00,Antenatal ultrasound scan NOS,Currently pregnant
62H..00,A/N Rh antibody screen,Currently pregnant
62H1.00,A/N Rh screen not offered,Currently pregnant
62H3.00,Rh screen - 1st preg. sample,Currently pregnant
62H4.00,Rh screen - 2nd preg. sample,Currently pregnant
62HZ.00,A/N Rh antibody screen NOS,Currently pregnant
62I..00,Alpha-feto protein blood test,Currently pregnant
62I..11,AFP test - antenatal,Currently pregnant
62I..12,Alpha-feto protein test - A/N,Currently pregnant
62K..00,Antenatal syphilis screen,Currently pregnant
62K2.00,A/N syphilis screen-blood sent,Currently pregnant
62KZ.00,Antenatal syphilis screen NOS,Currently pregnant
62L..00,Antenatal blood group screen,Currently pregnant
62L2.00,A/N blood group screen done,Currently pregnant
62LZ.00,A/N blood group screen NOS,Currently pregnant
62M..00,Antenatal sickle cell screen,Currently pregnant
62M2.00,A/N sickle cell screen done,Currently pregnant
62N..00,Antenatal examinations,Currently pregnant
62N1.00,A/N booking examination,Currently pregnant
62N2.00,A/N 12 weeks examination,Currently pregnant
62N3.00,A/N 16 week examination,Currently pregnant
62N4.00,A/N 20 week examination,Currently pregnant
62N5.00,A/N 24 week examination,Currently pregnant
62N6.00,A/N 28 week examination,Currently pregnant
62N7.00,A/N 30 week examination,Currently pregnant
62N8.00,A/N 32 week examination,Currently pregnant
62N9.00,A/N 34 week examination,Currently pregnant
62NA.00,A/N 35 week examination,Currently pregnant
62NB.00,A/N 36 week examination,Currently pregnant
62NC.00,A/N 37 week examination,Currently pregnant
62ND.00,A/N 38 week examination,Currently pregnant
62NE.00,A/N 39 week examination,Currently pregnant
62NF.00,A/N 40 week examination,Currently pregnant
62NG.00,A/N 41 week examination,Currently pregnant
62NH.00,A/N 42 week examination,Currently pregnant
62NZ.00,Antenatal examination NOS,Currently pregnant
62O..00,Misc. antenatal data,Currently pregnant
62O..11,Fetal maturity - A/N,Currently pregnant
62O..12,Static weight gain pregnancy,Currently pregnant
62O1.00,Fetal movements felt,Currently pregnant
62O2.00,Fetal movements seen,Currently pregnant
62O3.00,Fetal maturity: dates = size,Currently pregnant
62O4.00,Fetal maturity: dates not=size,Currently pregnant
62O6.00,Vaginal 'show',Currently pregnant
62O6.11,Vaginal 'show' - A/N,Currently pregnant
62O7.00,Pregnancy prolonged - 41 weeks,Currently pregnant
62O8.00,Pregnancy prolonged - 42 weeks,Currently pregnant
62OZ.00,Misc. antenatal data NOS,Currently pregnant
62U..00,Downs screen - blood test,Currently pregnant
62U..11,Barts test,Currently pregnant
62U..12,Triple test,Currently pregnant
62U..13,Double test,Currently pregnant
62U0.00,Triple test offered,Currently pregnant
62U1.00,Double test offered,Currently pregnant
62U4.00,Triple test wanted,Currently pregnant
62U6.00,Triple test not wanted,Currently pregnant
62U8.00,Downs screening - blood sent,Currently pregnant
62U9.00,Downs screen blood test normal,Currently pregnant
62UA.00,Downs screen blood test abnormal,Currently pregnant
62Uz.00,Downs screening blood test NOS,Currently pregnant
62V..00,Delivery place planned,Currently pregnant
62V0.00,Home delivery planned,Currently pregnant
62W..00,Antenatal blood tests,Currently pregnant
62X..00,Length of gestation,Currently pregnant
62X0.00,Gestation <24 weeks,Currently pregnant
62X1.00,Gestation = 24 weeks,Currently pregnant
62X2.00,Gestation >24 weeks,Currently pregnant
62X3.00,Full term gestation - 40 weeks,Currently pregnant
62Y..00,Routine antenatal care,Currently pregnant
62a..00,Pregnancy review,Currently pregnant
62a..11,Review of pregnancy,Currently pregnant
62b..00,Antenatal HIV screening,Currently pregnant
62c..00,Antenatal screening,Currently pregnant
66AX.00,Diabetes: shared care in pregnancy - diabetol and obstet,Currently pregnant
6776,Preg. termination counselling,Currently pregnant
679E.00,Antenatal education,Currently pregnant
67B..00,Ante-natal relaxation classes,Currently pregnant
7F...00,Obstetric operations,Currently pregnant
7F...12,Pregnancy operations,Currently pregnant
7F0..00,Fetus and gravid uterus operations,Currently pregnant
7F0..11,Fetus operations,Currently pregnant
7F0..12,Fetus & gravid uterus ops,Currently pregnant
7F00.00,Therapeutic fetoscopic operations on fetus,Currently pregnant
7F00000,Fetoscopic blood transfusion of fetus,Currently pregnant
7F01000,Fetoscopic examination of fetus and biopsy of fetus,Currently pregnant
7F01100,Fetoscopic examination of fetus and sampling of fetal blood,Currently pregnant
7F01111,Foetoscopic examination foetus and sampling of foetal blood,Currently pregnant
7F01z12,Fetoscopy NEC,Currently pregnant
7F03000,Percutaneous insertion of fetal vesicoamniotic shunt,Currently pregnant
7F03100,Percutaneous insertion of fetal pleuroamniotic shunt,Currently pregnant
7F03200,Percutaneous blood transfusion of fetus,Currently pregnant
7F03z00,Therapeutic percutaneous operation on fetus NOS,Currently pregnant
7F04.00,Diagnostic percutaneous examination of fetus,Currently pregnant
7F04.11,Diagnostic percutaneous examination of placenta,Currently pregnant
7F04100,Percutaneous sampling of fetal blood,Currently pregnant
7F04111,Percutaneous sampling of foetal blood,Currently pregnant
7F04200,Percutaneous sampling of chorionic villus,Currently pregnant
7F04z00,Diagnostic percutaneous examination of fetus NOS,Currently pregnant
7F05.00,Other operations on amniotic cavity,Currently pregnant
7F05000,Drainage of amniotic cavity,Currently pregnant
7F05100,Diagnostic amniocentesis,Currently pregnant
7F05111,Amniocentesis NEC,Currently pregnant
7F05200,Amnioscopy,Currently pregnant
7F05300,Sampling of chorionic villus NEC,Currently pregnant
7F05z00,Other operation on amniotic cavity NOS,Currently pregnant
7F06.00,Operations on gravid uterus,Currently pregnant
7F06000,Cerclage of cervix of gravid uterus,Currently pregnant
7F06011,McDonald cerclage of cervix,Currently pregnant
7F06012,Shirodkar suture in pregnancy,Currently pregnant
7F06100,Removal of cerclage from cervix of gravid uterus,Currently pregnant
7F06111,Removal of Shirodkar suture,Currently pregnant
7F06200,Repositioning of retroverted gravid uterus,Currently pregnant
7F06300,External version of breech,Currently pregnant
7F06y00,Other specified operation on gravid uterus,Currently pregnant
7F06z00,Operation on gravid uterus NOS,Currently pregnant
7F0y.00,Other specified operations on fetus or gravid uterus,Currently pregnant
7F0z.00,Fetus and gravid uterus operations NOS,Currently pregnant
7F1A300,Drainage of hydrocephalus of fetus to facilitate delivery,Currently pregnant
7F2..00,Other obstetric operations,Currently pregnant
7F24.00,Other obstetric operations,Currently pregnant
7F24y00,Other specified other obstetric operation,Currently pregnant
7F24z00,Other obstetric operation NOS,Currently pregnant
7F25.00,Obstetric monitoring,Currently pregnant
7F25.11,Fetal monitoring,Currently pregnant
7F25.12,Foetal monitoring,Currently pregnant
7F25000,Fetal heart monitoring NEC,Currently pregnant
7F25z00,Obstetric monitoring NOS,Currently pregnant
7F2B100,Ultrasound monitoring of early pregnancy,Currently pregnant
7F2y.00,Other specified obstetric operations,Currently pregnant
7F2z.00,Other obstetric operations NOS,Currently pregnant
7Fy..00,Other specified obstetric operations,Currently pregnant
8B68.00,Pregnancy prophylactic therapy,Currently pregnant
8B7..11,Pregnancy vitamin/iron prophyl,Currently pregnant
8B74.00,Iron supplement in pregnancy,Currently pregnant
8B75.00,Vitamin supplement - pregnancy,Currently pregnant
8E96.00,Ante-natal exercises,Currently pregnant
8H7W.00,Refer to TOP counselling,Currently pregnant
8HHV.00,Referral for termination of pregnancy,Currently pregnant
8HHf.00,Refer to early pregnancy unit,Currently pregnant
8HT9.00,Referral to antenatal clinic,Currently pregnant
8HV6.00,Private referral to obstetrician,Currently pregnant
8M6..00,Requests pregnancy termination,Currently pregnant
95...00,Maternity services admin.,Currently pregnant
951..00,FP24 maternity claim status,Currently pregnant
9N1N.00,Seen in antenatal clinic,Currently pregnant
L1...00,Pregnancy complications,Currently pregnant
L10..00,Haemorrhage in early pregnancy,Currently pregnant
L100.00,Threatened abortion,Currently pregnant
L100000,Threatened abortion unspecified,Currently pregnant
L100200,Threatened abortion - not delivered,Currently pregnant
L100z00,Threatened abortion NOS,Currently pregnant
L10y.00,Other haemorrhage in early pregnancy,Currently pregnant
L10y.11,Bleeding in early pregnancy,Currently pregnant
L10y000,Other haemorrhage in early pregnancy unspecified,Currently pregnant
L10y200,Other haemorrhage in early pregnancy - not delivered,Currently pregnant
L10yz00,Other haemorrhage in early pregnancy NOS,Currently pregnant
L10z.00,Early pregnancy haemorrhage NOS,Currently pregnant
L10z000,Early pregnancy haemorrhage NOS unspecified,Currently pregnant
L10z200,Early pregnancy haemorrhage NOS - not delivered,Currently pregnant
L10zz00,Early pregnancy haemorrhage NOS,Currently pregnant
L11..00,"Antepartum haemorrhage, abruptio placentae, placenta praevia",Currently pregnant
L11..11,Antepartum haemorrhage,Currently pregnant
L11..12,Antepartum bleeding,Currently pregnant
L110.00,Placenta praevia without haemorrhage,Currently pregnant
L110000,Placenta praevia without haemorrhage unspecified,Currently pregnant
L110200,Placenta praevia without haemorrhage - not delivered,Currently pregnant
L110z00,Placenta praevia without haemorrhage NOS,Currently pregnant
L111.00,Placenta praevia with haemorrhage,Currently pregnant
L111000,Placenta praevia with haemorrhage unspecified,Currently pregnant
L111200,Placenta praevia with haemorrhage - not delivered,Currently pregnant
L111z00,Placenta praevia with haemorrhage NOS,Currently pregnant
L112.00,Placental abruption,Currently pregnant
L112.11,Ablatio placentae,Currently pregnant
L112.12,Couvelaire uterus,Currently pregnant
L112000,Placental abruption unspecified,Currently pregnant
L112200,Placental abruption - not delivered,Currently pregnant
L112z00,Placental abruption NOS,Currently pregnant
L113.00,Antepartum haemorrhage with coagulation defect,Currently pregnant
L113.13,Antepartum haemorrhage with hypofibrinogenaemia,Currently pregnant
L113000,Antepartum haemorrhage with coagulation defect unspecified,Currently pregnant
L115.00,Antepartum haemorrhage with uterine leiomyoma,Currently pregnant
L115.11,Antepartum haemorrhage with fibroid,Currently pregnant
L115.12,Antepartum haemorrhage with uterine fibroid,Currently pregnant
L116.00,Placenta praevia,Currently pregnant
L11y.00,Other antepartum haemorrhage,Currently pregnant
L11y000,Other antepartum haemorrhage unspecified,Currently pregnant
L11y200,Other antepartum haemorrhage - not delivered,Currently pregnant
L11yz00,Other antepartum haemorrhage NOS,Currently pregnant
L11z.00,Antepartum haemorrhage NOS,Currently pregnant
L11z000,"Antepartum haemorrhage NOS, unspecified",Currently pregnant
L11z200,Antepartum haemorrhage NOS - not deliv,Currently pregnant
L11zz00,Antepartum haemorrhage NOS,Currently pregnant
L120300,Benign essential hypertension in preg/childb/puerp-not deliv,Currently pregnant
L121300,Renal hypertension in preg/childbirth/puerp - not delivered,Currently pregnant
L122300,Other pre-exist hypertension in preg/childb/puerp-not deliv,Currently pregnant
L123.00,Transient hypertension of pregnancy,Currently pregnant
L123000,Transient hypertension of pregnancy unspecified,Currently pregnant
L123300,Transient hypertension of pregnancy - not delivered,Currently pregnant
L123500,Gestational hypertension,Currently pregnant
L123600,Transient hypertension of pregnancy,Currently pregnant
L123z00,Transient hypertension of pregnancy NOS,Currently pregnant
L124.00,Mild or unspecified pre-eclampsia,Currently pregnant
L124.11,Mild pre-eclampsia,Currently pregnant
L124.12,Toxaemia NOS,Currently pregnant
L124000,Mild or unspecified pre-eclampsia unspecified,Currently pregnant
L124300,Mild or unspecified pre-eclampsia - not delivered,Currently pregnant
L124500,Mild pre-eclampsia,Currently pregnant
L124600,"Pre-eclampsia, unspecified",Currently pregnant
L124z00,Mild or unspecified pre-eclampsia NOS,Currently pregnant
L125.00,Severe pre-eclampsia,Currently pregnant
L125000,Severe pre-eclampsia unspecified,Currently pregnant
L125300,Severe pre-eclampsia - not delivered,Currently pregnant
L125z00,Severe pre-eclampsia NOS,Currently pregnant
L126.00,Eclampsia,Currently pregnant
L126000,Eclampsia unspecified,Currently pregnant
L126300,Eclampsia - not delivered,Currently pregnant
L126500,Eclampsia in pregnancy,Currently pregnant
L126z00,Eclampsia NOS,Currently pregnant
L127.00,Pre-eclampsia or eclampsia with pre-existing hypertension,Currently pregnant
L127000,Pre-eclampsia or eclampsia with hypertension unspecified,Currently pregnant
L127300,Pre-eclampsia or eclampsia with hypertension - not delivered,Currently pregnant
L127z00,Pre-eclampsia or eclampsia + pre-existing hypertension NOS,Currently pregnant
L129.00,Moderate pre-eclampsia,Currently pregnant
L12A.00,"HELLP - Syndrome haemolysis, elev liver enzyme low platelets",Currently pregnant
L12B.00,Proteinuric hypertension of pregnancy,Currently pregnant
L12z300,Unspecified hypertension in preg/childb/puerp - not deliv,Currently pregnant
L13..00,Excessive pregnancy vomiting,Currently pregnant
L13..11,Hyperemesis gravidarum,Currently pregnant
L13..12,Hyperemesis of pregnancy,Currently pregnant
L130.00,Mild hyperemesis gravidarum,Currently pregnant
L130.11,Morning sickness,Currently pregnant
L130000,Mild hyperemesis unspecified,Currently pregnant
L130200,Mild hyperemesis-not delivered,Currently pregnant
L130z00,Mild hyperemesis gravidarum NOS,Currently pregnant
L131.00,Hyperemesis gravidarum with metabolic disturbance,Currently pregnant
L131000,Hyperemesis gravidarum with metabolic disturbance unsp,Currently pregnant
L131200,Hyperemesis gravidarum with metabolic disturbance - not del,Currently pregnant
L131z00,Hyperemesis gravidarum with metabolic disturbance NOS,Currently pregnant
L132.00,Late vomiting of pregnancy,Currently pregnant
L132000,Late pregnancy vomiting unspecified,Currently pregnant
L132200,Late pregnancy vomiting - not delivered,Currently pregnant
L13y.00,Other pregnancy vomiting,Currently pregnant
L13y000,Other pregnancy vomiting unspecified,Currently pregnant
L13yz00,Other pregnancy vomiting NOS,Currently pregnant
L13z.00,Unspecified pregnancy vomiting,Currently pregnant
L13z000,Unspecified pregnancy vomiting unspecified,Currently pregnant
L13z200,Unspecified pregnancy vomiting - not delivered,Currently pregnant
L13zz00,Unspecified pregnancy vomiting NOS,Currently pregnant
L14..00,Early or threatened labour,Currently pregnant
L140.00,Threatened premature labour,Currently pregnant
L140.11,False labour,Currently pregnant
L140000,Threatened premature labour unspecified,Currently pregnant
L140100,Threatened premature labour - not delivered,Currently pregnant
L140200,False labour at or after 37 completed weeks of gestation,Currently pregnant
L140z00,Threatened premature labour NOS,Currently pregnant
L141.00,Other threatened labour,Currently pregnant
L141000,Other threatened labour unspecified,Currently pregnant
L141100,Other threatened labour - not delivered,Currently pregnant
L141z00,Other threatened labour NOS,Currently pregnant
L14z.00,Early or threatened labour NOS,Currently pregnant
L15..00,Prolonged or post-term pregnancy,Currently pregnant
L15..11,Post-term pregnancy,Currently pregnant
L150.00,Post-term pregnancy,Currently pregnant
L150000,Post-term pregnancy unspecified,Currently pregnant
L150200,Post-term pregnancy - not delivered,Currently pregnant
L150z00,Post-term pregnancy NOS,Currently pregnant
L15z.00,Prolonged pregnancy NOS,Currently pregnant
L16..00,Other pregnancy complication NEC,Currently pregnant
L160.00,Papyraceous fetus,Currently pregnant
L161.00,Oedema or excessive weight gain in pregnancy no hypertension,Currently pregnant
L161.11,Excessive weight gain in pregnancy,Currently pregnant
L161.12,Maternal obesity syndrome,Currently pregnant
L161.13,Gestational oedema,Currently pregnant
L161000,"Oedema or excessive weight gain in pregnancy, unspecified",Currently pregnant
L161300,Oedema or excessive weight gain in pregnancy - not delivered,Currently pregnant
L161z00,Oedema or excessive weight gain in pregnancy NOS,Currently pregnant
L162.00,Unspecified renal disease in pregnancy,Currently pregnant
L162.11,Albuminuria in pregnancy without hypertension,Currently pregnant
L162.12,Nephropathy NOS in pregnancy without hypertension,Currently pregnant
L162.13,Uraemia in pregnancy without hypertension,Currently pregnant
L162000,Unspecified renal disease in pregnancy unspecified,Currently pregnant
L163300,Pregnancy care of habitual aborter,Currently pregnant
L164.00,Peripheral neuritis in pregnancy,Currently pregnant
L165.00,Asymptomatic bacteriuria in pregnancy,Currently pregnant
L166.00,Genitourinary tract infections in pregnancy,Currently pregnant
L166.11,Cystitis of pregnancy,Currently pregnant
L166000,Genitourinary tract infection in pregnancy unspecified,Currently pregnant
L166300,Genitourinary tract infection in pregnancy - not delivered,Currently pregnant
L166500,Infections of kidney in pregnancy,Currently pregnant
L166700,Infections of the genital tract in pregnancy,Currently pregnant
L166800,Urinary tract infection complicating pregnancy,Currently pregnant
L166z00,Genitourinary tract infection in pregnancy NOS,Currently pregnant
L166z11,UTI - urinary tract infection in pregnancy,Currently pregnant
L167.00,Liver disorder in pregnancy,Currently pregnant
L167000,Liver disorder in pregnancy unspecified,Currently pregnant
L167200,Liver disorder in pregnancy - not delivered,Currently pregnant
L167z00,Liver disorder in pregnancy NOS,Currently pregnant
L168.00,Fatigue during pregnancy,Currently pregnant
L168000,Fatigue during pregnancy unspecified,Currently pregnant
L168z00,Fatigue during pregnancy NOS,Currently pregnant
L169300,Herpes gestationis - not delivered,Currently pregnant
L16A.00,Glycosuria during pregnancy,Currently pregnant
L16A000,Glycosuria during pregnancy unspecified,Currently pregnant
L16A300,Glycosuria during pregnancy - not delivered,Currently pregnant
L16Az00,Glycosuria during pregnancy NOS,Currently pregnant
L16B.00,Braxton-Hicks contractions,Currently pregnant
L16C.00,Pregnancy induced oedema+proteinuria without hypertension,Currently pregnant
L16C000,Gestational proteinuria,Currently pregnant
L16C100,Gestational oedema with proteinuria,Currently pregnant
L16D.00,Excessive weight gain in pregnancy,Currently pregnant
L16E.00,Pregnancy pruritus,Currently pregnant
L16y.00,Other pregnancy complications,Currently pregnant
L16y000,Other pregnancy complication unspecified,Currently pregnant
L16y300,Other pregnancy complication - not delivered,Currently pregnant
L16y500,Abdominal pain in pregnancy,Currently pregnant
L16yz00,Other pregnancy complication NOS,Currently pregnant
L16z.00,Pregnancy complication NOS,Currently pregnant
L171300,Maternal gonorrhoea in pregnancy - baby not yet delivered,Currently pregnant
L175.11,Rubella contact in pregnancy,Currently pregnant
L175300,Maternal rubella during pregnancy - baby not yet delivered,Currently pregnant
L177.00,Infections of bladder in pregnancy,Currently pregnant
L178.00,Infections of urethra in pregnancy,Currently pregnant
L180300,Diabetes mellitus during pregnancy - baby not yet delivered,Currently pregnant
L180800,Diabetes mellitus arising in pregnancy,Currently pregnant
L180811,Gestational diabetes mellitus,Currently pregnant
L180900,Gestational diabetes mellitus,Currently pregnant
L181300,Thyroid dysfunction in pregnancy - baby not yet delivered,Currently pregnant
L182300,Anaemia during pregnancy - baby not yet delivered,Currently pregnant
L182500,Iron deficiency anaemia of pregnancy,Currently pregnant
L183.11,Pregnancy and drug dependence,Currently pregnant
L183300,Drug dependence during pregnancy - baby not yet delivered,Currently pregnant
L185.11,Congenital heart disease in pregnancy,Currently pregnant
L186.11,Heart disease during pregnancy,Currently pregnant
L187300,Orthopaedic disorder in pregnancy - baby not yet delivered,Currently pregnant
L188300,Abnormal GTT during pregnancy - baby not yet delivered,Currently pregnant
L18A000,Cholestasis of pregnancy,Currently pregnant
L18z300,Medical condition NOS in pregnancy - baby not yet delivered,Currently pregnant
L19..00,Complications specific to multiple gestation,Currently pregnant
L191.00,Continuing pregnancy after abortion of one fetus or more,Currently pregnant
L192.00,Continuing preg after intrauterine death one fetus or more,Currently pregnant
L2...00,Risk factors in pregnancy,Currently pregnant
L21..00,Multiple pregnancy,Currently pregnant
L21..11,Gestation - multiple,Currently pregnant
L210.00,Twin pregnancy,Currently pregnant
L210000,Twin pregnancy unspecified,Currently pregnant
L210200,Twin pregnancy with antenatal problem,Currently pregnant
L210z00,Twin pregnancy NOS,Currently pregnant
L211.00,Triplet pregnancy,Currently pregnant
L211000,Triplet pregnancy unspecified,Currently pregnant
L211z00,Triplet pregnancy NOS,Currently pregnant
L212.00,Quadruplet pregnancy,Currently pregnant
L212200,Quadruplet pregnancy with antenatal problem,Currently pregnant
L212z00,Quadruplet pregnancy NOS,Currently pregnant
L21y.00,Other multiple pregnancy,Currently pregnant
L22..00,Malposition and malpresentation of fetus,Currently pregnant
L22..11,Malpresentation of fetus,Currently pregnant
L220.00,Fetus - unstable lie,Currently pregnant
L220z00,Unstable lie NOS,Currently pregnant
L221.00,Cephalic version NOS,Currently pregnant
L221000,"Cephalic version NOS, unspecified",Currently pregnant
L221z00,Cephalic version NOS,Currently pregnant
L222.00,Breech presentation,Currently pregnant
L222000,Breech presentation unspecified,Currently pregnant
L222200,Breech presentation with antenatal problem,Currently pregnant
L222z00,Breech presentation NOS,Currently pregnant
L223.00,Oblique presentation,Currently pregnant
L224.00,Transverse presentation,Currently pregnant
L224000,Transverse lie unspecified,Currently pregnant
L224200,Transverse lie with antenatal problem,Currently pregnant
L224z00,Transverse lie NOS,Currently pregnant
L227.00,High head at term,Currently pregnant
