code,coding_system,description,entity,list_name,upload_date
G35X.00,Read,Subsequent myocardial infarction of unspecified site,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G360.00,Read,Haemopericardium/current comp folow acut myocard infarct,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G362.00,Read,Ventric septal defect/curr comp fol acut myocardal infarctn,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G363.00,Read,Ruptur cardiac wall w'out haemopericard/cur comp fol ac MI,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G364.00,Read,Ruptur chordae tendinae/curr comp fol acute myocard infarct,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G365.00,Read,Rupture papillary muscle/curr comp fol acute myocard infarct,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G38..00,Read,Postoperative myocardial infarction,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G380.00,Read,Postoperative transmural myocardial infarction anterior wall,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G381.00,Read,Postoperative transmural myocardial infarction inferior wall,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G384.00,Read,Postoperative subendocardial myocardial infarction,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G38z.00,Read,Postoperative myocardial infarction; unspecified,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G574011,Read,Cardiac arrest-ventricular fibrillation,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G575.00,Read,Cardiac arrest,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G575000,Read,Cardiac arrest with successful resuscitation,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G575100,Read,Sudden cardiac death; so described,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G575.11,Read,Cardio-respiratory arrest,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G575.12,Read,Asystole,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G575z00,Read,Cardiac arrest; unspecified,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G60..00,Read,Subarachnoid haemorrhage,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G600.00,Read,Ruptured berry aneurysm,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G601.00,Read,Subarachnoid haemorrhage from carotid siphon and bifurcation,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G602.00,Read,Subarachnoid haemorrhage from middle cerebral artery,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G603.00,Read,Subarachnoid haemorrhage from anterior communicating artery,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G604.00,Read,Subarachnoid haemorrhage from posterior communicating artery,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G605.00,Read,Subarachnoid haemorrhage from basilar artery,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G606.00,Read,Subarachnoid haemorrhage from vertebral artery,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G60X.00,Read,Subarachnoid haemorrh from intracranial artery; unspecif,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G60z.00,Read,Subarachnoid haemorrhage NOS,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G61..00,Read,Intracerebral haemorrhage,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G610.00,Read,Cortical haemorrhage,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G611.00,Read,Internal capsule haemorrhage,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G61..11,Read,CVA - cerebrovascular accid due to intracerebral haemorrhage,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G61..12,Read,Stroke due to intracerebral haemorrhage,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G612.00,Read,Basal nucleus haemorrhage,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G613.00,Read,Cerebellar haemorrhage,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G614.00,Read,Pontine haemorrhage,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G615.00,Read,Bulbar haemorrhage,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G616.00,Read,External capsule haemorrhage,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G617.00,Read,Intracerebral haemorrhage; intraventricular,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G618.00,Read,Intracerebral haemorrhage; multiple localized,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G61X.00,Read,Intracerebral haemorrhage in hemisphere; unspecified,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G61X000,Read,Left sided intracerebral haemorrhage; unspecified,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G61X100,Read,Right sided intracerebral haemorrhage; unspecified,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G61z.00,Read,Intracerebral haemorrhage NOS,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G62..00,Read,Other and unspecified intracranial haemorrhage,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G620.00,Read,Extradural haemorrhage - nontraumatic,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G621.00,Read,Subdural haemorrhage - nontraumatic,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G62z.00,Read,Intracranial haemorrhage NOS,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G63..00,Read,Precerebral arterial occlusion,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G63..11,Read,Infarction - precerebral,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G632.00,Read,Vertebral artery occlusion,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G63y000,Read,Cerebral infarct due to thrombosis of precerebral arteries,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G63y100,Read,Cerebral infarction due to embolism of precerebral arteries,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G640.00,Read,Cerebral thrombosis,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G640000,Read,Cerebral infarction due to thrombosis of cerebral arteries,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G641.00,Read,Cerebral embolism,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G641000,Read,Cerebral infarction due to embolism of cerebral arteries,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G641.11,Read,Cerebral embolus,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G64..12,Read,Infarction - cerebral,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G64..13,Read,Stroke due to cerebral arterial occlusion,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G64z.00,Read,Cerebral infarction NOS,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G64z000,Read,Brainstem infarction,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G64z.11,Read,Brainstem infarction NOS,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G64z111,Read,Lateral medullary syndrome,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G64z.12,Read,Cerebellar infarction,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G64z200,Read,Left sided cerebral infarction,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G64z300,Read,Right sided cerebral infarction,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G64z400,Read,Infarction of basal ganglia,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G66..00,Read,Stroke and cerebrovascular accident unspecified,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G661.00,Read,Anterior cerebral artery syndrome,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G66..11,Read,CVA unspecified,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G66..12,Read,Stroke unspecified,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G66..13,Read,CVA - Cerebrovascular accident unspecified,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G662.00,Read,Posterior cerebral artery syndrome,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G663.00,Read,Brain stem stroke syndrome,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G664.00,Read,Cerebellar stroke syndrome,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G665.00,Read,Pure motor lacunar syndrome,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G666.00,Read,Pure sensory lacunar syndrome,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G667.00,Read,Left sided CVA,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G668.00,Read,Right sided CVA,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G671.00,Read,Generalised ischaemic cerebrovascular disease NOS,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G671000,Read,Acute cerebrovascular insufficiency NOS,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G671z00,Read,Generalised ischaemic cerebrovascular disease NOS,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G676000,Read,Cereb infarct due cerebral venous thrombosis; nonpyogenic,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G6W..00,Read,Cereb infarct due unsp occlus/stenos precerebr arteries,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G6X..00,Read,Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs,diagnostic,695 - res66: cardiovascular disease,2018-04-17
Gyu3400,Read,[X]Acute transmural myocardial infarction of unspecif site,diagnostic,695 - res66: cardiovascular disease,2018-04-17
Gyu3600,Read,[X]Subsequent myocardial infarction of unspecified site,diagnostic,695 - res66: cardiovascular disease,2018-04-17
Gyu6100,Read,[X]Other subarachnoid haemorrhage,diagnostic,695 - res66: cardiovascular disease,2018-04-17
Gyu6200,Read,[X]Other intracerebral haemorrhage,diagnostic,695 - res66: cardiovascular disease,2018-04-17
Gyu6300,Read,[X]Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs,diagnostic,695 - res66: cardiovascular disease,2018-04-17
Gyu6400,Read,[X]Other cerebral infarction,diagnostic,695 - res66: cardiovascular disease,2018-04-17
Gyu6F00,Read,[X]Intracerebral haemorrhage in hemisphere; unspecified,diagnostic,695 - res66: cardiovascular disease,2018-04-17
Gyu6G00,Read,[X]Cereb infarct due unsp occlus/stenos precerebr arteries,diagnostic,695 - res66: cardiovascular disease,2018-04-17
I20.0,ICD-10,Unstable angina,diagnostic,695 - res66: cardiovascular disease,2018-04-17
I21  ,ICD-10,Acute myocardial infarction,diagnostic,695 - res66: cardiovascular disease,2018-04-17
I21.0  ,ICD-10,Acute transmural myocardial infarction of anterior wall,diagnostic,695 - res66: cardiovascular disease,2018-04-17
I21.1  ,ICD-10,Acute transmural myocardial infarction of inferior wall,diagnostic,695 - res66: cardiovascular disease,2018-04-17
I21.2 ,ICD-10,Acute transmural myocardial infarction of other sites,diagnostic,695 - res66: cardiovascular disease,2018-04-17
I21.3 ,ICD-10,Acute transmural myocardial infarction of unspecified site ,diagnostic,695 - res66: cardiovascular disease,2018-04-17
I21.4,ICD-10,Acute subendocardial myocardial infarction,diagnostic,695 - res66: cardiovascular disease,2018-04-17
I21.9 ,ICD-10,Acute myocardial infarction; unspecified,diagnostic,695 - res66: cardiovascular disease,2018-04-17
I22,ICD-10,Subsequent myocardial infarction,diagnostic,695 - res66: cardiovascular disease,2018-04-17
I22.0 ,ICD-10,Subsequent myocardial infarction of anterior wall ,diagnostic,695 - res66: cardiovascular disease,2018-04-17
I22.1,ICD-10,Subsequent myocardial infarction of inferior wall,diagnostic,695 - res66: cardiovascular disease,2018-04-17
I22.8 ,ICD-10,Subsequent myocardial infarction of other sites,diagnostic,695 - res66: cardiovascular disease,2018-04-17
I22.9 ,ICD-10,Subsequent myocardial infarction of unspecified site,diagnostic,695 - res66: cardiovascular disease,2018-04-17
I23 ,ICD-10,Certain current complications following acute myocardial infarction,diagnostic,695 - res66: cardiovascular disease,2018-04-17
I23.0,ICD-10,Haemopericardium as current complication following acute myocardial infarction,diagnostic,695 - res66: cardiovascular disease,2018-04-17
I23.1 ,ICD-10,Atrial septal defect as current complication following acute myocardial infarction,diagnostic,695 - res66: cardiovascular disease,2018-04-17
I23.2 ,ICD-10,Ventricular septal defect as current complication following acute myocardial infarction,diagnostic,695 - res66: cardiovascular disease,2018-04-17
I23.3 ,ICD-10,Rupture of cardiac wall without haemopericardium as current complication following acute myocardial ,diagnostic,695 - res66: cardiovascular disease,2018-04-17
I23.4 ,ICD-10,Rupture of chordae tendineae as current complication following acute myocardial infarction,diagnostic,695 - res66: cardiovascular disease,2018-04-17
I23.5 ,ICD-10,Rupture of papillary muscle as current complication following acute myocardial infarction ,diagnostic,695 - res66: cardiovascular disease,2018-04-17
I23.6 ,ICD-10,Thrombosis of atrium; auricular appendage; and ventricle as current complications following acute my,diagnostic,695 - res66: cardiovascular disease,2018-04-17
I23.8 ,ICD-10,Other current complications following acute myocardial infarction,diagnostic,695 - res66: cardiovascular disease,2018-04-17
I24.9,ICD-10,Acute ischaemic heart disease; unspecified,diagnostic,695 - res66: cardiovascular disease,2018-04-17
I60,ICD-10,Subarachnoid haemorrhage,diagnostic,695 - res66: cardiovascular disease,2018-04-17
I60.0,ICD-10,Subarachnoid haemorrhage from carotid siphon and bifurcation ,diagnostic,695 - res66: cardiovascular disease,2018-04-17
I60.1,ICD-10,Subarachnoid haemorrhage from middle cerebral artery,diagnostic,695 - res66: cardiovascular disease,2018-04-17
I60.2,ICD-10,Subarachnoid haemorrhage from anterior communicating artery,diagnostic,695 - res66: cardiovascular disease,2018-04-17
I60.3,ICD-10,Subarachnoid haemorrhage from posterior communicating artery,diagnostic,695 - res66: cardiovascular disease,2018-04-17
I60.4,ICD-10,Subarachnoid haemorrhage from basilar artery,diagnostic,695 - res66: cardiovascular disease,2018-04-17
I60.5,ICD-10,Subarachnoid haemorrhage from vertebral artery,diagnostic,695 - res66: cardiovascular disease,2018-04-17
I60.6,ICD-10,Subarachnoid haemorrhage from other intracranial arteries,diagnostic,695 - res66: cardiovascular disease,2018-04-17
I60.7,ICD-10,Subarachnoid haemorrhage from intracranial artery; unspecified,diagnostic,695 - res66: cardiovascular disease,2018-04-17
I60.8,ICD-10,Other subarachnoid haemorrhage,diagnostic,695 - res66: cardiovascular disease,2018-04-17
I60.9,ICD-10,Subarachnoid haemorrhage; unspecified ,diagnostic,695 - res66: cardiovascular disease,2018-04-17
I61,ICD-10,Intracerebral haemorrhage,diagnostic,695 - res66: cardiovascular disease,2018-04-17
I61.0,ICD-10,Intracerebral haemorrhage in hemisphere; subcortical,diagnostic,695 - res66: cardiovascular disease,2018-04-17
I61.1,ICD-10,Intracerebral haemorrhage in hemisphere; cortical,diagnostic,695 - res66: cardiovascular disease,2018-04-17
I61.2,ICD-10,Intracerebral haemorrhage in hemisphere; unspecified,diagnostic,695 - res66: cardiovascular disease,2018-04-17
I61.3,ICD-10,Intracerebral haemorrhage in brain stem,diagnostic,695 - res66: cardiovascular disease,2018-04-17
I61.4,ICD-10,Intracerebral haemorrhage in cerebellum,diagnostic,695 - res66: cardiovascular disease,2018-04-17
I61.5,ICD-10,Intracerebral haemorrhage; intraventricular,diagnostic,695 - res66: cardiovascular disease,2018-04-17
I61.6,ICD-10,Intracerebral haemorrhage; multiple localized,diagnostic,695 - res66: cardiovascular disease,2018-04-17
I61.8,ICD-10,Other intracerebral haemorrhage,diagnostic,695 - res66: cardiovascular disease,2018-04-17
I61.9,ICD-10,Intracerebral haemorrhage; unspecified ,diagnostic,695 - res66: cardiovascular disease,2018-04-17
I62,ICD-10,Other nontraumatic intracranial haemorrhage,diagnostic,695 - res66: cardiovascular disease,2018-04-17
I62.9,ICD-10,Intracranial haemorrhage (nontraumatic); unspecified,diagnostic,695 - res66: cardiovascular disease,2018-04-17
I63,ICD-10,Cerebral infarction,diagnostic,695 - res66: cardiovascular disease,2018-04-17
I63.0,ICD-10,Cerebral infarction due to thrombosis of precerebral arteries,diagnostic,695 - res66: cardiovascular disease,2018-04-17
I63.1,ICD-10,Cerebral infarction due to embolism of precerebral arteries,diagnostic,695 - res66: cardiovascular disease,2018-04-17
I63.2,ICD-10,Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries,diagnostic,695 - res66: cardiovascular disease,2018-04-17
I63.3,ICD-10,Cerebral infarction due to thrombosis of cerebral arteries,diagnostic,695 - res66: cardiovascular disease,2018-04-17
I63.4,ICD-10,Cerebral infarction due to embolism of cerebral arteries,diagnostic,695 - res66: cardiovascular disease,2018-04-17
I63.5,ICD-10,Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries,diagnostic,695 - res66: cardiovascular disease,2018-04-17
I63.6,ICD-10,Cerebral infarction due to cerebral venous thrombosis; nonpyogenic,diagnostic,695 - res66: cardiovascular disease,2018-04-17
I63.8,ICD-10,Other cerebral infarction ,diagnostic,695 - res66: cardiovascular disease,2018-04-17
I63.9,ICD-10,Cerebral infarction; unspecified,diagnostic,695 - res66: cardiovascular disease,2018-04-17
I64,ICD-10,Stroke; not specified as haemorrhage or infarction,diagnostic,695 - res66: cardiovascular disease,2018-04-17
410,ICD-9,Acute myocardial infarction of anterolateral wall; episode of care unspecified,diagnostic,695 - res66: cardiovascular disease,2018-04-17
410.01,ICD-9,Acute myocardial infarction of anterolateral wall; initial episode of care,diagnostic,695 - res66: cardiovascular disease,2018-04-17
410.02,ICD-9,Acute myocardial infarction of anterolateral wall; subsequent episode of care,diagnostic,695 - res66: cardiovascular disease,2018-04-17
410.1,ICD-9,Acute myocardial infarction of other anterior wall; episode of care unspecified ,diagnostic,695 - res66: cardiovascular disease,2018-04-17
410.11,ICD-9,Acute myocardial infarction of other anterior wall; initial episode of care,diagnostic,695 - res66: cardiovascular disease,2018-04-17
410.12,ICD-9,Acute myocardial infarction of other anterior wall; subsequent episode of care,diagnostic,695 - res66: cardiovascular disease,2018-04-17
410.2,ICD-9,Acute myocardial infarction of inferolateral wall; episode of care unspecified,diagnostic,695 - res66: cardiovascular disease,2018-04-17
410.21,ICD-9,Acute myocardial infarction of inferolateral wall; initial episode of care,diagnostic,695 - res66: cardiovascular disease,2018-04-17
410.22,ICD-9,Acute myocardial infarction of inferolateral wall; subsequent episode of care,diagnostic,695 - res66: cardiovascular disease,2018-04-17
410.3,ICD-9,Acute myocardial infarction of inferoposterior wall; episode of care unspecified,diagnostic,695 - res66: cardiovascular disease,2018-04-17
410.31,ICD-9,Acute myocardial infarction of inferoposterior wall; initial episode of care    ,diagnostic,695 - res66: cardiovascular disease,2018-04-17
410.32,ICD-9,Acute myocardial infarction of inferoposterior wall; subsequent episode of care    ,diagnostic,695 - res66: cardiovascular disease,2018-04-17
410.4,ICD-9,Acute myocardial infarction of other inferior wall; episode of care unspecified,diagnostic,695 - res66: cardiovascular disease,2018-04-17
410.41,ICD-9, Acute myocardial infarction of other inferior wall; initial episode of care ,diagnostic,695 - res66: cardiovascular disease,2018-04-17
410.42,ICD-9,Acute myocardial infarction of other inferior wall; subsequent episode of care,diagnostic,695 - res66: cardiovascular disease,2018-04-17
410.5,ICD-9,Acute myocardial infarction of other lateral wall; episode of care unspecified,diagnostic,695 - res66: cardiovascular disease,2018-04-17
410.51,ICD-9,Acute myocardial infarction of other lateral wall; initial episode of care,diagnostic,695 - res66: cardiovascular disease,2018-04-17
410.52,ICD-9,Acute myocardial infarction of other lateral wall; subsequent episode of care,diagnostic,695 - res66: cardiovascular disease,2018-04-17
410.6,ICD-9,True posterior wall infarction; episode of care unspecified ,diagnostic,695 - res66: cardiovascular disease,2018-04-17
410.61,ICD-9,True posterior wall infarction; initial episode of care       ,diagnostic,695 - res66: cardiovascular disease,2018-04-17
410.62,ICD-9,True posterior wall infarction; subsequent episode of care ,diagnostic,695 - res66: cardiovascular disease,2018-04-17
410.7,ICD-9,Subendocardial infarction; episode of care unspecified,diagnostic,695 - res66: cardiovascular disease,2018-04-17
410.71,ICD-9,Subendocardial infarction; initial episode of care,diagnostic,695 - res66: cardiovascular disease,2018-04-17
410.72,ICD-9,Subendocardial infarction; subsequent episode of care,diagnostic,695 - res66: cardiovascular disease,2018-04-17
410.8,ICD-9,Acute myocardial infarction of other specified sites; episode of care unspecified,diagnostic,695 - res66: cardiovascular disease,2018-04-17
410.81,ICD-9,Acute myocardial infarction of other specified sites; initial episode of care   ,diagnostic,695 - res66: cardiovascular disease,2018-04-17
410.82,ICD-9,Acute myocardial infarction of other specified sites; subsequent episode of care,diagnostic,695 - res66: cardiovascular disease,2018-04-17
410.9,ICD-9,Acute myocardial infarction of unspecified site; episode of care unspecified,diagnostic,695 - res66: cardiovascular disease,2018-04-17
410.91,ICD-9,Acute myocardial infarction of unspecified site; initial episode of care,diagnostic,695 - res66: cardiovascular disease,2018-04-17
410.92,ICD-9,Acute myocardial infarction of unspecified site; subsequent episode of care,diagnostic,695 - res66: cardiovascular disease,2018-04-17
411.1,ICD-9,Intermediate coronary syndrome,diagnostic,695 - res66: cardiovascular disease,2018-04-17
411.89,ICD-9,Other acute and subacute forms of ischemic heart disease; other,diagnostic,695 - res66: cardiovascular disease,2018-04-17
430,ICD-9,Subarachnoid hemorrhage,diagnostic,695 - res66: cardiovascular disease,2018-04-17
431,ICD-9,Intracerebral hemorrhage  ,diagnostic,695 - res66: cardiovascular disease,2018-04-17
432.9,ICD-9,Unspecified intracranial hemorrhage,diagnostic,695 - res66: cardiovascular disease,2018-04-17
433,ICD-9,Occlusion and stenosis of basilar artery without mention of cerebral infarction,diagnostic,695 - res66: cardiovascular disease,2018-04-17
433.01,ICD-9,Occlusion and stenosis of basilar artery with cerebral infarction,diagnostic,695 - res66: cardiovascular disease,2018-04-17
433.1,ICD-9,Occlusion and stenosis of carotid artery without mention of cerebral infarction,diagnostic,695 - res66: cardiovascular disease,2018-04-17
433.11,ICD-9,Occlusion and stenosis of carotid artery with cerebral infarction,diagnostic,695 - res66: cardiovascular disease,2018-04-17
433.2,ICD-9,Occlusion and stenosis of vertebral artery without mention of cerebral infarction,diagnostic,695 - res66: cardiovascular disease,2018-04-17
433.21,ICD-9,Occlusion and stenosis of vertebral artery with cerebral infarction,diagnostic,695 - res66: cardiovascular disease,2018-04-17
433.3,ICD-9,Occlusion and stenosis of multiple and bilateral precerebral arteries without mention of cerebral in,diagnostic,695 - res66: cardiovascular disease,2018-04-17
433.31,ICD-9,Occlusion and stenosis of multiple and bilateral precerebral arteries with cerebral infarction,diagnostic,695 - res66: cardiovascular disease,2018-04-17
433.8,ICD-9,Occlusion and stenosis of other specified precerebral artery without mention of cerebral infarction,diagnostic,695 - res66: cardiovascular disease,2018-04-17
433.81,ICD-9,Occlusion and stenosis of other specified precerebral artery with cerebral infarction ,diagnostic,695 - res66: cardiovascular disease,2018-04-17
433.9,ICD-9,Occlusion and stenosis of unspecified precerebral artery without mention of cerebral infarction,diagnostic,695 - res66: cardiovascular disease,2018-04-17
433.91,ICD-9,Occlusion and stenosis of unspecified precerebral artery with cerebral infarction,diagnostic,695 - res66: cardiovascular disease,2018-04-17
434,ICD-9,Cerebral thrombosis without mention of cerebral infarction,diagnostic,695 - res66: cardiovascular disease,2018-04-17
434.01,ICD-9,Cerebral thrombosis with cerebral infarction,diagnostic,695 - res66: cardiovascular disease,2018-04-17
434.1,ICD-9,Cerebral embolism without mention of cerebral infarction,diagnostic,695 - res66: cardiovascular disease,2018-04-17
434.11,ICD-9,Cerebral embolism with cerebral infarction,diagnostic,695 - res66: cardiovascular disease,2018-04-17
434.9,ICD-9,Cerebral artery occlusion; unspecified without mention of cerebral infarction,diagnostic,695 - res66: cardiovascular disease,2018-04-17
434.91,ICD-9,Cerebral artery occlusion; unspecified with cerebral infarction,diagnostic,695 - res66: cardiovascular disease,2018-04-17
