prodcode,prodname,drugsubstance,bnfcode,strength
3557,prednisone tablets 1mg ,prednisone,05011000/08020200/10020100/06030200/01050200,1mg
3651,SOLU-CORTEF injection 100mg/vial [PHARMACIA],hydrocortisone sodium succinate,6030200,100mg/vial
3703,KENALOG IA/IM IM injection 80mg/2ml [SQUIBB],triamcinolone acetonide,10010202/06030200,80mg/2ml
3754,hydrocortisone na succinate injection 100mg/vial ,hydrocortisone sodium succinate,6030200,100mg/vial
3992,deflazacort tablets 6mg ,deflazacort,08020200/10010201/06030200,6mg
4123,KENALOG intra-articular injection 40mg/ml [SQUIBB],triamcinolone acetonide,10010202/06030200,40mg/ml
4125,triamcinolone acetonide IM injection 80mg/2ml ,triamcinolone acetonide,10010202/06030200,80mg/2ml
4233,dexamethasone sodium phosphate injection 4mg/ml ,dexamethasone sodium phosphate,10010202/06030200,4mg/ml
4488,triamcinolone acetonide intra-articular / intramuscular injection 40mg/ml ,triamcinolone acetonide,10010202/06030200,40mg/ml
4535,hydrocortisone tablets 20mg ,hydrocortisone,06030100/06030200,20mg
4687,methylprednisolone acetate with lidocaine injection 40mg/ml + 10mg/ml ,lidocaine hydrochloride/methylprednisolone acetate,10010202/06030200,40mg/ml + 10mg/ml
4779,dexamethasone tablets 0.5mg ,dexamethasone,6030200,0.5mg
4943,dexamethasone sugar free oral solution 2mg/5ml ,dexamethasone sodium phosphate,6030200,2mg/5ml
5157,dexamethasone oral solution 2mg/5ml ,dexamethasone,6030200,2mg/5ml
5490,DELTACORTRIL ENTERIC tablets 5mg [ALLIANCE],prednisolone,6030200,5mg
5493,methylprednisolone acetate injection 40mg/ml ,methylprednisolone acetate,10010202/06030200,40mg/ml
5913,DELTACORTRIL ENTERIC tablets 2.5mg [ALLIANCE],prednisolone,6030200,2.5mg
6098,HYDROCORTONE tablets 10mg [M S D],hydrocortisone,06030100/06030200,10mg
6339,hydrocortisone oromucosal tablets 2.5mg ,hydrocortisone sodium succinate,12030100,2.5mg
7286,betamethasone sodium phosphate soluble tablet 500micrograms ,betamethasone sodium phosphate,6030200,500micrograms
7405,DEPO-MEDRONE WITH LIDOCAINE injection 40mg/1ml + 10mg/1ml [PHARMACIA],lidocaine hydrochloride/methylprednisolone acetate,10010202/06030200,40mg/1ml + 10mg/1ml
7548,cortisone acetate capsules 5mg ,cortisone acetate,06030100/06030200/23000000,5mg
7992,LEDERSPAN injection 5mg/ml [WYETH PHAR],triamcinolone hexacetonide,10010202,5mg/ml
8108,hydrocortisone acetate injection suspension 25mg/1ml ,hydrocortisone acetate,10010202,25mg/1ml
8261,MEDRONE tablets 16mg [PHARMACIA],methylprednisolone,06030200/01050200,16mg
8306,prednisolone acetate injection 25mg/ml ,prednisolone acetate,10010202/06030200,25mg/ml
8864,ADCORTYL intra-articular / intradermal injection 10mg/ml [SQUIBB],triamcinolone acetonide,10010202,10mg/ml
9026,LEDERSPAN injection 20mg/ml [WYETH PHAR],benzyl alcohol/triamcinolone hexacetonide,10010202,20mg/ml
9375,deflazacort tablets 1mg ,deflazacort,08020200/10010201/06030200,1mg
9574,hydrocortisone na phosphate injection 100mg/ml ,hydrocortisone sodium phosphate,6030200,100mg/ml
9727,prednisolone tablets 50mg ,prednisolone,6030200,50mg
9994,DECADRON tablets 0.5mg [M S D],dexamethasone,6030200,0.5mg
10552,methylprednisolone tablets 16mg ,methylprednisolone,06030200/01050200,16mg
10574,cortisone acetate tablets 5mg ,cortisone acetate,06030100/06030200,5mg
10657,dexamethasone sodium phosphate intra-articular injection 4mg/ml ,dexamethasone sodium phosphate,10010202/06030200,4mg/ml
10683,MEDRONE tablets 2mg [PHARMACIA],methylprednisolone,06030200/01050200,2mg
10684,methylprednisolone tablets 2mg ,methylprednisolone,06030200/01050200,2mg
10754,HYDROCORTISTAB tablets 20mg [WAYMADE],hydrocortisone,06030100/06030200,20mg
10864,betamethasone tablets 500micrograms ,betamethasone,6030200,500micrograms
11149,BETNELAN tablets 0.5mg [UCB],betamethasone,6030200,0.5mg
11334,dexamethasone sodium phosphate IV injection 4mg/ml ,dexamethasone sodium phosphate,10010202/06030200,4mg/ml
12398,CORTELAN tablets 25mg [GLAXO],cortisone acetate,06030100/06030200,25mg
12400,CORTISYL tablets 25mg [AVENTIS],cortisone acetate,06030100/06030200,25mg
12405,methylprednisolone sodium succ injection 2g ,methylprednisolone sodium succinate,6030200,2g
13043,HYDROCORTONE tablets 20mg [M S D],hydrocortisone,06030100/06030200,20mg
13350,hydrocortisone na succinate injection 500mg/vial ,hydrocortisone sodium succinate,6030200,500mg/vial
13397,methylprednisolone sodium succ injection 1g ,methylprednisolone sodium succinate,6030200,1g
13952,DECADRON injection 4mg/ml [MSD MORSON],dexamethasone sodium phosphate,10010202/06030200,4mg/ml
13972,dexamethasone sodium phosphate injection 5mg/ml ,dexamethasone sodium phosphate,10010202/06030200,5mg/ml
13981,ADCORTYL intradermal injection 10mg/ml [SQUIBB],triamcinolone acetonide,10010202,10mg/ml
14076,hydrocortisone sugar free oral suspension 5mg/5ml ,hydrocortisone,06030100/06030200/23000000,5mg/5ml
14172,methylprednisolone tablets 100mg ,methylprednisolone,06030200/01050200,100mg
14188,methylprednisolone sodium succ injection 500mg ,methylprednisolone sodium succinate,6030200,500mg
14335,ADCORTYL intra-articular / intradermal injection 10mg/1ml [SQUIBB],triamcinolone acetonide,10010202,10mg/1ml
14906,dexamethasone injection 4mg/ml ,dexamethasone sodium phosphate,10010202/06030200,4mg/ml
14958,triamcinolone acetonide intra-articular / intradermal injection 10mg/1ml ,triamcinolone acetonide,10010202,10mg/1ml
14962,ADCORTYL intra-articular / intradermal injection 50mg/5ml [SQUIBB],triamcinolone acetonide,10010202,50mg/5ml
14982,DEPO-MEDRONE injection 40mg/1ml [PHARMACIA],methylprednisolone acetate,10010202/06030200,40mg/1ml
15555,MEDRONE tablets 4mg [PHARMACIA],methylprednisolone,06030200/01050200,4mg
15617,LEDERCORT tablets 4mg [WYETH PHAR],triamcinolone,6030200,4mg
15717,betamethasone sodium phosphate injection 4mg/1ml ,betamethasone sodium phosphate,6030200,4mg/1ml
16582,triamcinolone acetonide intra-articular / intramuscular injection 40mg/1ml ,triamcinolone acetonide,10010202/06030200,40mg/1ml
16583,KENALOG intra-articular / intramuscular injection 40mg/1ml [SQUIBB],triamcinolone acetonide,10010202/06030200,40mg/1ml
17410,deflazacort tablets 30mg ,deflazacort,08020200/10010201/06030200,30mg
18042,MEDRONE tablets 100mg [PHARMACIA],methylprednisolone,06030200/01050200,100mg
18266,methylprednisolone sodium succ injection 125mg ,methylprednisolone sodium succinate,6030200,125mg
18637,CORTISTAB tablets 25mg [WAYMADE],cortisone acetate,06030100/06030200,25mg
18660,DELTASTAB injection 25mg/ml [SOVEREIGN],prednisolone acetate,10010202/06030200,25mg/ml
18765,methylprednisolone sodium succ injection 40mg ,methylprednisolone sodium succinate,6030200,40mg
19141,PREDNISOLONE soluble tablet 5mg [SOVEREIGN],prednisolone sodium phosphate,6030200,5mg
19259,dexamethasone injection 8mg/2ml ,dexamethasone sodium phosphate,10010202/06030200,8mg/2ml
19908,triamcinolone tablets 2mg ,triamcinolone,6030200,2mg
20095,PRECORTISYL FORTE tablets 25mg [AVENTIS],prednisolone,6030200,25mg
20157,DEPO-MEDRONE WITH LIDOCAINE injection 80mg/2ml + 20mg/2ml [PHARMACIA],lidocaine hydrochloride/methylprednisolone acetate,10010202/06030200,80mg/2ml + 20mg/2ml
20577,CALCORT tablets 6mg [SHIRE],deflazacort,08020200/10010201/06030200,6mg
21218,DEXSOL oral solution 2mg/5ml [ROSEMONT],dexamethasone sodium phosphate,6030200,2mg/5ml
21417,PREDNISOLONE tablets 5mg [HILLCROSS],prednisolone,6030200,5mg
21540,SOLU-MEDRONE injection 500mg [PHARMACIA],methylprednisolone sodium succinate,6030200,500mg
21668,DECADRON SHOCK PAK 20mg/ml [M S D],dexamethasone sodium phosphate,6030200,20mg/ml
21833,DECORTISYL tablets 5mg [ROUSSEL],prednisone,05011000/08020200/10020100/06030200/01050200,5mg
21903,ORADEXON-ORGANON tablets 2mg [ORGANON],dexamethasone,6030200,2mg
22047,KENALOG intra-articular / intramuscular injection 80mg/2ml [SQUIBB],triamcinolone acetonide,10010202/06030200,80mg/2ml
22555,CALCORT tablets 1mg [SHIRE],deflazacort,08020200/10010201/06030200,1mg
22577,BETNESOL injection 4mg/1ml [UCB],betamethasone sodium phosphate,6030200,4mg/1ml
23111,triamcinolone tablets 4mg ,triamcinolone,6030200,4mg
23210,CORTISTAB tablets 5mg [WAYMADE],cortisone acetate,06030100/06030200,5mg
23511,SOLU-MEDRONE injection 40mg [PHARMACIA],methylprednisolone sodium succinate,6030200,40mg
23512,PRECORTISYL tablets 5mg [HOECHSTMAR],prednisolone,6030200,5mg
24014,LEDERCORT tablets 2mg [WYETH PHAR],triamcinolone,6030200,2mg
24224,CODELSOL injection 16mg/ml [MSD MORSON],prednisolone sodium phosphate,10010202/06030200,16mg/ml
25226,SOLU-MEDRONE injection 125mg [PHARMACIA],methylprednisolone sodium succinate,6030200,125mg
25272,PRECORTISYL tablets 1mg [HOECHSTMAR],prednisolone,6030200,1mg
25839,SOLU-MEDRONE injection 1g [PHARMACIA],methylprednisolone sodium succinate,6030200,1g
26299,ORADEXON-ORGANON intra-articular injection 4mg/ml [ORGANON],dexamethasone sodium phosphate,10010202/06030200,4mg/ml
26300,dexamethasone shock treatment pack 20mg/ml ,dexamethasone sodium phosphate,6030200,20mg/ml
26454,DECADRON injection 4mg/ml [MSD MORSON],dexamethasone sodium phosphate,10010202/06030200,4mg/ml
27413,DEPO-MEDRONE injection 80mg/2ml [PHARMACIA],methylprednisolone acetate,10010202/06030200,80mg/2ml
27962,DELTASTAB tablets 1mg [WAYMADE],prednisolone,6030200,1mg
28215,dexamethasone sodium phosphate injection 120mg/5ml ,dexamethasone sodium phosphate,10010202/06030200,120mg/5ml
28375,PREDNISOLONE enteric coated tablets 2.5mg [HILLCROSS],prednisolone,6030200,2.5mg
28376,PREDNISOLONE enteric coated tablets 2.5mg [BIOREX],prednisolone,6030200,2.5mg
28859,DELTASTAB tablets 5mg [WAYMADE],prednisolone,6030200,5mg
29112,CALCORT tablets 30mg [SHIRE],deflazacort,08020200/10010201/06030200,30mg
29333,PREDNISOLONE tablets 5mg [ACTAVIS],prednisolone,6030200,5mg
30244,triamcinolone acetonide injection 40mg/ml ,triamcinolone acetonide,10010202/06030200,40mg/ml
31327,prednisolone steaglate tablets 6.65mg ,prednisolone steaglate,05011000/08020200/10020100/06030200/01050200,6.65mg
31532,PREDNISOLONE enteric coated tablets 5mg [HILLCROSS],prednisolone,6030200,5mg
31948,DEXAMETHASONE injection 4mg/ml [MAYNE],dexamethasone sodium phosphate,10010202/06030200,4mg/ml
32803,PREDNISOLONE enteric coated tablets 5mg [ACTAVIS],prednisolone,6030200,5mg
32835,PREDNISOLONE tablets 5mg [WOCKHARDT],prednisolone,6030200,5mg
33131,triamcinolone acetonide intra-articular / intramuscular injection 80mg/2ml ,triamcinolone acetonide,10010202/06030200,80mg/2ml
33132,methylprednisolone acetate injection 40mg/1ml ,methylprednisolone acetate,10010202/06030200,40mg/1ml
33691,PREDNISOLONE enteric coated tablets 5mg [BIOREX],prednisolone,6030200,5mg
33988,PREDNISOLONE tablets 5mg [CO-PHARMA],prednisolone,6030200,5mg
33990,PREDNISOLONE tablets 5mg [IVAX],prednisolone,6030200,5mg
34083,DEXAMETHASONE injection 5mg/ml [ORGANON],dexamethasone sodium phosphate,10010202/06030200,5mg/ml
34109,prednisolone enteric coated tablets 5mg ,prednisolone,6030200,5mg
34166,EFCORTELAN SOLUBLE injection 50mg/ml [GLAXO],hydrocortisone sodium succinate,6030200,50mg/ml
34393,PREDNISOLONE enteric coated tablets 5mg [TEVA],prednisolone,6030200,5mg
34404,PREDNISOLONE tablets 1mg [ACTAVIS],prednisolone,6030200,1mg
34452,PREDNISOLONE tablets 1mg [HILLCROSS],prednisolone,6030200,1mg
34461,PREDNISOLONE enteric coated tablets 2.5mg [ACTAVIS],prednisolone,6030200,2.5mg
34631,PREDNISOLONE tablets 1mg [CO-PHARMA],prednisolone,6030200,1mg
34660,PREDNISOLONE tablets 1mg [KENT],prednisolone,6030200,1mg
34748,PREDNISOLONE tablets 1mg [TEVA],prednisolone,6030200,1mg
34781,PREDNISOLONE tablets 5mg [KENT],prednisolone,6030200,5mg
34801,DEXAMETHASONE elixir 0.5mg/5ml [ROSEMONT],dexamethasone,06030200/23000000,0.5mg/5ml
34880,DEXAMETHASONE tablets 2mg [ORGANON],dexamethasone,6030200,2mg
34914,PREDNISOLONE tablets 1mg [CELLTECH],prednisolone,6030200,1mg
34915,DEXAMETHASONE tablets 0.5mg [ORGANON],dexamethasone,6030200,0.5mg
34978,PREDNISOLONE tablets 1mg [WOCKHARDT],prednisolone,6030200,1mg
35040,DEPO-MEDRONE injection 120mg/3ml [PHARMACIA],methylprednisolone acetate,10010202/06030200,120mg/3ml
35154,methylprednisolone acetate with lidocaine injection 80mg/2ml + 20mg/2ml ,lidocaine hydrochloride/methylprednisolone acetate,10010202/06030200,80mg/2ml + 20mg/2ml
35156,methylprednisolone acetate with lidocaine injection 40mg/1ml + 10mg/1ml ,lidocaine hydrochloride/methylprednisolone acetate,10010202/06030200,40mg/1ml + 10mg/1ml
35172,EFCORTESOL injection 100mg/1ml [SOVEREIGN],hydrocortisone sodium phosphate,6030200,100mg/1ml
35175,hydrocortisone sodium phos injection 100mg/1ml ,hydrocortisone sodium phosphate,6030200,100mg/1ml
35349,methylprednisolone acetate injection 80mg/2ml ,methylprednisolone acetate,10010202/06030200,80mg/2ml
35453,dexamethasone sodium phosphate injection 4mg/1ml ,dexamethasone sodium phosphate,10010202/06030200,4mg/1ml
35578,triamcinolone acetonide intra-articular / intradermal injection 50mg/5ml ,triamcinolone acetonide,10010202,50mg/5ml
35688,methylprednisolone acetate injection 120mg/3ml ,methylprednisolone acetate,10010202/06030200,120mg/3ml
36055,DEXAMETHASONE tablets 2mg [HILLCROSS],dexamethasone,6030200,2mg
37500,dexamethasone sodium phosphate injection 8mg/2ml ,dexamethasone sodium phosphate,10010202/06030200,8mg/2ml
37638,EFCORTESOL injection 500mg/5ml [SOVEREIGN],hydrocortisone sodium phosphate,6030200,500mg/5ml
37737,KENALOG IA/IM injection 40mg/ml [SQUIBB],triamcinolone acetonide,10010202/06030200,40mg/ml
38022,hydrocortisone oral suspension 10mg/5ml ,hydrocortisone,06030100/06030200/23000000,10mg/5ml
38054,hydrocortisone tablets ,hydrocortisone,06030100/06030200/23000000,
38407,prednisolone (ipu) tablets 20mg ,prednisolone,6030200,20mg
41335,CALCORT tablets 6mg [SANOFI/AVE],deflazacort,08020200/10010201/06030200,6mg
41515,PREDNISOLONE tablets 5mg [TEVA],prednisolone,6030200,5mg
41745,PREDNISOLONE tablets 25mg [WINTHROP],prednisolone,6030200,25mg
823,methotrexate tablets 2.5mg ,methotrexate,08010300/10010300/01050300/13050300,2.5mg
877,methotrexate tablets 10mg ,methotrexate,08010300/10010300/01050300/13050300,10mg
7336,methotrexate injection 12.5mg/0.5ml ,methotrexate sodium,08010300/23000000,12.5mg/0.5ml
7337,methotrexate injection 10mg/0.4ml ,methotrexate sodium,08010300/23000000,10mg/0.4ml
8327,methotrexate injection 50mg/3ml ,methotrexate sodium,08010300/10010300/01050300/13050300,50mg/3ml
8583,methotrexate injection 25mg/ml ,methotrexate sodium,08010300/10010300/01050300/13050300,25mg/ml
9528,methotrexate injection 5mg/2ml ,methotrexate sodium,08010300/10010300/01050300/13050300,5mg/2ml
12816,methotrexate injection 100mg/ml ,methotrexate sodium,08010300/10010300/01050300/13050300,100mg/ml
13428,MAXTREX tablets 2.5mg [PHARMACIA],methotrexate,08010300/10010300/01050300/13050300,2.5mg
14347,methotrexate injection 20mg/0.8ml ,methotrexate sodium,08010300/23000000,20mg/0.8ml
14348,METOJECT injection 20mg/2ml [MEDAC UK],methotrexate,08010300/10010300/01050300/13050300,20mg/2ml
14748,methotrexate sodium injection 25mg/ml ,methotrexate sodium,08010300/10010300/01050300/13050300,25mg/ml
16519,methotrexate injection 25mg/1ml ,methotrexate sodium,08010300/23000000,25mg/1ml
16540,methotrexate injection 15mg/0.6ml ,methotrexate sodium,08010300/23000000,15mg/0.6ml
16570,methotrexate injection 7.5mg/0.3ml ,methotrexate sodium,08010300/23000000,7.5mg/0.3ml
17035,methotrexate suspension 2.5mg/5ml ,methotrexate,08010300/10010300/01050300/23000000/13050300,2.5mg/5ml
17672,methotrexate injection 22.5mg/0.9ml ,methotrexate sodium,08010300/23000000,22.5mg/0.9ml
18424,methotrexate sodium tablets 2.5mg ,methotrexate,08010300/10010300/01050300/13050300,2.5mg
18890,methotrexate injection 17.5mg/0.7ml ,methotrexate sodium,08010300/23000000,17.5mg/0.7ml
20951,METHOTREXATE tablets 2.5mg [GOLDSHIELD],methotrexate,08010300/10010300/01050300/13050300,2.5mg
21753,MAXTREX tablets 10mg [PHARMACIA],methotrexate,08010300/10010300/01050300/13050300,10mg
24634,methotrexate injection 25mg/2.5ml ,methotrexate,08010300/10010300/01050300/13050300,25mg/2.5ml
24783,methotrexate injection 50mg/2ml ,methotrexate sodium,08010300/10010300/01050300/13050300,50mg/2ml
26064,methotrexate injection 20mg/2ml ,methotrexate,08010300/10010300/01050300/13050300,20mg/2ml
27342,MAXTREX injection 2.5mg/ml [PHARMACIA],methotrexate sodium,08010300/10010300/01050300/13050300,2.5mg/ml
27400,METOJECT injection 15mg/1.5ml [MEDAC UK],methotrexate,08010300/10010300/01050300/13050300,15mg/1.5ml
27404,methotrexate injection 15mg/1.5ml ,methotrexate,08010300/10010300/01050300/13050300,15mg/1.5ml
27642,methotrexate injection 27.5mg/1.1ml ,methotrexate sodium,08010300/23000000,27.5mg/1.1ml
28041,methotrexate oral suspension 12.5mg/5ml ,methotrexate,08010300/10010300/01050300/23000000/13050300,12.5mg/5ml
29069,methotrexate sterile powder 500mg/vial ,methotrexate sodium,08010300/10010300/01050300/13050300,500mg/vial
30703,methotrexate injection 30mg/1.2ml ,methotrexate sodium,08010300/23000000,30mg/1.2ml
30780,METHOTREXATE tablets 2.5mg [PHARMACIA],methotrexate,08010300/10010300/01050300/13050300,2.5mg
30932,methotrexate injection 5mg/0.2ml ,methotrexate sodium,08010300/23000000,5mg/0.2ml
32111,METHOTREXATE tablets 2.5mg [MAYNE],methotrexate,08010300/10010300/01050300/13050300,2.5mg
32229,methotrexate injection 500mg/20ml ,methotrexate sodium,08010300/10010300/01050300/13050300,500mg/20ml
32865,methotrexate injection 10mg/1ml ,methotrexate,08010300/10010300/01050300/13050300,10mg/1ml
33601,METOJECT injection 25mg/2.5ml [MEDAC UK],methotrexate,08010300/10010300/01050300/13050300,25mg/2.5ml
34258,METHOTREXATE injection 20mg/0.8ml [CENT HOME],methotrexate sodium,08010300/23000000,20mg/0.8ml
34929,METHOTREXATE tablets 10mg [MAYNE],methotrexate,08010300/10010300/01050300/13050300,10mg
35402,methotrexate injection 7.5mg/0.75ml ,methotrexate,08010300/10010300/01050300/13050300,7.5mg/0.75ml
35752,methotrexate oral suspension 7.5mg/5ml ,methotrexate,08010300/10010300/01050300/23000000/13050300,7.5mg/5ml
35865,METOJECT injection 7.5mg/0.75ml [MEDAC UK],methotrexate,08010300/10010300/01050300/13050300,7.5mg/0.75ml
36167,methotrexate injection 1000mg/10ml ,methotrexate sodium,08010300/10010300/01050300/13050300,1000mg/10ml
36800,methotrexate oral solution 10mg/5ml ,methotrexate,08010300/10010300/01050300/23000000/13050300,10mg/5ml
36849,methotrexate oral suspension 10mg/5ml ,methotrexate,08010300/10010300/01050300/23000000/13050300,10mg/5ml
37117,METOJECT injection 10mg/1ml [MEDAC UK],methotrexate,08010300/10010300/01050300/13050300,10mg/1ml
40273,methotrexate injection 20mg/0.4ml ,methotrexate,08010300/10010300/01050300/13050300,20mg/0.4ml
40280,METOJECT injection 7.5mg/0.15ml [MEDAC UK],methotrexate,08010300/10010300/01050300/13050300,7.5mg/0.15ml
40281,methotrexate injection 15mg/0.3ml ,methotrexate,08010300/10010300/01050300/13050300,15mg/0.3ml
40284,METOJECT injection 15mg/0.3ml [MEDAC UK],methotrexate,08010300/10010300/01050300/13050300,15mg/0.3ml
40292,METOJECT injection 20mg/0.4ml [MEDAC UK],methotrexate,08010300/10010300/01050300/13050300,20mg/0.4ml
40293,METOJECT injection 25mg/0.5ml [MEDAC UK],methotrexate,08010300/10010300/01050300/13050300,25mg/0.5ml
40301,methotrexate injection 7.5mg/0.15ml ,methotrexate,08010300/10010300/01050300/13050300,7.5mg/0.15ml
40328,methotrexate injection 25mg/0.5ml ,methotrexate,08010300/10010300/01050300/13050300,25mg/0.5ml
40356,METOJECT injection 10mg/0.2ml [MEDAC UK],methotrexate,08010300/10010300/01050300/13050300,10mg/0.2ml
40371,methotrexate injection 10mg/0.2ml ,methotrexate,08010300/10010300/01050300/13050300,10mg/0.2ml
41086,methotrexate injection 5000mg/50ml ,methotrexate sodium,08010300/10010300/01050300/13050300,5000mg/50ml
41104,METHOTREXATE tablets 2.5mg [CP PHARM],methotrexate,08010300/10010300/01050300/13050300,2.5mg
41585,METHOTREXATE SODIUM tablets 2.5mg [WYETH PHAR],methotrexate,08010300/10010300/01050300/13050300,2.5mg
107,phenytoin capsules 25mg ,phenytoin sodium,04070300/04080100,25mg
113,mitomycin injection 10mg ,mitomycin,07040401/08010200,10mg
265,chloroquine sulphate syrup 68mg/5ml ,chloroquine sulphate,05040100/10010300,68mg/5ml
267,penicillamine tablets 50mg ,penicillamine,10010300/16070000/09080101,50mg
270,azathioprine injection 50mg/vial ,azathioprine,08020100/10010300/01050300,50mg/vial
283,MYOCRISIN injection 10mg/0.5ml [SANOFI/AVE],sodium aurothiomalate,10010300,10mg/0.5ml
380,SALAZOPYRIN EN- tablets 500mg [PHARMACIA],sulfasalazine,10010300/01050100,500mg
422,chloroquine phosphate tablets 250mg ,chloroquine phosphate,05040100/10010300,250mg
451,azathioprine tablets 25mg ,azathioprine,08020100/10010300/01050300,25mg
456,chloroquine sulphate tablets 200mg ,chloroquine sulphate,05040100/10010300,200mg
508,sulfasalazine enteric coated tablets 500mg ,sulfasalazine,10010300/01050100,500mg
571,azathioprine tablets 50mg ,azathioprine,08020100/10010300/01050300,50mg
604,penicillamine tablets 250mg ,penicillamine,10010300/16070000/09080101,250mg
643,penicillamine tablets 125mg ,penicillamine,10010300/16070000/09080101,125mg
671,IMURAN tablets 25mg [WELLCOME],azathioprine,08020100/10010300/01050300,25mg
672,hydroxychloroquine sulphate tablets 200mg ,hydroxychloroquine sulphate,10010300,200mg
673,propylthiouracil tablets 50mg ,propylthiouracil,6020200,50mg
691,ROACCUTANE capsules 5mg [ROCHE],isotretinoin,13060203,5mg
770,azathioprine capsules ,azathioprine,08020100/10010300/01050300/23000000,
796,COPAXONE injection 20mg/1ml [TEVA],glatiramer acetate,8020405,20mg/1ml
972,NEORAL capsules 25mg [NOVARTIS],ciclosporin,08020200/10010300/01050300/13050300,25mg
973,NEORAL capsules 100mg [NOVARTIS],ciclosporin,08020200/10010300/01050300/13050300,100mg
1370,phenytoin capsules 100mg ,phenytoin sodium,04070300/04080100,100mg
1398,EPANUTIN capsules 100mg [PFIZER],phenytoin sodium,04070300/04080100,100mg
1566,SALAZOPYRIN tablets 500mg [PHARMACIA],sulfasalazine,10010300/01050100,500mg
1626,ciclosporin oral solution 100mg/ml ,ciclosporin,08020200/10010300/01050300/13050300,100mg/ml
1899,IMURAN tablets 50mg [WELLCOME],azathioprine,08020100/10010300/01050300,50mg
1905,NEORAL oral solution 100mg/ml [NOVARTIS],ciclosporin,08020200/10010300/01050300/13050300,100mg/ml
2062,phenytoin sodium tablets 100mg ,phenytoin sodium,04070300/04080100,100mg
2128,phenytoin capsules 50mg ,phenytoin sodium,04070300/04080100,50mg
2169,calcium folinate tablets 15mg ,calcium folinate,09010200/08010602,15mg
2702,RECORMON injection 1000 IU [BOEH MANN],epoetin beta,9010300,1000 IU
2703,RECORMON injection 2000 units/vial [BOEH MANN],epoetin beta,9010300,2000 units/vial
2782,phenytoin sodium tablets 50mg ,phenytoin sodium,04070300/04080100,50mg
2837,ciclosporin capsules 50mg ,ciclosporin,08020200/10010300/01050300/13050300,50mg
2838,ciclosporin capsules 25mg ,ciclosporin,08020200/10010300/01050300/13050300,25mg
2839,tacrolimus twice daily capsules 1mg ,tacrolimus,8020200,1mg
2920,sulfasalazine tablets 500mg ,sulfasalazine,10010300/01050100,500mg
3068,phenytoin capsules 300mg ,phenytoin sodium,04070300/04080100,300mg
3169,NIVAQUINE syrup 68mg/5ml [AVENTIS],chloroquine sulphate,05040100/10010300,68mg/5ml
3224,NIVAQUINE tablets 200mg [AVENTIS],chloroquine sulphate,05040100/10010300,200mg
3267,MYOCRISIN injection 50mg/0.5ml [SANOFI/AVE],sodium aurothiomalate,10010300,50mg/0.5ml
3325,AVLOCLOR tablets 250mg [ASTRAZENEC],chloroquine phosphate,05040100/10010300,250mg
3327,DISTAMINE tablets 125mg [ALLIANCE],penicillamine,10010300/16070000/09080101,125mg
3329,MYOCRISIN injection 20mg/0.5ml [SANOFI/AVE],sodium aurothiomalate,10010300,20mg/0.5ml
3450,mercaptopurine tablets 50mg ,mercaptopurine,08010300/01050300,50mg
3683,PROGRAF twice daily capsules 1mg [ASTELLAS],tacrolimus,8020200,1mg
3873,hydroxyurea capsules 500mg ,hydroxycarbamide,8010507,500mg
3874,busulfan tablets 2mg ,busulfan,8010100,2mg
3881,EPANUTIN capsules 50mg [PFIZER],phenytoin sodium,04070300/04080100,50mg
