code,coding_system,description,entity,list_name,upload_date
Eu32313,Read,[X]Single episode of psychotic depression,diagnostic,834 - res173: Depression (Read codes),2020-10-14
Eu32314,Read,[X]Single episode of reactive depressive psychosis,diagnostic,834 - res173: Depression (Read codes),2020-10-14
Eu32400,Read,[X]Mild depression,diagnostic,834 - res173: Depression (Read codes),2020-10-14
Eu32500,Read,[X]Major depression; mild,diagnostic,834 - res173: Depression (Read codes),2020-10-14
Eu32600,Read,[X]Major depression; moderately severe,diagnostic,834 - res173: Depression (Read codes),2020-10-14
Eu32700,Read,[X]Major depression; severe without psychotic symptoms,diagnostic,834 - res173: Depression (Read codes),2020-10-14
Eu32800,Read,[X]Major depression; severe with psychotic symptoms,diagnostic,834 - res173: Depression (Read codes),2020-10-14
Eu32900,Read,Single major depressive episode; severe; with psychosis; psychosis in remission,diagnostic,834 - res173: Depression (Read codes),2020-10-14
Eu32A00,Read,Recurrent major depressive episodes; severe; with psychosis; psychosis in remission,diagnostic,834 - res173: Depression (Read codes),2020-10-14
Eu32B00,Read,[X]Antenatal depression,diagnostic,834 - res173: Depression (Read codes),2020-10-14
Eu32y00,Read,[X]Other depressive episodes,diagnostic,834 - res173: Depression (Read codes),2020-10-14
Eu32y11,Read,[X]Atypical depression,diagnostic,834 - res173: Depression (Read codes),2020-10-14
Eu32y12,Read,[X]Single episode of masked depression NOS,diagnostic,834 - res173: Depression (Read codes),2020-10-14
Eu32z00,Read,[X]Depressive episode; unspecified,diagnostic,834 - res173: Depression (Read codes),2020-10-14
Eu32z11,Read,[X]Depression NOS,diagnostic,834 - res173: Depression (Read codes),2020-10-14
Eu32z12,Read,[X]Depressive disorder NOS,diagnostic,834 - res173: Depression (Read codes),2020-10-14
Eu32z13,Read,[X]Prolonged single episode of reactive depression,diagnostic,834 - res173: Depression (Read codes),2020-10-14
Eu32z14,Read,[X] Reactive depression NOS,diagnostic,834 - res173: Depression (Read codes),2020-10-14
Eu33.00,Read,[X]Recurrent depressive disorder,diagnostic,834 - res173: Depression (Read codes),2020-10-14
Eu33000,Read,[X]Recurrent depressive disorder; current episode mild,diagnostic,834 - res173: Depression (Read codes),2020-10-14
Eu33100,Read,[X]Recurrent depressive disorder; current episode moderate,diagnostic,834 - res173: Depression (Read codes),2020-10-14
Eu33.11,Read,[X]Recurrent episodes of depressive reaction,diagnostic,834 - res173: Depression (Read codes),2020-10-14
Eu33.12,Read,[X]Recurrent episodes of psychogenic depression,diagnostic,834 - res173: Depression (Read codes),2020-10-14
Eu33.13,Read,[X]Recurrent episodes of reactive depression,diagnostic,834 - res173: Depression (Read codes),2020-10-14
Eu33.14,Read,[X]Seasonal depressive disorder,diagnostic,834 - res173: Depression (Read codes),2020-10-14
Eu33200,Read,[X]Recurr depress disorder cur epi severe without psyc sympt,diagnostic,834 - res173: Depression (Read codes),2020-10-14
Eu33211,Read,[X]Endogenous depression without psychotic symptoms,diagnostic,834 - res173: Depression (Read codes),2020-10-14
Eu33212,Read,[X]Major depression; recurrent without psychotic symptoms,diagnostic,834 - res173: Depression (Read codes),2020-10-14
Eu33214,Read,[X]Vital depression; recurrent without psychotic symptoms,diagnostic,834 - res173: Depression (Read codes),2020-10-14
Eu33300,Read,[X]Recurrent depress disorder cur epi severe with psyc symp,diagnostic,834 - res173: Depression (Read codes),2020-10-14
Eu33311,Read,[X]Endogenous depression with psychotic symptoms,diagnostic,834 - res173: Depression (Read codes),2020-10-14
Eu33313,Read,[X]Recurr severe episodes/major depression+psychotic symptom,diagnostic,834 - res173: Depression (Read codes),2020-10-14
Eu33314,Read,[X]Recurr severe episodes/psychogenic depressive psychosis,diagnostic,834 - res173: Depression (Read codes),2020-10-14
Eu33315,Read,[X]Recurrent severe episodes of psychotic depression,diagnostic,834 - res173: Depression (Read codes),2020-10-14
Eu33316,Read,[X]Recurrent severe episodes/reactive depressive psychosis,diagnostic,834 - res173: Depression (Read codes),2020-10-14
Eu33400,Read,[X]Recurrent depressive disorder; currently in remission,diagnostic,834 - res173: Depression (Read codes),2020-10-14
Eu33y00,Read,[X]Other recurrent depressive disorders,diagnostic,834 - res173: Depression (Read codes),2020-10-14
Eu33z00,Read,[X]Recurrent depressive disorder; unspecified,diagnostic,834 - res173: Depression (Read codes),2020-10-14
Eu33z11,Read,[X]Monopolar depression NOS,diagnostic,834 - res173: Depression (Read codes),2020-10-14
Eu34111,Read,[X]Depressive neurosis,diagnostic,834 - res173: Depression (Read codes),2020-10-14
Eu34113,Read,[X]Neurotic depression,diagnostic,834 - res173: Depression (Read codes),2020-10-14
Eu34114,Read,[X]Persistant anxiety depression,diagnostic,834 - res173: Depression (Read codes),2020-10-14
Eu3y111,Read,[X]Recurrent brief depressive episodes,diagnostic,834 - res173: Depression (Read codes),2020-10-14
Eu41200,Read,[X]Mixed anxiety and depressive disorder,diagnostic,834 - res173: Depression (Read codes),2020-10-14
Eu41211,Read,[X]Mild anxiety depression,diagnostic,834 - res173: Depression (Read codes),2020-10-14
Eu53011,Read,[X]Postnatal depression NOS,diagnostic,834 - res173: Depression (Read codes),2020-10-14
Eu53012,Read,[X]Postpartum depression NOS,diagnostic,834 - res173: Depression (Read codes),2020-10-14
R007z13,Read,[D]Postoperative depression,diagnostic,834 - res173: Depression (Read codes),2020-10-14
