Phenotype,Read code,Description,Category
LIVER_DISEASE,J6353,Toxic liver disease with chronic persistent hepatitis                                                                                                                                                                                                          ,
LIVER_DISEASE,J6354,Toxic liver disease with chronic lobular hepatitis                                                                                                                                                                                                             ,
LIVER_DISEASE,J6355,Toxic liver disease with chronic active hepatitis                                                                                                                                                                                                              ,
LIVER_DISEASE,J6356,Toxic liver disease with fibrosis and cirrhosis of liver                                                                                                                                                                                                       ,
LIVER_DISEASE,J63A.,Hepatic granulomas in sarcoidosis                                                                                                                                                                                                                              ,
LIVER_DISEASE,J6617,Primary sclerosing cholangitis                                                                                                                                                                                                                                 ,
LIVER_DISEASE,Jyu71,[X]Other and unspecified cirrhosis of liver                                                                                                                                                                                                                    ,
LIVER_DISEASE,PB61.,Atresia of bile ducts                                                                                                                                                                                                                                          ,
LIVER_DISEASE,PB610,Congenital absence of bile duct                                                                                                                                                                                                                                ,
LIVER_DISEASE,PB611,Congenital hypoplasia of bile duct                                                                                                                                                                                                                             ,
LIVER_DISEASE,PB614,Atresia of bile duct (& [intrahepatic] or [extrahepatic]                                                                                                                                                                                                       ,
LIVER_DISEASE,PB615,Congenital absence of hepatic ducts                                                                                                                                                                                                                            ,
LIVER_DISEASE,PB616,Atresia of hepatic ducts                                                                                                                                                                                                                                       ,
LIVER_DISEASE,PB61z,Biliary atresia NOS                                                                                                                                                                                                                                            ,
LIVER_DISEASE,PB635,Alagille syndrome                                                                                                                                                                                                                                              ,
LIVER_DISEASE,SP086,Liver transplant failure and rejection                                                                                                                                                                                                                         ,
LIVER_DISEASE,SP142,Hepatic failure as a complication of care                                                                                                                                                                                                                      ,
LIVER_DISEASE,SP143,Hepatorenal syndrome as a complication of care                                                                                                                                                                                                                 ,
LIVER_DISEASE,X2063,Oesophageal varices                                                                                                                                                                                                                                            ,
LIVER_DISEASE,X20Uu,Balln tamponade oesophagus using Sengstaken-Blakemore tube                                                                                                                                                                                                     ,
LIVER_DISEASE,X20Uv,Balloon tamponade of oesophagus using Minnesota tube                                                                                                                                                                                                           ,
LIVER_DISEASE,X20Zz,Exploration of liver transplant                                                                                                                                                                                                                                ,
LIVER_DISEASE,X306h,Chronic viral hepatitis                                                                                                                                                                                                                                        ,
LIVER_DISEASE,X306i,Chronic viral hepatitis B                                                                                                                                                                                                                                      ,
LIVER_DISEASE,X306j,Chronic viral hepatitis B with hepatitis D                                                                                                                                                                                                                     ,
LIVER_DISEASE,X306k,Chronic viral hepatitis C                                                                                                                                                                                                                                      ,
LIVER_DISEASE,X306l,Chronic non-A non-B hepatitis                                                                                                                                                                                                                                  ,
LIVER_DISEASE,X306r,Alcoholic hepatitis                                                                                                                                                                                                                                            ,
LIVER_DISEASE,X3071,Alcoholic liver disease                                                                                                                                                                                                                                        ,
LIVER_DISEASE,X3072,Alcoholic fibrosis and sclerosis of liver                                                                                                                                                                                                                      ,
LIVER_DISEASE,X3073,Alcoholic hepatic failure                                                                                                                                                                                                                                      ,
LIVER_DISEASE,X3076,Hepatic failure                                                                                                                                                                                                                                                ,
LIVER_DISEASE,X3077,Liver failure NOS                                                                                                                                                                                                                                              ,
LIVER_DISEASE,X3078,Hepatic failure NOS                                                                                                                                                                                                                                            ,
LIVER_DISEASE,X3079,Fulminant hepatic failure                                                                                                                                                                                                                                      ,
LIVER_DISEASE,X307A,Subfulminant hepatic failure                                                                                                                                                                                                                                   ,
LIVER_DISEASE,X307C,Chronic hepatic failure                                                                                                                                                                                                                                        ,
LIVER_DISEASE,X307G,Chronic lobular hepatitis                                                                                                                                                                                                                                      ,
LIVER_DISEASE,X307I,Drug-induced chronic hepatitis                                                                                                                                                                                                                                 ,
LIVER_DISEASE,X307L,Cirrhosis of liver                                                                                                                                                                                                                                             ,
LIVER_DISEASE,X307M,Cirrhosis of liver NOS                                                                                                                                                                                                                                         ,
LIVER_DISEASE,X307N,Florid cirrhosis                                                                                                                                                                                                                                               ,
LIVER_DISEASE,X307O,Cryptogenic cirrhosis                                                                                                                                                                                                                                          ,
LIVER_DISEASE,X307P,Indian childhood cirrhosis                                                                                                                                                                                                                                     ,
LIVER_DISEASE,X307Q,Micronodular cirrhosis                                                                                                                                                                                                                                         ,
LIVER_DISEASE,X307R,Portal cirrhosis                                                                                                                                                                                                                                               ,
LIVER_DISEASE,X307S,"Laennec's cirrhosis, non-alcoholic                                                                                                                                                                                                                             ",
LIVER_DISEASE,X307T,Infectious cirrhosis                                                                                                                                                                                                                                           ,
LIVER_DISEASE,X307U,Hypoxia-associated cirrhosis                                                                                                                                                                                                                                   ,
LIVER_DISEASE,X307V,Toxic cirrhosis                                                                                                                                                                                                                                                ,
LIVER_DISEASE,X307W,Fibrosis of liver                                                                                                                                                                                                                                              ,
LIVER_DISEASE,X307X,Congenital hepatic fibrosis                                                                                                                                                                                                                                    ,
LIVER_DISEASE,X307Y,Pericellular fibrosis of congenital syphilis                                                                                                                                                                                                                   ,
LIVER_DISEASE,X307Z,Hepatic sclerosis                                                                                                                                                                                                                                              ,
LIVER_DISEASE,X307a,Portal and splenic vein sclerosis                                                                                                                                                                                                                              ,
LIVER_DISEASE,X307b,Hepatic fibrosis with hepatic sclerosis                                                                                                                                                                                                                        ,
LIVER_DISEASE,X307c,Intrahepatic phlebosclerosis and fibrosis                                                                                                                                                                                                                      ,
LIVER_DISEASE,X307x,Liver transplant disorder                                                                                                                                                                                                                                      ,
LIVER_DISEASE,X307y,Liver transplant rejection                                                                                                                                                                                                                                     ,
LIVER_DISEASE,X307z,Liver transplant failure                                                                                                                                                                                                                                       ,
LIVER_DISEASE,X3085,Ichthyosis congenita with biliary atresia                                                                                                                                                                                                                      ,
LIVER_DISEASE,X7847,Intrahepatic biliary atresia                                                                                                                                                                                                                                   ,
LIVER_DISEASE,X7848,Extrahepatic biliary atresia                                                                                                                                                                                                                                   ,
LIVER_DISEASE,XE0CP,Other specified open operation on oesophageal varices                                                                                                                                                                                                          ,
LIVER_DISEASE,XE0b4,Alcoholic cirrhosis of liver                                                                                                                                                                                                                                   ,
LIVER_DISEASE,XE0b5,Cirrhosis - non-alcoholic                                                                                                                                                                                                                                      ,
LIVER_DISEASE,XE0b6,Multilobular portal cirrhosis                                                                                                                                                                                                                                  ,
LIVER_DISEASE,XE0b7,Cardiac portal cirrhosis                                                                                                                                                                                                                                       ,
LIVER_DISEASE,XE0b8,Juvenile portal cirrhosis                                                                                                                                                                                                                                      ,
LIVER_DISEASE,XE0bA,Non-alcoholic cirrhosis NOS                                                                                                                                                                                                                                    ,
LIVER_DISEASE,XE0bC,Other sequelae of chronic liver disease                                                                                                                                                                                                                        ,
LIVER_DISEASE,XE0dD,(Cirrhos &/or chron liver dis) or (alcoholic liver disease)                                                                                                                                                                                                    ,
LIVER_DISEASE,XE0dF,Alcoholic liver damage NOS                                                                                                                                                                                                                                     ,
LIVER_DISEASE,XE0dH,Chronic hepatitis (& [NOS]/[active B]/[active]/[persistent])                                                                                                                                                                                                   ,
LIVER_DISEASE,XE0dJ,Biliary cirrhosis (& [primary])                                                                                                                                                                                                                                ,
LIVER_DISEASE,XE2up,Cirrhosis secondary to cholestasis                                                                                                                                                                                                                             ,
LIVER_DISEASE,Xa9C7,Cardiac cirrhosis                                                                                                                                                                                                                                              ,
LIVER_DISEASE,XaBE3,Chronic alcoholic hepatitis                                                                                                                                                                                                                                    ,
LIVER_DISEASE,XaBM6,Oesophageal varices in cirrhosis of the liver                                                                                                                                                                                                                  ,
LIVER_DISEASE,XaC1d,Oesophageal varices in alcoholic cirrhosis of the liver                                                                                                                                                                                                        ,
LIVER_DISEASE,XaE6u,Oesophageal varices NOS                                                                                                                                                                                                                                        ,
LIVER_DISEASE,XaJTk,Autoimmune hepatitis                                                                                                                                                                                                                                           ,
LIVER_DISEASE,XaJxp,Acute hepatic failure due to drugs                                                                                                                                                                                                                             ,
LIVER_DISEASE,XaLdJ,Fibreopt endoscop rubber band ligation of upper GIT varices                                                                                                                                                                                                    ,
LIVER_DISEASE,XaLde,Transplantation of liver cells                                                                                                                                                                                                                                 ,
LIVER_DISEASE,XaLdf,Orthotopic transplantation of whole liver                                                                                                                                                                                                                      ,
LIVER_DISEASE,XaMMe,Orthotopic transplantation of liver NEC                                                                                                                                                                                                                        ,
LIVER_DISEASE,XaMuG,Compensation for liver failure                                                                                                                                                                                                                                 ,
LIVER_DISEASE,XaMuH,Other specified compensation for liver failure                                                                                                                                                                                                                 ,
LIVER_DISEASE,XaMuI,Compensation for liver failure NOS                                                                                                                                                                                                                             ,
LIVER_DISEASE,XaPLW,Chronic hepatitis annual review                                                                                                                                                                                                                                ,
LIVER_DISEASE,XaREa,Liver disease due to cystic fibrosis                                                                                                                                                                                                                           ,
LIVER_DISEASE,XaXi9,Cystic fibrosis related cirrhosis                                                                                                                                                                                                                              ,
LIVER_DISEASE,XaYbp,Viral hepatitis with hepatic coma                                                                                                                                                                                                                              ,
LIVER_DISEASE,ZV427,[V]Liver transplanted                                                                                                                                                                                                                                          ,
LIVER_DISEASE,ZV7C0,[V]Assessment for liver transplant                                                                                                                                                                                                                             ,
