Read v2 Code,SNOMED CT Concept ID,SNOMED CT Description ID,Description,Quality and Outcomes Framework Read Codes 2017/18,Validated Read Codes                                   Quint et al. 2014,,
H464100,196027008,301573017,Obliterative bronchiolitis due to chemical fumes,Y,,,
H312.00,185086009,285100019,Obstructive chronic bronchitis,Y,,,
H312z00,185086009,285100019,Obstructive chronic bronchitis NOS,Y,Y,,
9NgP.00,826111000000109,2149041000000110,On chronic obstructive pulmonary disease supportv cre pathway,,,,
9NgP.11,826111000000109,2155811000000119,On COPD (chr obstruc pulmonary disease) supportv cre pathway,,,,
H31y.00,63480004,105519017,Other chronic bronchitis,Y,,,
H31yz00,63480004,105519017,Other chronic bronchitis NOS,Y,,,
H32y.00,87433001,144964015,Other emphysema,Y,,,
H32yz00,87433001,144964015,Other emphysema NOS,Y,,,
H32yz11,45145000,75284014,Sawyer-Jones syndrome,Y,,,
H3y..00,13645005,475428012,Other specified chronic obstructive airways disease,Y,Y,,
H3y..11,13645005,475431013,Other specified chronic obstructive pulmonary disease,Y,,,
H321.00,4981000,9337016,Panlobular emphysema,Y,,,
H311000,84409004,506053014,Purulent chronic bronchitis,Y,,,
9Nk7000,857661000000104,2219551000000113,Seen in chronic obstructive pulmonary disease clinic,,,,
H320000,195958001,301463017,Segmental bullous emphysema,Y,,,
H38..00,313299006,457171013,Severe chronic obstructive pulmonary disease,Y,Y,,
H310.00,61937009,102938011,Simple chronic bronchitis,Y,,,
H310z00,61937009,102938011,Simple chronic bronchitis NOS,Y,,,
H39..00,293991000000106,516801000000112,Very severe chronic obstructive pulmonary disease,Y,Y,,
H320100,195959009,301464011,Zonal bullous emphysema,Y,,,
66YB000,760601000000107,1683181000000112,Chronic obstructive pulmonary disease 3 monthly review,,,,
66YB100,760621000000103,1683221000000119,Chronic obstructive pulmonary disease 6 monthly review,,,,
66YB200,716358000,3305683010,Telehealth chronic obstructive pulmonary disease monitoring,,,,
66Yd.00,413845009,2533538014,Chronic obstructive pulmonary disease accident and emergency attendance since last visit,,,,
66Ye.00,414087000,2533539018,Emergency chronic obstructive pulmonary disease admission since last appointment,,,,
66Yf.00,723245007,3335171010,Number of chronic obstructive pulmonary disease exacerbations in past year,,,,
66Yi.00,198901000000105,300201000000114,Multiple chronic obstructive pulmonary disease emergency hospital admissions,,,,
66YI.00,390891009,1484924013,Chronic obstructive pulmonary disease self-management plan given,,,,
