phenotype,CPRD,ICD,OPCS,name_portal,implementation,group,is_cancer,is_adult,file_stem,primary_care,secondary_care,death,case_note_review,ehr_sources,prognosis,genetic,cross_country,publications,type,id,primary_care,secondary_care,type,data_sources,clinical_terminologies,validation,valid_event_data_range,sex,date,modified_date,version,authors
Anal Fissure,_data/primary_care/CPRD_anal_fissure.csv,_data/secondary_care/ICD_anal_fissure.csv,_data/secondary_care/OPCS_anal_fissure.csv,Anal Fissure,"At the specified date, a patient is defined as having had 'Anal fissure' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Anal fissure' diagnosis or history of diagnosis or procedure during a consultation 
OR
Secondary care
1. ALL diagnoses of 'Anal fissure' or history of diagnosis during a hospitalization
OR
Secondary care (OPCS4)
1. ALL procedures for 'Anal fissure' during a hospitalization",Digestive,0,1,anal_fissure,['_data/primary_care/CPRD_anal_fissure.csv'],"['_data/secondary_care/ICD_anal_fissure.csv', '_data/secondary_care/OPCS_anal_fissure.csv']",,,,,,,,Disease or Syndrome,PHE00011,['_data/primary_care/CPRD_anal_fissure.csv'],"['_data/secondary_care/ICD_anal_fissure.csv', '_data/secondary_care/OPCS_anal_fissure.csv']",Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Angiodysplasia Of Colon,_data/primary_care/CPRD_angiodysplasia_colon.csv,_data/secondary_care/ICD_angiodysplasia_colon.csv,,Angiodysplasia of colon,"At the specified date, a patient is defined as having had 'Angiodysplasia of colon' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Angiodysplasia of colon' diagnosis or history of diagnosis during a consultation 
OR
Secondary care (ICD10)
1. ALL diagnoses of 'Angiodysplasia of colon' or history of diagnosis during a hospitalization",Digestive,0,1,angiodysplasia_colon,['_data/primary_care/CPRD_angiodysplasia_colon.csv'],['_data/secondary_care/ICD_angiodysplasia_colon.csv'],,,,,,,,Disease or Syndrome,PHE00012,['_data/primary_care/CPRD_angiodysplasia_colon.csv'],['_data/secondary_care/ICD_angiodysplasia_colon.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Ankylosing Spondylitis,_data/primary_care/CPRD_ank_spond.csv,_data/secondary_care/ICD_ank_spond.csv,,Ankylosing Spondylitis,"At the specified date, a patient is defined as having had 'Ankylosing spondylitis' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Ankylosing spondylitis' diagnosis or history of diagnosis during a consultation 
OR
Secondary care (ICD10)
1. ALL diagnoses of 'Ankylosing spondylitis' or history of diagnosis during a hospitalization",Musculoskeletal ,0,1,ank_spond,['_data/primary_care/CPRD_ank_spond.csv'],['_data/secondary_care/ICD_ank_spond.csv'],,,,,,,,Disease or Syndrome,PHE00013,['_data/primary_care/CPRD_ank_spond.csv'],['_data/secondary_care/ICD_ank_spond.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Anorectal Fistula,_data/primary_care/CPRD_anorectal_fistula.csv,_data/secondary_care/ICD_anorectal_fistula.csv,_data/secondary_care/OPCS_anorectal_fistula.csv,Anorectal Fistula,"At the specified date, a patient is defined as having had 'Anorectal fistula' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Anorectal fistula' diagnosis or history of diagnosis or procedure during a consultation 
OR
Secondary care
1. ALL diagnoses of 'Anorectal fistula' or history of diagnosis during a hospitalization
OR
Secondary care (OPCS4)
1. ALL procedures for 'Anorectal fistula' during a hospitalization",Digestive,0,1,anorectal_fistula,['_data/primary_care/CPRD_anorectal_fistula.csv'],"['_data/secondary_care/ICD_anorectal_fistula.csv', '_data/secondary_care/OPCS_anorectal_fistula.csv']",,,,,,,,Disease or Syndrome,PHE00014,['_data/primary_care/CPRD_anorectal_fistula.csv'],"['_data/secondary_care/ICD_anorectal_fistula.csv', '_data/secondary_care/OPCS_anorectal_fistula.csv']",Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Anorectal Prolapse,_data/primary_care/CPRD_anorectal_prolapse.csv,_data/secondary_care/ICD_anorectal_prolapse.csv,_data/secondary_care/OPCS_anorectal_prolapse.csv,Anorectal Prolapse,"At the specified date, a patient is defined as having had 'Anorectal prolapse' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Anorectal prolapse' diagnosis or history of diagnosis or procedure during a consultation 
OR
Secondary care
1. ALL diagnoses of 'Anorectal prolapse' or history of diagnosis during a hospitalization
OR
Secondary care (OPCS4)
1. ALL procedures for 'Anorectal prolapse' during a hospitalization",Digestive,0,1,anorectal_prolapse,['_data/primary_care/CPRD_anorectal_prolapse.csv'],"['_data/secondary_care/ICD_anorectal_prolapse.csv', '_data/secondary_care/OPCS_anorectal_prolapse.csv']",,,,,,,,Disease or Syndrome,PHE00015,['_data/primary_care/CPRD_anorectal_prolapse.csv'],"['_data/secondary_care/ICD_anorectal_prolapse.csv', '_data/secondary_care/OPCS_anorectal_prolapse.csv']",Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Eating Disorders,_data/primary_care/CPRD_eating_dz.csv,_data/secondary_care/ICD_eating_dz.csv,,Eating Disorders,"At the specified date, a patient is defined as having had Anorexia and bulimia nervosa IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. Anorexia and bulimia nervosa diagnosis or history of diagnosis during a consultation 
OR
Secondary care
1. ALL diagnoses of Anorexia and bulimia nervosa or history of diagnosis during a hospitalization",Psychiatric,0,1,eating_dz,['_data/primary_care/CPRD_eating_dz.csv'],['_data/secondary_care/ICD_eating_dz.csv'],,,,,,,,Disease or Syndrome,PHE00016,['_data/primary_care/CPRD_eating_dz.csv'],['_data/secondary_care/ICD_eating_dz.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Anterior Uveitis,_data/primary_care/CPRD_ant_uveitis.csv,_data/secondary_care/ICD_ant_uveitis.csv,,Anterior Uveitis,"At the specified date, a patient is defined as having had Anterior and Intermediate Uveitis IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. Anterior and Intermediate Uveitis diagnosis or history of diagnosis during a consultation 
OR
Secondary care
1. ALL diagnoses of Anterior and Intermediate Uveitis or history of diagnosis during a hospitalization",Eye,0,1,ant_uveitis,['_data/primary_care/CPRD_ant_uveitis.csv'],['_data/secondary_care/ICD_ant_uveitis.csv'],,,,,,,,Disease or Syndrome,PHE00017,['_data/primary_care/CPRD_ant_uveitis.csv'],['_data/secondary_care/ICD_ant_uveitis.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Anxiety,_data/primary_care/CPRD_anxiety.csv,_data/secondary_care/ICD_anxiety.csv,,Anxiety,"At the specified date, a patient is defined as having had 'Anxiety disorders' disorders IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Anxiety disorders' disorders diagnosis or history of diagnosis during a consultation 
OR
Secondary care
1. ALL diagnoses of 'Anxiety disorders' disorders or history of diagnosis during a hospitalization",Psychiatric,0,1,anxiety,['_data/primary_care/CPRD_anxiety.csv'],['_data/secondary_care/ICD_anxiety.csv'],,,,,,,,Disease or Syndrome,PHE00018,['_data/primary_care/CPRD_anxiety.csv'],['_data/secondary_care/ICD_anxiety.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Aplastic Anaemias,_data/primary_care/CPRD_aplastic.csv,_data/secondary_care/ICD_aplastic.csv,,Aplastic Anaemias,"At the specified date, a patient is defined as having had 'Aplastic anaemias' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Aplastic anaemias' diagnosis or history of diagnosis during a consultation 
OR
Secondary care (ICD10)
1. ALL diagnoses of 'Aplastic anaemias' or history of diagnosis during a hospitalization",Haematological or immunological,0,1,aplastic,['_data/primary_care/CPRD_aplastic.csv'],['_data/secondary_care/ICD_aplastic.csv'],,,,,,,,Disease or Syndrome,PHE00019,['_data/primary_care/CPRD_aplastic.csv'],['_data/secondary_care/ICD_aplastic.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Appendicitis,_data/primary_care/CPRD_appendicitis.csv,_data/secondary_care/ICD_appendicitis.csv,_data/secondary_care/OPCS_appendicitis.csv,Appendicitis,"At the specified date, a patient is defined as having had 'Appendicitis' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Appendicitis' diagnosis or history of diagnosis or procedure during a consultation 
OR
Secondary care
1. ALL diagnoses of 'Appendicitis' or history of diagnosis during a hospitalization
OR
Secondary care (OPCS4)
1. ALL procedures for 'Appendicitis' during a hospitalization",Digestive,0,1,appendicitis,['_data/primary_care/CPRD_appendicitis.csv'],"['_data/secondary_care/ICD_appendicitis.csv', '_data/secondary_care/OPCS_appendicitis.csv']",,,,,,,,Disease or Syndrome,PHE00020,['_data/primary_care/CPRD_appendicitis.csv'],"['_data/secondary_care/ICD_appendicitis.csv', '_data/secondary_care/OPCS_appendicitis.csv']",Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Asbestosis,_data/primary_care/CPRD_asbestosis.csv,_data/secondary_care/ICD_asbestosis.csv,,Asbestosis,"At the specified date, a patient is defined as having had 'Asbestosis' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Asbestosis' diagnosis or history of diagnosis during a consultation 
OR
Secondary care (ICD10)
1. ALL diagnoses of 'Asbestosis' or history of diagnosis during a hospitalization",Respiratory,0,1,asbestosis,['_data/primary_care/CPRD_asbestosis.csv'],['_data/secondary_care/ICD_asbestosis.csv'],,,,,,,,Disease or Syndrome,PHE00021,['_data/primary_care/CPRD_asbestosis.csv'],['_data/secondary_care/ICD_asbestosis.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
